Unix	jday	Temperature
1057017600	182	278.084149784804
1057021200	182	278.04293552958
1057024800	182	278.155615997264
1057028400	182	278.13194250284
1057032000	182	277.933379328555
1057035600	182	277.719626416714
1057039200	182	277.030614822308
1057042800	182	277.226456161987
1057046400	182	277.252928519847
1057050000	182	277.185103151713
1057053600	182	277.133231219658
1057057200	182	277.030025091292
1057060800	182	275.84138310299
1057064400	182	275.876352847856
1057068000	182	276.052881606659
1057071600	182	276.283543999643
1057075200	182	276.480695544426
1057078800	182	276.42642324195
1057082400	182	277.357846305768
1057086000	182	277.486699253962
1057089600	182	277.828949061431
1057093200	182	278.736091230217
1057096800	182	280.304091252765
1057100400	182	281.936803978246
1057104000	183	284.032276266204
1057107600	183	285.204039122246
1057111200	183	285.630725097984
1057114800	183	285.429017482942
1057118400	183	284.312764044856
1057122000	183	282.692722453217
1057125600	183	281.368878573784
1057129200	183	281.423337006324
1057132800	183	281.209027679087
1057136400	183	280.975017444581
1057140000	183	280.769660886758
1057143600	183	280.571921079699
1057147200	183	280.749870443845
1057150800	183	280.546890397491
1057154400	183	280.364140745049
1057158000	183	280.343069089402
1057161600	183	280.256731348785
1057165200	183	280.222603085929
1057168800	183	281.173268797638
1057172400	183	281.42466923421
1057176000	183	281.242319516107
1057179600	183	281.451387949936
1057183200	183	282.651139507961
1057186800	183	283.624935494963
1057190400	184	284.897759066528
1057194000	184	285.382377601625
1057197600	184	285.355052432791
1057201200	184	284.784659139716
1057204800	184	283.577485068593
1057208400	184	281.932064204934
1057212000	184	282.065845334337
1057215600	184	281.756178825354
1057219200	184	281.307777841059
1057222800	184	280.913235228073
1057226400	184	280.547426868183
1057230000	184	280.216967530877
1057233600	184	280.926506239349
1057237200	184	280.698150579558
1057240800	184	280.392546987522
1057244400	184	280.112311656646
1057248000	184	279.616692224479
1057251600	184	278.960752967689
1057255200	184	278.55064742496
1057258800	184	278.463344595237
1057262400	184	278.619075162804
1057266000	184	278.818515464239
1057269600	184	278.677775461802
1057273200	184	278.251135607816
1057276800	185	277.188522875762
1057280400	185	277.030534778896
1057284000	185	276.598569673391
1057287600	185	276.220142815638
1057291200	185	276.11436497031
1057294800	185	276.017953662938
1057298400	185	276.032297919468
1057302000	185	275.956366594828
1057305600	185	275.865704545857
1057309200	185	275.796428365051
1057312800	185	275.811895598501
1057316400	185	275.886566574989
1057320000	185	275.42782650549
1057323600	185	275.556907732761
1057327200	185	275.826524286994
1057330800	185	276.206794542014
1057334400	185	276.480494076658
1057338000	185	276.692702048177
1057341600	185	276.780543265644
1057345200	185	276.851323510103
