Unix	jday	V-component_of_wind
1044057600	32	3.88421892683171
1044061200	32	3.41093926431103
1044064800	32	2.1094997183105
1044068400	32	0.982881276595197
1044072000	32	-0.225859557463307
1044075600	32	-1.31716267429822
1044079200	32	-4.62538049571435
1044082800	32	-4.15733778696141
1044086400	32	-3.07856873707723
1044090000	32	-2.58653264468869
1044093600	32	-2.32889465702685
1044097200	32	-2.01991824812565
1044100800	32	-2.40315249898226
1044104400	32	-1.42497908034194
1044108000	32	-0.553556815338365
1044111600	32	-0.152650430105289
1044115200	32	-0.0264130397434156
1044118800	32	0.139652467940681
1044122400	32	0.906757170882709
1044126000	32	1.188125660268
1044129600	32	1.7632062906238
1044133200	32	2.27351216759097
1044136800	32	3.49832948119863
1044140400	32	4.35673562644321
1044144000	33	5.5006268672915
1044147600	33	5.81012379669221
1044151200	33	5.92453692921425
1044154800	33	5.96689758288788
1044158400	33	5.17366259884723
1044162000	33	4.24429680947928
1044165600	33	1.7370562487574
1044169200	33	1.13497145945957
1044172800	33	0.251242514786526
1044176400	33	-0.354381945004027
1044180000	33	-0.679865765922718
1044183600	33	-1.02585998380937
1044187200	33	-1.86224402835669
1044190800	33	-2.15427798587506
1044194400	33	-2.53680287021295
1044198000	33	-2.67083827269129
1044201600	33	-2.93281149872863
1044205200	33	-3.17385407626193
1044208800	33	-1.09402963749924
1044212400	33	-2.49830710195626
1044216000	33	-2.7299779848568
1044219600	33	-2.47448704298005
1044223200	33	-1.76237256906735
1044226800	33	-1.18156508956589
1044230400	34	0.365224901187893
1044234000	34	0.30568739804156
1044237600	34	-0.987200286751874
1044241200	34	-1.68935495828101
1044244800	34	-1.79052814127844
1044248400	34	-2.13451509106185
1044252000	34	-2.76561105889439
1044255600	34	-3.15026515755223
1044259200	34	-3.0845889607962
1044262800	34	-1.76231520843108
1044266400	34	0.444155738993042
1044270000	34	2.23728618512682
1044273600	34	6.03775719178664
1044277200	34	5.55284518802106
1044280800	34	4.87156197423575
1044284400	34	3.76550522808185
1044288000	34	3.7030074054549
1044291600	34	3.77053166833739
1044295200	34	5.98111678385167
1044298800	34	5.75918548402312
1044302400	34	6.27774254821287
1044306000	34	7.09080582983397
1044309600	34	6.53263507143143
1044313200	34	6.06450936635557
1044316800	35	7.32430284554992
1044320400	35	6.4068164282379
1044324000	35	6.04361309258377
1044327600	35	5.49056954529411
1044331200	35	5.37818522213357
1044334800	35	5.23047005830096
1044338400	35	5.78476550122789
1044342000	35	4.72891445342008
1044345600	35	3.99282538985751
1044349200	35	3.45124576509814
1044352800	35	2.87285596369714
1044356400	35	2.27113536220685
1044360000	35	2.16524660489111
1044363600	35	2.16706625206549
1044367200	35	1.88805061024302
1044370800	35	1.20457616307232
1044374400	35	0.400234998133394
1044378000	35	-0.25971851719037
1044381600	35	-0.68462706618975
1044385200	35	-0.882554208211056
1044388800	35	-0.635219691338592
1044392400	35	-0.52635179599961
1044396000	35	-0.735412506676674
1044399600	35	-0.981649623819399
1044403200	36	0.0234522559719336
1044406800	36	-1.00251644680743
1044410400	36	-2.15973227331086
1044414000	36	-3.18346766430301
1044417600	36	-4.04658769761204
1044421200	36	-4.76505222563926
1044424800	36	-4.73516020634615
1044428400	36	-4.7379943995398
1044432000	36	-4.72835156549485
1044435600	36	-4.85344452919408
1044439200	36	-4.64584771879469
1044442800	36	-4.44077148134215
1044446400	36	-5.10118867825575
1044450000	36	-4.29382468974798
1044453600	36	-3.19433754565897
1044457200	36	-2.27603480302121
1044460800	36	-1.9193506453439
1044464400	36	-1.65962697932227
1044468000	36	-1.9369909879854
1044471600	36	-2.28156205857006
1044475200	36	-1.50342031233549
1044478800	36	-0.631459719486082
1044482400	36	0.545438153615016
1044486000	36	1.66605186622777
1044489600	37	7.19246657291892
1044493200	37	6.09710017109393
1044496800	37	5.91241479126047
1044500400	37	5.57992284129805
1044504000	37	5.27505641706019
1044507600	37	4.80329343576967
1044511200	37	2.90815862616695
1044514800	37	1.63723677995516
1044518400	37	0.72253483447927
1044522000	37	-0.155648102876621
1044525600	37	-0.380402426641056
1044529200	37	-0.580055088294812
1044532800	37	-2.39143154162407
1044536400	37	-2.27249032957688
1044540000	37	-2.37331584680749
1044543600	37	-2.44873737044465
1044547200	37	-2.64058622278464
1044550800	37	-2.9051310052104
1044554400	37	-2.91459244989057
1044558000	37	-3.82765524180387
1044561600	37	-4.0271870796438
1044565200	37	-4.0518052176168
1044568800	37	-3.99604412265458
1044572400	37	-3.94644895579749
1044576000	38	-2.13654418212246
1044579600	38	-2.61725170825238
1044583200	38	-3.08520574898243
1044586800	38	-3.40439656469621
1044590400	38	-3.74603091110166
1044594000	38	-4.04342730319781
1044597600	38	-3.4762151937659
1044601200	38	-3.7641502380383
1044604800	38	-3.32952699217926
1044608400	38	-2.70094561202101
1044612000	38	-2.43922799763119
1044615600	38	-2.27233844585669
1044619200	38	-4.35472497226044
1044622800	38	-3.00415838937361
1044626400	38	-2.1638327903747
1044630000	38	-1.83280011976459
1044633600	38	-1.75022184866983
1044637200	38	-1.68326501912787
1044640800	38	-0.405221535793697
1044644400	38	-1.84519820681137
1044648000	38	-2.13835046753386
1044651600	38	-1.77236598456273
1044655200	38	-1.59441430891719
1044658800	38	-1.67520099807559
1044662400	39	-2.10062746214068
1044666000	39	-2.60065363616849
1044669600	39	-2.93135202243664
1044673200	39	-2.92005825686626
1044676800	39	-3.02529883809196
1044680400	39	-3.21976836029691
1044684000	39	-4.66912028185453
1044687600	39	-3.99651783292747
1044691200	39	-3.27018277129598
1044694800	39	-2.89169890902703
1044698400	39	-2.77124294193455
1044702000	39	-2.31631900370486
1044705600	39	-2.03846518447408
1044709200	39	-0.504124235537292
1044712800	39	1.10811751249236
1044716400	39	1.81422304162128
1044720000	39	1.67059893969924
1044723600	39	1.68479871866522
1044727200	39	0.508218534283535
1044730800	39	0.525444528637574
1044734400	39	0.491070653703045
1044738000	39	0.681605437875573
