Unix	jday	Temp
946684800	1	15.36
946771200	2	15.36
946857600	3	15.34
946944000	4	15.31
947030400	5	15.28
947116800	6	15.45
947203200	7	15.51
947289600	8	15.34
947376000	9	15.4
947462400	10	15.44
947548800	11	15.38
947635200	12	15.9
947721600	13	16.15
947808000	14	16.15
947894400	15	16.12
947980800	16	16.03
948067200	17	15.92
948153600	18	15.92
948240000	19	16.33
948326400	20	16.6
948412800	21	16.67
948499200	22	16.68
948585600	23	16.67
948672000	24	16.65
948758400	25	16.63
948844800	26	16.56
948931200	27	16.54
949017600	28	16.63
949104000	29	16.67
949190400	30	16.7
949276800	31	16.75
949363200	32	16.69
949449600	33	16.62
949536000	34	16.55
949622400	35	16.54
949708800	36	16.47
949795200	37	16.3
949881600	38	16.12
949968000	39	15.97
950054400	40	15.88
950140800	41	15.83
950227200	42	16.26
950313600	43	16.54
950400000	44	16.54
950486400	45	16.48
950572800	46	16.4
950659200	47	16.32
950745600	48	16.23
950832000	49	16.15
950918400	50	15.97
951004800	51	15.82
951091200	52	15.78
951177600	53	16.16
951264000	54	16.43
951350400	55	16.36
951436800	56	16.22
951523200	57	16.24
951609600	58	16.31
951696000	59	16.41
951782400	60	16.47
951868800	61	16.41
951955200	62	16.41
952041600	63	16.45
952128000	64	16.49
952214400	65	16.47
952300800	66	16.42
952387200	67	16.36
952473600	68	16.29
952560000	69	16.33
952646400	70	16.37
952732800	71	16.33
952819200	72	16.28
952905600	73	16.26
952992000	74	16.26
953078400	75	16.25
953164800	76	16.26
953251200	77	16.34
953337600	78	16.46
953424000	79	16.52
953510400	80	16.46
953596800	81	16.35
953683200	82	16.19
953769600	83	15.98
953856000	84	15.78
953942400	85	15.61
954028800	86	15.6
954115200	87	15.64
954201600	88	15.62
954288000	89	15.55
954374400	90	15.47
954460800	91	15.44
954547200	92	15.4
954633600	93	15.22
954720000	94	15.11
954806400	95	15.13
954892800	96	15.1
954979200	97	15.05
955065600	98	14.91
955152000	99	14.77
955238400	100	14.62
955324800	101	14.5
955411200	102	14.44
955497600	103	14.39
955584000	104	14.41
955670400	105	14.51
955756800	106	14.57
955843200	107	14.59
955929600	108	14.58
956016000	109	14.61
956102400	110	14.64
956188800	111	14.54
956275200	112	14.39
956361600	113	14.29
956448000	114	14.21
956534400	115	14.14
956620800	116	13.93
956707200	117	13.88
956793600	118	13.94
956880000	119	14.05
956966400	120	14.11
957052800	121	14.13
957139200	122	14.14
957225600	123	14.16
957312000	124	14.14
957398400	125	14.11
957484800	126	14.08
957571200	127	14.04
957657600	128	13.99
957744000	129	13.54
957830400	130	13.42
957916800	131	13.56
958003200	132	13.62
958089600	133	13.63
958176000	134	13.33
958262400	135	13.15
958348800	136	13.13
958435200	137	12.83
958521600	138	12.68
958608000	139	12.6
958694400	140	12.55
958780800	141	12.57
958867200	142	12.59
958953600	143	12.59
959040000	144	12.57
959126400	145	12.57
959212800	146	12.58
959299200	147	12.57
959385600	148	12.58
959472000	149	12.59
959558400	150	12.44
959644800	151	12.38
959731200	152	12.43
959817600	153	12.42
959904000	154	12.16
959990400	155	12.01
960076800	156	11.99
960163200	157	11.8
960249600	158	11.64
960336000	159	11.59
960422400	160	11.57
960508800	161	11.57
960595200	162	11.55
