Unix	jday	Temp
1167609600	1	14.74
1167696000	2	14.55
1167782400	3	14.6
1167868800	4	14.98
1167955200	5	15.35
1168041600	6	15.58
1168128000	7	15.42
1168214400	8	15.25
1168300800	9	15.13
1168387200	10	15.1
1168473600	11	15.12
1168560000	12	15.16
1168646400	13	15.16
1168732800	14	15.13
1168819200	15	15.07
1168905600	16	15.27
1168992000	17	15.55
1169078400	18	15.65
1169164800	19	15.79
1169251200	20	16.23
1169337600	21	16.68
1169424000	22	17.01
1169510400	23	17.01
1169596800	24	16.85
1169683200	25	16.78
1169769600	26	16.71
1169856000	27	16.63
1169942400	28	16.52
1170028800	29	16.46
1170115200	30	16.42
1170201600	31	16.49
1170288000	32	16.65
1170374400	33	16.64
1170460800	34	16.41
1170547200	35	16.42
1170633600	36	16.63
1170720000	37	16.84
1170806400	38	17.01
1170892800	39	17.34
1170979200	40	17.47
1171065600	41	17.48
1171152000	42	17.4
1171238400	43	17.09
1171324800	44	16.85
1171411200	45	16.77
1171497600	46	16.78
1171584000	47	16.79
1171670400	48	17.19
1171756800	49	17.55
1171843200	50	17.74
1171929600	51	17.77
1172016000	52	17.84
1172102400	53	17.79
1172188800	54	17.64
1172275200	55	17.58
1172361600	56	17.89
1172448000	57	18.45
1172534400	58	18.58
1172620800	59	17.95
1172707200	60	17.52
1172793600	61	17.5
1172880000	62	17.47
1172966400	63	17.69
1173052800	64	18
1173139200	65	18.03
1173225600	66	17.95
1173312000	67	17.87
1173398400	68	17.99
1173484800	69	18.16
1173571200	70	18.26
1173657600	71	18.12
1173744000	72	17.61
1173830400	73	17.2
1173916800	74	16.83
1174003200	75	16.69
1174089600	76	16.62
1174176000	77	16.54
1174262400	78	16.46
1174348800	79	16.43
1174435200	80	16.36
1174521600	81	16.34
1174608000	82	16.45
1174694400	83	16.61
1174780800	84	16.61
1174867200	85	16.56
1174953600	86	16.56
1175040000	87	16.56
1175126400	88	16.55
1175212800	89	16.65
1175299200	90	16.65
1175385600	91	16.57
1175472000	92	16.44
1175558400	93	16.22
1175644800	94	16.06
1175731200	95	16.08
1175817600	96	16.27
1175904000	97	16.15
1175990400	98	15.91
