Unix	jday	dp	hs	tp
980218800	23	20.56	0.76	3.52
980229600	23	46.18	0.69	4.2
980240400	23	330.37	0.75	3.04
980251200	23	342.02	0.7	3.24
980262000	23	82.02	0.62	6.15
980272800	23	87.31	0.66	6.4
980283600	23	200.7	0.74	3.34
980294400	24	206.08	0.7	4.22
980305200	24	198.58	0.78	4.29
980316000	24	102.24	0.84	3.16
980326800	24	77.49	0.76	3.36
980337600	24	61.51	0.82	3.29
980348400	24	65.01	0.75	3.63
980359200	24	66.47	0.69	3.73
980370000	24	198.05	0.65	11.58
980380800	25	204.3	0.67	11.95
980391600	25	200.47	0.67	12.04
980402400	25	203.35	0.64	12.07
980413200	25	200.2	0.6	12.05
980424000	25	203.76	0.57	12
980434800	25	241.45	0.9	3.12
980445600	25	229.23	1.12	4.29
980456400	25	203.31	1.23	6.32
980467200	26	195.19	1.16	6.49
980478000	26	188.1	1.08	6.48
980488800	26	187.38	1.05	6.45
980499600	26	193.76	1.15	6.21
980510400	26	201.2	1.29	6.42
980521200	26	199.58	1.46	6.65
980532000	26	201.13	1.74	6.92
980542800	26	200.09	2.13	7.48
980553600	27	198.05	2.51	7.88
980564400	27	194.6	2.68	8.63
980575200	27	192.78	2.73	8.71
980586000	27	189.33	2.6	8.6
980596800	27	187.1	2.37	8.48
980607600	27	182.79	2.11	8.34
980618400	27	180.78	1.87	8.31
980629200	27	177.69	1.69	8.37
980640000	28	189.76	1.53	9.73
980650800	28	187.97	1.49	9.72
980661600	28	64.65	1.52	3.57
980672400	28	182.56	1.35	9.13
980683200	28	184.62	1.18	9.01
980694000	28	184.2	1.03	8.91
980704800	28	179.31	0.9	8.69
980715600	28	179.15	0.82	8.37
980726400	29	180.77	0.76	8.2
980737200	29	180.14	0.72	8.04
980748000	29	175.93	0.68	7.78
980758800	29	175.47	0.64	7.6
980769600	29	176.19	0.58	7.49
980780400	29	175.7	0.52	7.41
980791200	29	176.51	0.48	7.34
980802000	29	175.85	0.43	7.29
980812800	30	171.77	0.43	7.21
980823600	30	57.22	0.61	3.11
980834400	30	53.88	0.67	3.7
980845200	30	51.37	0.74	4.68
980856000	30	54.53	0.78	5.2
980866800	30	55.37	0.8	5.44
980877600	30	67.03	0.76	5.6
980888400	30	69.92	0.73	5.6
980899200	31	277.58	0.89	3.21
980910000	31	247.4	0.73	4.17
980920800	31	185.25	0.97	3.57
980931600	31	193.85	1.13	4.75
980942400	31	189.84	1.11	5.21
980953200	31	188.85	1.03	5.37
980964000	31	182.67	0.93	5.48
980974800	31	181.7	0.83	5.5
980985600	32	189.41	0.71	5.42
980996400	32	191.26	0.63	5.35
981007200	32	192.5	0.56	5.3
981018000	32	192.42	0.54	5.27
981028800	32	157.38	0.53	8.41
981039600	32	177.92	0.56	9.03
981050400	32	213.57	0.79	5.18
981061200	32	207.69	1.03	5.84
981072000	33	195.62	1.14	6.63
981082800	33	189.9	1.15	6.93
981093600	33	188	1.14	7.12
981104400	33	184.67	1.11	7.37
981115200	33	175.93	1.1	8.01
981126000	33	23.44	1.32	3.21
981136800	33	9.75	1.18	3.57
981147600	33	178.62	1.09	10.57
981158400	34	182.48	0.99	10.18
981169200	34	180.91	0.87	9.96
981180000	34	182.22	0.74	9.79
981190800	34	171.99	0.69	9.66
981201600	34	297.56	0.73	2.9
981212400	34	297.26	0.88	3.15
981223200	34	307.72	0.8	3.55
981234000	34	311.66	0.8	3.49
981244800	35	321.03	0.73	3.48
981255600	35	323.51	0.64	3.44
981266400	35	187.21	0.57	11.03
981277200	35	308.2	0.74	3
981288000	35	305.04	0.89	3.22
981298800	35	299.63	1.22	3.57
981309600	35	200.97	1.06	14.32
981320400	35	196.5	0.95	14.3
981331200	36	199.67	0.87	13.38
981342000	36	193.27	0.81	12.29
981352800	36	331.02	1.03	3.12
981363600	36	287.68	1.06	3.83
981374400	36	230.19	1.05	4.18
981385200	36	202.82	1.55	5.46
981396000	36	195.59	1.73	6.47
981406800	36	194.19	1.74	6.9
981417600	37	194.4	1.77	7.05
981428400	37	195.2	1.91	7.21
981439200	37	197.54	2.04	7.46
981450000	37	194.18	2.09	7.76
981460800	37	194.04	2.02	7.89
981471600	37	189.93	1.85	7.85
981482400	37	187.36	1.61	7.56
981493200	37	181.88	1.38	7.23
981504000	38	186.48	1.21	8.02
981514800	38	184.36	1.11	8.21
981525600	38	348.45	1.1	3.23
981536400	38	185.61	0.93	8.55
981547200	38	163.5	0.83	9.7
981558000	38	302.98	0.88	3.11
981568800	38	171.52	0.82	9.97
981579600	38	169.48	0.77	10.11
981590400	39	171.62	0.71	10.27
981601200	39	170.44	0.67	10.3
981612000	39	169.16	0.64	10.23
981622800	39	164.7	0.63	10.18
981633600	39	168.48	0.77	10.13
981644400	39	290.45	0.92	3.36
981655200	39	285.66	0.78	3.62
981666000	39	144.66	0.7	9.61
981676800	40	147.44	0.67	9.4
981687600	40	149.62	0.65	9.24
981698400	40	152.02	0.67	9.14
981709200	40	154.21	0.72	9.09
981720000	40	158.05	0.74	9.09
981730800	40	159.9	0.8	9.09
981741600	40	319.74	1.08	3.19
981752400	40	304.51	0.94	3.36
981763200	41	159.78	0.82	9.13
981774000	41	149.79	0.72	9.11
981784800	41	79.06	0.66	6.13
981795600	41	79.6	0.63	6.21
981806400	41	79.83	0.59	6.33
981817200	41	79.06	0.59	6.69
981828000	41	291.79	1	3.2
981838800	41	283.67	0.94	3.63
981849600	42	279.55	0.78	3.95
981860400	42	278.48	0.63	4
981871200	42	79.25	0.53	7.78
981882000	42	96.33	0.48	8.03
981892800	42	93.11	0.49	8.12
981903600	42	NA	0.76	NA
981914400	42	171.65	1	3.63
981925200	42	163.48	0.95	4.15
981936000	43	158.9	0.93	4.23
981946800	43	155.23	0.91	4.3
981957600	43	152.37	0.88	4.35
981968400	43	149.75	0.86	4.39
981979200	43	146.05	0.82	4.41
981990000	43	141.25	0.8	4.42
982000800	43	136.09	0.8	4.45
982011600	43	131.32	0.8	4.5
982022400	44	118.49	0.78	4.61
982033200	44	114.98	0.79	4.71
982044000	44	112.43	0.8	4.83
982054800	44	110.45	0.82	4.95
982065600	44	43.46	1.07	3.1
982076400	44	14.96	0.93	3.29
982087200	44	97.65	0.85	5.39
982098000	44	347.03	0.8	3.19
982108800	45	102.9	0.73	5.51
982119600	45	104.51	0.68	5.55
982130400	45	101.58	0.66	5.57
982141200	45	95.9	0.66	5.61
982152000	45	89.67	0.65	5.71
982162800	45	87.19	0.67	5.87
982173600	45	250.05	1.04	3.2
982184400	45	250.93	0.83	3.6
982195200	46	253.95	0.68	3.65
982206000	46	99.76	0.6	9.73
982216800	46	93.34	0.53	9.44
982227600	46	95.81	0.48	9.28
982238400	46	92.84	0.52	9.25
982249200	46	119.99	1.01	3.14
982260000	46	123.7	0.95	3.6
982270800	46	125.81	0.85	4.17
982281600	47	149.88	0.82	3.65
982292400	47	153.73	0.98	3.74
982303200	47	140.79	1.07	4.01
982314000	47	145.57	1.01	4.3
982324800	47	142.91	0.92	4.41
982335600	47	141.11	0.83	4.39
982346400	47	139.04	0.77	4.36
982357200	47	99.26	0.73	8.45
982368000	48	95.8	0.7	8.42
982378800	48	97.44	0.67	8.39
982389600	48	94.81	0.75	8.4
982400400	48	93.42	0.93	3.55
982411200	48	93.36	0.85	3.72
982422000	48	98	0.82	3.99
982432800	48	201.97	0.79	10.87
982443600	48	198.42	0.76	10.86
982454400	49	120.91	0.74	8.46
982465200	49	136.28	0.76	8.37
982476000	49	144.55	0.82	8.35
982486800	49	143.8	0.92	8.31
982497600	49	80.11	0.91	3.28
982508400	49	135.17	0.85	8.22
982519200	49	130.12	0.83	8.24
982530000	49	127.08	0.85	8.3
982540800	50	117.07	0.88	8.37
982551600	50	115.94	0.91	8.42
982562400	50	114.39	1.11	8.51
982573200	50	68.63	1.18	3.5
982584000	50	63.32	1.24	3.83
982594800	50	62.86	1.15	4.03
982605600	50	165.95	1.05	9.33
982616400	50	169.89	0.98	9.12
982627200	51	175.53	0.93	8.98
982638000	51	174.26	0.93	8.89
982648800	51	159.38	0.89	8.75
982659600	51	158.45	0.85	8.56
982670400	51	161.46	0.83	8.4
982681200	51	157.07	0.84	5.95
982692000	51	179.97	0.88	10.89
982702800	51	184.85	0.96	11.37
982713600	52	195.56	1.07	13.03
982724400	52	189.14	1.18	14.18
982735200	52	191.01	1.39	14.41
982746000	52	187.93	1.51	14.49
982756800	52	189.6	1.44	14.48
982767600	52	186.66	1.33	14.36
982778400	52	193.23	1.23	12.44
982789200	52	189.89	1.15	11.72
982800000	53	185.95	1.13	11.2
982810800	53	181.68	1.22	10.96
982821600	53	180.7	1.05	10.69
982832400	53	161.72	0.97	10.29
982843200	53	158.23	0.97	10.1
982854000	53	153.46	0.94	10
982864800	53	151.78	0.92	9.92
982875600	53	147.72	0.9	9.86
982886400	54	141.04	0.88	9.84
