Unix	jday	U.component_of_wind
1009843200	1	-0.108859293597031
1009846800	1	-0.898705749075886
1009850400	1	-1.4851435797739
1009854000	1	-0.234701193926422
1009857600	1	1.73984473616956
1009861200	1	4.20405960936507
1009864800	1	3.3421191527171
1009868400	1	2.2817576872247
1009872000	1	3.07126411441428
1009875600	1	3.93955797407725
1009879200	1	4.02420310856483
1009882800	1	4.23280498218434
1009886400	1	2.42222144468037
1009890000	1	2.92716690201638
1009893600	1	2.62751297784114
1009897200	1	2.74036716966419
1009900800	1	2.92964489291115
1009904400	1	2.32132467218479
1009908000	1	-0.0397608372519695
1009911600	1	-0.423253219168114
1009915200	1	-1.31042692823708
1009918800	1	-1.95472810118409
1009922400	1	-3.46176779501411
1009926000	1	-4.92585654622817
1009929600	2	-2.18721243593572
1009933200	2	-1.32757115816448
1009936800	2	0.65400356020378
1009940400	2	2.979183000963
1009944000	2	4.10095632999451
1009947600	2	4.61938996038633
1009951200	2	4.62268226594554
1009954800	2	3.2538649017341
1009958400	2	2.95487919527127
1009962000	2	3.12051250896288
1009965600	2	2.90005094631646
1009969200	2	2.42148272307236
1009972800	2	4.67494431569013
1009976400	2	1.75263269991519
1009980000	2	0.055951531340037
1009983600	2	-0.0899125475197439
1009987200	2	-0.333850151714144
1009990800	2	-0.719531866573636
1009994400	2	-1.09100605633464
1009998000	2	-1.09824876007113
1010001600	2	0.0195487710859001
1010005200	2	0.858813335684468
1010008800	2	1.93560379731832
1010012400	2	2.54089942232708
1010016000	3	4.72653217041724
1010019600	3	3.80071440230094
1010023200	3	3.90588251605615
1010026800	3	4.88473597558045
1010030400	3	3.05546139600218
1010034000	3	1.99305334736948
1010037600	3	-0.789629133978213
1010041200	3	-1.28633269892295
1010044800	3	-2.70518331926522
1010048400	3	-3.71910688026539
1010052000	3	-3.69928871273951
1010055600	3	-3.85774608931108
1010059200	3	-6.06232556277962
1010062800	3	-3.97154463984339
1010066400	3	-2.74047392688675
1010070000	3	-0.708360037569229
1010073600	3	1.54774622500318
1010077200	3	2.84907471006608
1010080800	3	1.71563520118711
1010084400	3	3.62184514309709
1010088000	3	4.48537377010488
1010091600	3	4.52224723995459
1010095200	3	4.01735112480354
1010098800	3	3.49720934129817
1010102400	4	-0.0208739776080524
1010106000	4	0.440433319760287
1010109600	4	1.41991246792124
1010113200	4	2.37233610052551
1010116800	4	2.85411082293531
1010120400	4	3.14385911483611
1010124000	4	2.38314418505801
1010127600	4	2.54899929052201
1010131200	4	2.73234852170566
1010134800	4	1.92054236206249
1010138400	4	0.985057274988933
1010142000	4	0.430669678048958
1010145600	4	0.793773615274929
1010149200	4	0.682952767124885
1010152800	4	1.35530935764841
1010156400	4	2.15084990189853
