Unix	jday	Downward_Long-Wave_Rad_Flux
654739200	274	245.599097399884
654742800	274	245.729014046864
654746400	274	247.071934571569
654750000	274	248.305573928722
654753600	274	249.142265540013
654757200	274	249.953938825372
654760800	274	256.406620689349
654764400	274	255.248156546448
654768000	274	255.481435934538
654771600	274	255.41000559064
654775200	274	255.113415201143
654778800	274	255.140199236083
654782400	274	259.777412408179
654786000	274	259.699090395679
654789600	274	259.364644182674
654793200	274	259.840008524368
654796800	274	262.968658027652
654800400	274	267.96934689046
654804000	274	322.645418716129
654807600	274	322.233370385388
654811200	274	323.920340020378
654814800	274	324.950072130087
654818400	274	327.173594032027
654822000	274	329.336442601925
654825600	275	340.643113646256
654829200	275	341.45173998923
654832800	275	341.08551238407
654836400	275	341.395456480464
654840000	275	341.799285968461
654843600	275	342.158224761102
654847200	275	346.660097599716
654850800	275	346.137610315156
654854400	275	346.152554121299
654858000	275	346.306791791749
654861600	275	346.303019391656
654865200	275	346.261056439585
654868800	275	346.564065911644
654872400	275	346.087204855249
654876000	275	345.63196120258
654879600	275	344.671282196219
654883200	275	344.824621100379
654886800	275	345.470213685823
654890400	275	349.900586046635
654894000	275	350.054067671267
654897600	275	350.242257588195
654901200	275	350.415137397521
654904800	275	350.570632361804
654908400	275	350.70670353585
654912000	276	351.422103527462
654915600	276	351.889194351973
654919200	276	352.148366381897
654922800	276	351.941165337502
654926400	276	351.612489083405
654930000	276	351.292093149197
654933600	276	352.776993872404
654937200	276	351.911671652137
654940800	276	349.719298996026
654944400	276	349.215707746039
654948000	276	349.617340971666
654951600	276	349.980777088649
654955200	276	346.607193031504
654958800	276	346.495935366665
654962400	276	343.512835525485
654966000	276	338.225303144876
654969600	276	339.241281122904
654973200	276	340.563147391962
654976800	276	352.607546874798
654980400	276	353.105860434321
654984000	276	352.577144083698
654987600	276	348.350056910941
654991200	276	343.830066460643
654994800	276	338.233589778831
654998400	277	286.307110697111
655002000	277	286.5446221242
655005600	277	288.656927712391
655009200	277	292.0129017384
655012800	277	297.013227953637
655016400	277	301.797062319379
655020000	277	336.731215727445
655023600	277	335.787081339477
655027200	277	339.513314987602
655030800	277	341.849723854501
655034400	277	342.951046112508
655038000	277	343.42382190921
655041600	277	340.689394262127
655045200	277	340.241102270767
655048800	277	347.886981966126
655052400	277	350.156445418858
655056000	277	351.104398836511
655059600	277	351.950388126008
655063200	277	351.092108230715
655066800	277	351.657079816754
655070400	277	346.564889409214
655074000	277	346.034932665716
655077600	277	342.92095218113
655081200	277	341.758989247707
655084800	278	298.320237195841
655088400	278	295.854836745464
655092000	278	292.101976136156
655095600	278	291.250048554456
655099200	278	294.854545017697
655102800	278	300.855864832279
655106400	278	354.31948096622
655110000	278	353.75711417062
655113600	278	354.078217345075
655117200	278	354.677089113813
655120800	278	354.787976260706
655124400	278	354.984863643985
655128000	278	353.715328763857
655131600	278	353.590169421266
655135200	278	353.493805669455
655138800	278	353.592985684607
655142400	278	353.958382886312
655146000	278	354.393644174277
655149600	278	356.367195749463
655153200	278	356.909367201491
655156800	278	357.268479364978
655160400	278	357.41358134306
655164000	278	357.097250639207
655167600	278	356.514732015188
655171200	279	358.14448091665
655174800	279	357.365599417165
655178400	279	358.06055937275
