Unix	jday	Pressure
757382400	1	98133.1235849357
757386000	1	98105.858858899
757389600	1	98054.3157583993
757393200	1	98017.0510323626
757396800	1	97987.0510323627
757400400	1	97977.0510323626
757404000	1	98027.9414190615
757407600	1	98084.9059272164
757411200	1	98123.7137537528
757414800	1	98151.8704353714
757418400	1	98181.8704353714
757422000	1	98203.7137537528
757425600	1	98214.0155405176
757429200	1	98190.9800486725
757432800	1	98142.823367054
757436400	1	98065.858858899
757440000	1	98055.858858899
757443600	1	98028.8943507441
757447200	1	98043.1220160527
757450800	1	98051.9298425891
757454400	1	98036.1575078978
757458000	1	98015.2655523159
757461600	1	98034.6635476694
757465200	1	98066.7476767149
757468800	2	98020.9769109065
757472400	2	98007.9414190615
757476000	2	98051.8688664884
757479600	2	98120.6766930248
757483200	2	98164.9059272164
757486800	2	98196.7492455978
757490400	2	98243.7137537528
757494000	2	98277.9414190615
757497600	2	98324.9059272164
757501200	2	98374.9059272164
757504800	2	98386.7492455979
757508400	2	98410.9784797895
757512000	2	98372.821798171
757515600	2	98362.8217981709
757519200	2	98374.0139716346
757522800	2	98382.821798171
757526400	2	98412.821798171
757530000	2	98448.2432058263
757533600	2	98504.0139716346
757537200	2	98537.0510323626
757540800	2	98520.9784797896
757544400	2	98530.9784797895
757548000	2	98560.9784797895
757551600	2	98572.821798171
757555200	3	98568.2432058263
757558800	3	98556.1590767808
757562400	3	98556.7492455979
757566000	3	98528.8943507441
757569600	3	98483.1235849357
757573200	3	98411.9298425891
757576800	3	98368.0023951622
757580400	3	98354.0765166183
757584000	3	98312.2331982369
757587600	3	98281.341242655
757591200	3	98190.4492870732
757594800	3	98107.7140131099
757598400	3	98023.4847789182
757602000	3	97980.4492870732
757605600	3	97956.2200528815
757609200	3	97900.4492870732
757612800	3	97853.4847789182
757616400	3	97823.4847789182
757620000	3	97763.4832100352
757623600	3	97792.2926054546
757627200	3	97800.4492870732
757630800	3	97830.1475003084
757634400	3	97786.2200528815
757638000	3	97791.4006498728
757641600	4	97820.5055565249
757645200	4	97884.4345728348
757648800	4	97952.5912544533
757652400	4	97999.8591182561
757656000	4	97936.8236264111
757659600	4	97870.752642721
757663200	4	97760.752642721
757666800	4	97752.8961789841
757670400	4	97689.8591182561
757674000	4	97609.8591182561
757677600	4	97426.8267641771
757681200	4	97198.6716514415
757684800	4	96833.2589418497
757688400	4	96763.5560219654
757692000	4	96786.2318887109
757695600	4	96814.0867835647
757699200	4	96918.0142309917
757702800	4	96976.5202707633
757706400	4	97125.2655523159
757710000	4	97272.2300604709
757713600	4	97426.1575078978
757717200	4	97567.0494634796
757720800	4	97727.0494634796
757724400	4	97865.2061450982
757728000	5	98037.6412011797
757731600	5	98158.8333746433
757735200	5	98254.6041404517
757738800	5	98362.7608220703
757742400	5	98435.4960960335
757746000	5	98515.4960960335
757749600	5	98575.7978827983
757753200	5	98654.6057093347
757756800	5	98735.7994516813
757760400	5	98855.7994516813
757764000	5	98925.7994516813
757767600	5	98998.8349435264
757771200	5	99000.6782619078
757774800	5	99031.8720042544
757778400	5	99071.8720042544
757782000	5	99077.6427700627
757785600	5	99091.8720042544
757789200	5	99103.7153226358
757792800	5	99134.9074960995
757796400	5	99144.9074960994
757800000	5	99160.9784797895
757803600	5	99153.7137537528
757807200	5	99134.9059272164
757810800	5	99130.6766930248
757814400	6	99177.6396322967
757818000	6	99164.9043583334
757821600	6	99113.7121848698
757825200	6	99057.9414190615
757828800	6	99057.9414190615
757832400	6	99066.7492455979
757836000	6	99067.9429879445
757839600	6	99044.0155405176
757843200	6	99010.9800486726
757846800	6	99059.7878752089
757850400	6	99064.0171094006
757854000	6	99084.0171094006
757857600	6	99037.3543880104
757861200	6	98993.4269405835
757864800	6	98916.4640013116
757868400	6	98801.3428115381
757872000	6	98745.2702589649
757875600	6	98704.3783033831
757879200	6	98673.1845610365
757882800	6	98700.4492870732
757886400	6	98741.6414605368
757890000	6	98753.4847789182
757893600	6	98756.5218396463
757897200	6	98769.2571136096
757900800	7	98749.2555447266
757904400	7	98796.2200528815
757908000	7	98815.5689079637
757911600	7	98795.5689079637
757915200	7	98785.2686900819
757918800	7	98792.2331982369
757922400	7	98855.2686900819
757926000	7	98903.4253717005
757929600	7	98962.2331982369
757933200	7	99019.1977063919
757936800	7	99072.2331982369
757940400	7	99112.2331982369
757944000	7	99051.6430294198
757947600	7	99049.7997110384
757951200	7	99015.5704768467
757954800	7	98972.5349850017
757958400	7	98966.4624324286
757962000	7	98976.4624324286
757965600	7	99056.4624324286
757969200	7	99065.2702589649
757972800	7	99052.2331982369
757976400	7	99026.4624324286
757980000	7	99012.2331982369
757983600	7	99032.2331982369
757987200	8	99115.2686900819
757990800	8	99086.4624324286
757994400	8	99035.270258965
757998000	8	98992.5349850017
758001600	8	98949.4994931566
758005200	8	98932.2347671199
758008800	8	98931.342811538
758012400	8	98925.2702589649
758016000	8	98949.4994931566
758019600	8	98995.270258965
758023200	8	98985.2702589649
758026800	8	98985.2702589649
758030400	8	98847.4153641111
758034000	8	98768.6075375748
758037600	8	98720.4508559562
758041200	8	98660.4508559562
758044800	8	98632.2941743376
758048400	8	98619.5589003743
758052000	8	98673.4863478012
758055600	8	98694.3783033831
758059200	8	98714.3783033831
758062800	8	98703.4863478012
758066400	8	98666.5218396463
758070000	8	98655.6298840644
758073600	9	98614.7379284826
758077200	9	98615.9316708292
758080800	9	98540.8120499387
758084400	9	98467.7749892106
758088000	9	98443.8459729007
758091600	9	98419.3149519443
758095200	9	98498.0602334969
758098800	9	98576.206648169
758102400	9	98630.376475143
758106000	9	98674.6057093347
758109600	9	98769.9677097723
758113200	9	98863.6052062639
758116800	9	98781.5804844361
758120400	9	98787.9414190615
758124000	9	98804.9059272164
758127600	9	98803.062608835
758131200	9	98814.9059272164
758134800	9	98872.1706532532
758138400	9	98950.9769109065
758142000	9	99004.9059272164
758145600	9	99060.9769109065
758149200	9	99187.9414190615
758152800	9	99228.8333746433
758156400	9	99275.7978827983
758160000	10	99275.4976649165
758163600	10	99296.3896204984
758167200	10	99280.6188546901
758170800	10	99264.546302117
758174400	10	99284.546302117
758178000	10	99320.3170679253
758181600	10	99304.2429464692
758185200	10	99380.3154990423
758188800	10	99426.3880516154
758192400	10	99492.4606041885
758196000	10	99549.7253302252
758199600	10	99591.5686486066
758203200	10	99618.5315878786
758206800	10	99639.7253302252
758210400	10	99635.4960960335
758214000	10	99632.4590353055
758217600	10	99659.4235434604
758221200	10	99689.4235434604
758224800	10	99751.2668618418
758228400	10	99802.4590353055
758232000	10	99853.6512087691
758235600	10	99892.1572485407
758239200	10	99903.3494220043
758242800	10	99907.2768694312
758246400	11	99907.2768694312
758250000	11	99924.2413775862
758253600	11	99924.2413775862
758257200	11	99904.2413775862
758260800	11	99872.3980592047
758264400	11	99855.4335510498
758268000	11	99851.5061036229
758271600	11	99883.6512087691
758275200	11	99929.7237613422
758278800	11	99985.7963139153
758282400	11	100025.796313915
758286000	11	100061.868866488
758289600	11	100116.09810068
758293200	11	100127.941419061
758296800	11	100176.749245598
758300400	11	100196.749245598
758304000	11	100222.170653253
758307600	11	100259.135161408
758311200	11	100207.942987945
758314800	11	100236.749245598
758318400	11	100280.676693025
758322000	11	100314.904358333
758325600	11	100318.83180576
758329200	11	100314.602571569
758332800	12	100299.722192459
758336400	12	100289.722192459
758340000	12	100292.457466422
758343600	12	100292.457466422
758347200	12	100235.494527151
758350800	12	100201.567079724
758354400	12	100169.723761342
758358000	12	100158.531587879
758361600	12	100175.496096034
758365200	12	100235.496096034
758368800	12	100255.496096034
758372400	12	100279.725330225
758376000	12	100236.68983838
758379600	12	100209.725330225
758383200	12	100198.533156762
758386800	12	100159.725330225
758390400	12	100126.68983838
758394000	12	100112.460604188
758397600	12	100147.581793962
758401200	12	100151.509241389
758404800	12	100179.123325579
758408400	12	100210.315499042
758412000	12	100192.158817424
758415600	12	100173.350990887
758419200	13	100133.350990887
758422800	13	100107.278438314
758426400	13	100077.278438314
758430000	13	100047.278438314
758433600	13	99997.2784383142
758437200	13	99966.0862648506
758440800	13	99984.544733234
758444400	13	99977.580225079
758448000	13	99991.8094592707
758451600	13	100032.460604188
758455200	13	100013.652777652
758458800	13	100010.617285807
758462400	13	99865.4960960335
758466000	13	99892.7623909533
758469600	13	99886.6898383802
758473200	13	99866.6898383802
758476800	13	99842.4606041885
758480400	13	99829.7253302252
758484000	13	99752.4606041885
758487600	13	99759.7253302252
758491200	13	99759.7253302252
758494800	13	99770.9175036888
758498400	13	99735.4960960335
758502000	13	99696.6882694972
758505600	14	99703.6512087691
758509200	14	99642.4590353055
758512800	14	99602.4590353055
758516400	14	99578.5315878786
758520000	14	99522.7608220702
758523600	14	99482.7608220703
758527200	14	99365.7978827983
758530800	14	99344.6057093347
758534400	14	99314.6057093347
758538000	14	99334.6057093347
758541600	14	99324.6057093347
758545200	14	99325.7978827983
758548800	14	99191.8704353714
758552400	14	99144.9059272165
758556000	14	99084.9059272164
758559600	14	99031.8704353714
758563200	14	99003.7137537528
758566800	14	98950.9784797895
758570400	14	98856.1590767808
758574000	14	98806.1590767808
758577600	14	98751.339673772
758581200	14	98644.375165617
758584800	14	98612.8320651174
758588400	14	98525.3249595336
758592000	15	98450.1443625424
758595600	15	98480.9769109065
758599200	15	98503.6512087691
758602800	15	98543.6512087691
758606400	15	98598.5300189956
758610000	15	98637.6380634137
758613600	15	98614.6025715687
758617200	15	98674.6025715687
758620800	15	98778.5300189956
758624400	15	98901.5670797236
758628000	15	98961.5670797236
758631600	15	99018.5315878786
758635200	15	99070.37490626
758638800	15	99090.37490626
758642400	15	99111.5670797236
758646000	15	99131.5670797236
758649600	15	99158.5315878786
758653200	15	99199.7237613422
758656800	15	99194.3023536869
758660400	15	99239.7237613422
758664000	15	99301.2652929589
758667600	15	99369.4219745774
758671200	15	99411.2652929589
758674800	15	99435.1927403857
758678400	16	99352.1572485407
758682000	16	99339.1201878126
758685600	16	99345.1911715027
758689200	16	99377.926445466
758692800	16	99419.1186189296
758696400	16	99439.4204056944
758700000	16	99405.4929582675
758703600	16	99451.2652929589
758707200	16	99477.3378455319
758710800	16	99535.4945271505
758714400	16	99602.7592531872
758718000	16	99665.4945271505
758721600	16	99668.5315878786
758725200	16	99712.7608220703
758728800	16	99722.4590353055
758732400	16	99739.4235434604
758736000	16	99762.4590353055
758739600	16	99789.4235434604
758743200	16	99832.4590353055
758746800	16	99862.4590353055
758750400	16	99892.4590353055
758754000	16	99918.2298011138
758757600	16	99873.3494220043
758761200	16	99856.3849138494
758764800	17	99911.2043168581
758768400	17	99881.2043168581
758772000	17	99891.2043168581
758775600	17	99890.0121433945
758779200	17	99836.0846959676
758782800	17	99810.3139301593
758786400	17	99763.3509908873
758790000	17	99795.1943092687
758793600	17	99845.4960960335
758797200	17	99875.4960960335
758800800	17	99835.4960960335
758804400	17	99822.4590353055
758808000	17	99746.3864827324
758811600	17	99772.4590353055
758815200	17	99764.6041404517
758818800	17	99724.6041404517
758822400	17	99680.6766930248
758826000	17	99647.9414190615
758829600	17	99669.4845195611
758833200	17	99686.4490277161
758836800	17	99719.7847374429
758840400	17	99661.9282737061
758844000	17	99608.892781861
758847600	17	99555.857290016
758851200	18	99566.1590767808
758854800	18	99506.1590767808
758858400	18	99466.1590767808
758862000	18	99431.0394558903
758865600	18	99371.339673772
758869200	18	99305.9182661167
758872800	18	99203.4832100352
758876400	18	99175.3265284166
758880000	18	99155.6283151814
758883600	18	99151.097294225
758887200	18	99135.0247416519
758890800	18	99132.8796365056
758894400	18	99083.7715920875
758898000	18	99074.9653344341
758901600	18	99072.821798171
758905200	18	99087.0510323626
758908800	18	99070.0865242077
758912400	18	99078.8943507441
758916000	18	99068.8943507441
758919600	18	99078.8943507441
758923200	18	99073.1235849357
758926800	18	99082.821798171
758930400	18	99078.8943507441
758934000	18	99048.304181927
758937600	19	99002.2910365716
758941200	19	99026.5187018803
758944800	19	99016.2169151155
758948400	19	99024.3735967341
758952000	19	98987.1088706973
758955600	19	98966.8086528156
758959200	19	98928.8927818611
758962800	19	98960.9784797895
758966400	19	98979.7863063259
758970000	19	99079.7863063259
758973600	19	99109.7863063259
758977200	19	99154.0155405176
758980800	19	99077.9429879445
758984400	19	99116.7508144809
758988000	19	99122.1722221362
758991600	19	99105.2077139812
758995200	19	99120.9784797895
758998800	19	99156.7492455979
759002400	19	99194.9059272164
759006000	19	99244.9059272164
759009600	19	99324.9059272164
759013200	19	99390.9784797895
759016800	19	99399.7863063259
759020400	19	99422.1722221362
759024000	20	99444.9074960994
759027600	20	99463.064177718
