Unix	jday	Pressure
1112313600	91	99608.5315878786
1112317200	91	99579.7237613422
1112320800	91	99549.7237613422
1112324400	91	99518.5315878786
1112328000	91	99458.5315878786
1112331600	91	99421.5686486066
1112335200	91	99391.5686486066
1112338800	91	99345.4960960335
1112342400	91	99375.7978827983
1112346000	91	99398.5331567616
1112349600	91	99348.5331567616
1112353200	91	99328.5331567616
1112356800	91	99245.7978827983
1112360400	91	99187.6412011797
1112364000	91	99121.5686486066
1112367600	91	99091.5686486066
1112371200	91	99084.6057093347
1112374800	91	99047.6412011797
1112378400	91	98914.9059272164
1112382000	91	98889.7253302252
1112385600	91	98936.6898383802
1112389200	91	98978.5331567616
1112392800	91	98973.9545644169
1112396400	91	98966.9900562619
1112400000	92	99028.5331567616
1112403600	92	98993.411966988
1112407200	92	98987.9414190615
1112410800	92	98981.9298425891
1112414400	92	98953.1235849357
1112418000	92	98920.0880930907
1112421600	92	98889.7878752089
1112425200	92	98950.6798307908
1112428800	92	99010.378044026
1112432400	92	99081.5702174896
1112436000	92	99122.7623909533
1112439600	92	99174.6057093347
1112443200	92	99227.6427700627
1112446800	92	99247.6427700627
1112450400	92	99291.5702174896
1112454000	92	99354.6057093347
1112457600	92	99394.6057093347
1112461200	92	99438.8349435264
1112464800	92	99484.6057093347
1112468400	92	99517.6412011797
1112472000	92	99577.6412011797
1112475600	92	99631.5686486066
1112479200	92	99675.7978827983
1112482800	92	99695.7978827983
1112486400	93	99652.7623909533
1112490000	93	99661.5686486066
1112493600	93	99674.6041404517
1112497200	93	99684.6041404517
1112500800	93	99678.5315878786
1112504400	93	99687.339414415
1112508000	93	99615.4960960335
1112511600	93	99656.6882694972
1112515200	93	99719.7253302252
1112518800	93	99765.4960960335
1112522400	93	99738.5315878786
1112526000	93	99732.7608220703
1112529600	93	99674.6041404517
1112533200	93	99675.4960960335
1112536800	93	99701.5686486066
1112540400	93	99711.5686486066
1112544000	93	99687.6412011797
1112547600	93	99670.6766930248
1112551200	93	99674.6041404517
1112554800	93	99674.6041404517
1112558400	93	99729.7847374429
1112562000	93	99739.1945686258
1112565600	93	99683.1220160527
1112569200	93	99633.1220160527
1112572800	94	99595.2655523159
1112576400	94	99544.3735967341
1112580000	94	99453.1798543874
1112583600	94	99369.8425757776
1112587200	94	99405.5539343682
1112590800	94	99457.0360587672
1112594400	94	99520.0121433945
1112598000	94	99697.2784383142
1112601600	94	99874.2429464692
1112605200	94	100017.580225079
1112608800	94	100063.350990887
1112612400	94	100123.350990887
1112616000	94	100179.421974577
1112619600	94	100279.121756696
1112623200	94	100340.965075077
1112626800	94	100349.421974577
1112630400	94	100418.229801114
1112634000	94	100494.000566922
1112637600	94	100611.265292959
1112641200	94	100681.565510841
1112644800	94	100718.528450113
1112648400	94	100778.226663348
1112652000	94	100815.191171503
1112655600	94	100845.191171503
1112659200	95	100883.347853121
1112662800	95	100854.239808703
1112666400	95	100826.083127085
1112670000	95	100814.239808703
1112673600	95	100819.120187813
1112677200	95	100836.084695968
1112680800	95	100817.278438314
1112684400	95	100874.242946469
1112688000	95	100890.013712278
1112691600	95	100880.013712278
1112695200	95	100831.205885741
1112698800	95	100805.435119933
1112702400	95	100711.506103623
1112706000	95	100766.386482732
1112709600	95	100776.386482732
1112713200	95	100753.651208769
1112716800	95	100726.386482732
1112720400	95	100704.543164351
1112724000	95	100774.543164351
1112727600	95	100773.350990887
1112731200	95	100763.350990887
1112734800	95	100750.313930159
1112738400	95	100723.349422004
1112742000	95	100690.313930159
1112745600	96	100641.506103623
1112749200	96	100576.084695968
1112752800	96	100514.241377586
1112756400	96	100483.049204123
1112760000	96	100460.313930159
1112763600	96	100449.121756696
1112767200	96	100397.278438314
1112770800	96	100416.386482732
1112774400	96	100440.313930159
1112778000	96	100467.578656196
1112781600	96	100472.157248541
1112785200	96	100476.386482732
1112788800	96	100398.530018996
1112792400	96	100408.530018996
1112796000	96	100418.530018996
1112799600	96	100418.530018996
1112803200	96	100395.49452715
1112806800	96	100386.988487379
1112810400	96	100298.83180576
1112814000	96	100294.602571569
1112817600	96	100322.759253187
1112821200	96	100361.567079724
1112824800	96	100399.723761342
1112828400	96	100434.302353687
1112832000	97	100519.421974577
1112835600	97	100472.155679658
1112839200	97	100459.120187813
1112842800	97	100427.276869431
1112846400	97	100416.084695968
1112850000	97	100420.313930159
1112853600	97	100459.421974577
1112857200	97	100515.494527151
1112860800	97	100584.302353687
1112864400	97	100631.567079724
1112868000	97	100639.723761342
1112871600	97	100654.302353687
1112875200	97	100602.759253187
1112878800	97	100628.531587879
1112882400	97	100625.796313915
1112886000	97	100630.37490626
1112889600	97	100627.639632297
1112893200	97	100637.639632297
1112896800	97	100674.604140452
1112900400	97	100741.568648607
1112904000	97	100807.339414415
1112907600	97	100854.604140452
1112911200	97	100885.796313915
1112914800	97	100897.639632297
1112918400	98	100850.025548107
1112922000	98	100811.567079724
1112925600	98	100779.723761342
1112929200	98	100765.796313915
1112932800	98	100765.796313915
1112936400	98	100765.796313915
1112940000	98	100821.567079724
1112943600	98	100829.723761342
1112947200	98	100851.567079724
1112950800	98	100863.410398105
1112954400	98	100844.602571569
1112958000	98	100838.530018996
1112961600	98	100747.638063414
1112965200	98	100771.565510841
1112968800	98	100788.228232231
1112972400	98	100762.457466422
1112976000	98	100735.192740386
1112979600	98	100719.421974577
1112983200	98	100843.349422004
1112986800	98	100850.614148041
1112990400	98	100835.492958267
1112994000	98	100828.228232231
1112997600	98	100807.577087313
