Unix	jday	Downward_Short.Wave_Rad_Flux
1199145600	1	1067.54001671121
1199149200	1	1067.54001671121
1199152800	1	1057.21549518228
1199156400	1	1027.62495650082
1199160000	1	980.380854063222
1199163600	1	918.172486085634
1199167200	1	272.651348912829
1199170800	1	272.651348912829
1199174400	1	180.104202188216
1199178000	1	120.62586199442
1199181600	1	90.4740604124211
1199185200	1	72.3680195752786
1199188800	1	0
1199192400	1	0
1199196000	1	0
1199199600	1	0
1199203200	1	0
1199206800	1	0
1199210400	1	227.140809391481
1199214000	1	227.140809391481
1199217600	1	328.696233922207
1199221200	1	428.365857898407
1199224800	1	521.107521577
1199228400	1	603.358991051892
1199232000	2	1048.21053175228
1199235600	2	1048.21053175228
1199239200	2	1029.0725123088
1199242800	2	981.282271750841
1199246400	2	922.46618989451
1199250000	2	860.467756494115
1199253600	2	266.95637676071
1199257200	2	266.95637676071
1199260800	2	175.95000436003
1199264400	2	117.834895099399
1199268000	2	88.3757242976416
1199271600	2	70.7012997282856
1199275200	2	0
1199278800	2	0
1199282400	2	0
1199286000	2	0
1199289600	2	0
1199293200	2	0
1199296800	2	190.241920976215
1199300400	2	190.241920976215
1199304000	2	280.672196642419
1199307600	2	364.501627192602
1199311200	2	422.872063270689
1199314800	2	456.257225629992
1199318400	3	462.208946938381
1199322000	3	462.208946938381
1199325600	3	610.360728834276
1199329200	3	658.623573002576
1199332800	3	679.745992653855
1199336400	3	672.064266224064
1199340000	3	253.880932579176
1199343600	3	253.880932579176
1199347200	3	168.75693857432
1199350800	3	113.035639208506
1199354400	3	84.7807329871129
1199358000	3	67.8289464798524
1199361600	3	0
1199365200	3	0
1199368800	3	0
1199372400	3	0
1199376000	3	0
1199379600	3	0
1199383200	3	23.3438240541483
1199386800	3	23.3438240541483
1199390400	3	72.4245777448619
1199394000	3	115.393484045523
1199397600	3	153.192962233488
1199401200	3	185.874611119071
1199404800	4	463.818890328051
1199408400	4	463.818890328051
1199412000	4	477.485336087685
1199415600	4	496.606782965759
1199419200	4	524.887368081814
1199422800	4	536.63978054063
1199426400	4	271.3169642504
1199430000	4	271.3169642504
1199433600	4	179.138241046766
1199437200	4	119.968688678289
1199440800	4	89.9815067106767
1199444400	4	71.9778531557847
1199448000	4	0
1199451600	4	0
1199455200	4	0
1199458800	4	0
1199462400	4	0
1199466000	4	0
1199469600	4	210.809041148203
1199473200	4	210.809041148203
1199476800	4	312.048940560147
1199480400	4	412.101649554179
1199484000	4	506.514102124951
1199487600	4	591.307807405706
1199491200	5	1063.6665106566
1199494800	5	1063.6665106566
1199498400	5	1052.21676453802
1199502000	5	1021.81570400425
1199505600	5	974.59472882795
1199509200	5	912.812880668371
1199512800	5	272.146777053468
1199516400	5	272.146777053468
1199520000	5	179.963206372438
1199523600	5	120.531183542132
1199527200	5	90.4034416428764
1199530800	5	72.3106331146825
1199534400	5	0
1199538000	5	0
1199541600	5	0
1199545200	5	0
1199548800	5	0
1199552400	5	0
1199556000	5	205.308953005871
1199559600	5	205.308953005871
1199563200	5	306.537724267377
1199566800	5	406.257645926907
1199570400	5	499.58217041533
1199574000	5	582.862889491818
1199577600	6	1039.35910612678
1199581200	6	1039.35910612678
1199584800	6	1026.02683603091
1199588400	6	996.506291151188
1199592000	6	950.466260127054
1199595600	6	889.479007895982
1199599200	6	249.171992715311
1199602800	6	249.171992715311
