Unix	jday	Downward_Short-Wave_Rad_Flux
1243814400	152	179.633940955443
1243818000	152	179.633940955443
1243821600	152	171.206912355672
1243825200	152	164.226836521721
1243828800	152	151.322133234269
1243832400	152	128.551045362403
1243836000	152	0
1243839600	152	0
1243843200	152	0
1243846800	152	0
1243850400	152	0
1243854000	152	0
1243857600	152	0
1243861200	152	0
1243864800	152	0
1243868400	152	0
1243872000	152	0
1243875600	152	0
1243879200	152	0
1243882800	152	0
1243886400	152	0
1243890000	152	13.0995274147604
1243893600	152	52.8166290424918
1243897200	152	99.1399535655804
1243900800	153	394.649781906739
1243904400	153	394.649781906739
1243908000	153	380.835340023793
1243911600	153	350.0251113072
1243915200	153	307.435382372558
1243918800	153	255.831302358699
1243922400	153	0
1243926000	153	0
1243929600	153	0
1243933200	153	0
1243936800	153	0
1243940400	153	0
1243944000	153	0
1243947600	153	0
1243951200	153	0
1243954800	153	0
1243958400	153	0
1243962000	153	0
1243965600	153	0
1243969200	153	0
1243972800	153	0
1243976400	153	12.3304869589306
1243980000	153	50.4661486737013
1243983600	153	96.3666865367501
1243987200	154	387.982437776102
1243990800	154	387.982437776102
1243994400	154	375.594462515864
1243998000	154	348.494263645148
1244001600	154	306.515470505255
1244005200	154	254.851097351193
1244008800	154	0
1244012400	154	0
1244016000	154	0
1244019600	154	0
1244023200	154	0
1244026800	154	0
1244030400	154	0
1244034000	154	0
1244037600	154	0
1244041200	154	0
1244044800	154	0
1244048400	154	0
1244052000	154	0
1244055600	154	0
1244059200	154	0
1244062800	154	7.58582916210451
1244066400	154	35.1340060651792
1244070000	154	72.4837675443987
1244073600	155	381.83830705778
1244077200	155	381.83830705778
1244080800	155	369.868809368471
1244084400	155	341.943004665419
1244088000	155	300.138348145102
1244091600	155	249.300286691593
1244095200	155	0
1244098800	155	0
1244102400	155	0
1244106000	155	0
1244109600	155	0
1244113200	155	0
1244116800	155	0
1244120400	155	0
1244124000	155	0
1244127600	155	0
1244131200	155	0
1244134800	155	0
1244138400	155	0
1244142000	155	0
1244145600	155	0
1244149200	155	11.2553138822618
1244152800	155	44.4249610713748
1244156400	155	86.3541883395688
1244160000	156	328.563598562312
1244163600	156	328.563598562312
1244167200	156	322.960765459959
1244170800	156	306.434599333622
1244174400	156	272.446380109165
1244178000	156	226.6708621831
1244181600	156	0
1244185200	156	0
1244188800	156	0
1244192400	156	0
1244196000	156	0
1244199600	156	0
1244203200	156	0
1244206800	156	0
1244210400	156	0
1244214000	156	0
1244217600	156	0
1244221200	156	0
1244224800	156	0
1244228400	156	0
1244232000	156	0
1244235600	156	10.5155281930038
1244239200	156	45.109188931454
1244242800	156	85.2848342246987
1244246400	157	221.020012699367
1244250000	157	221.020012699367
1244253600	157	200.282467567009
1244257200	157	155.229565390244
1244260800	157	124.694988646887
1244264400	157	101.583555533066
1244268000	157	0
1244271600	157	0
1244275200	157	0
1244278800	157	0
1244282400	157	0
1244286000	157	0
1244289600	157	0
1244293200	157	0
1244296800	157	0
1244300400	157	0
1244304000	157	0
1244307600	157	0
1244311200	157	0
1244314800	157	0
1244318400	157	0
1244322000	157	8.05820180194186
1244325600	157	34.0720673334719
1244329200	157	68.8744947313094
1244332800	158	283.870870205375
1244336400	158	283.870870205375
1244340000	158	255.067956130591
1244343600	158	221.466937114233
1244347200	158	185.67632848366
1244350800	158	152.480889486318
1244354400	158	0
1244358000	158	0
1244361600	158	0
1244365200	158	0
1244368800	158	0
1244372400	158	0
1244376000	158	0
1244379600	158	0
1244383200	158	0
1244386800	158	0
1244390400	158	0
1244394000	158	0
1244397600	158	0
1244401200	158	0
1244404800	158	0
1244408400	158	9.42410459754386
1244412000	158	41.3149620404925
1244415600	158	82.8068163084768
1244419200	159	324.106175387669
1244422800	159	324.106175387669
1244426400	159	307.579190722232
1244430000	159	276.838991766747
1244433600	159	237.508648210346
1244437200	159	196.243490520754
1244440800	159	0
1244444400	159	0
1244448000	159	0
1244451600	159	0
1244455200	159	0
1244458800	159	0
1244462400	159	0
1244466000	159	0
1244469600	159	0
1244473200	159	0
1244476800	159	0
1244480400	159	0
1244484000	159	0
1244487600	159	0
1244491200	159	0
1244494800	159	0.982669985430996
1244498400	159	4.82107731817865
1244502000	159	9.82650515897655
1244505600	160	207.41976490478
1244509200	160	207.41976490478
1244512800	160	218.093044502215
1244516400	160	212.707010940573
1244520000	160	188.052692724522
1244523600	160	156.220244505373
1244527200	160	0
1244530800	160	0
1244534400	160	0
1244538000	160	0
1244541600	160	0
1244545200	160	0
1244548800	160	0
1244552400	160	0
1244556000	160	0
1244559600	160	0
1244563200	160	0
1244566800	160	0
1244570400	160	0
1244574000	160	0
1244577600	160	0
1244581200	160	8.16309745206784
1244584800	160	33.6325539150749
1244588400	160	65.5636399500454
1244592000	161	308.297754236667
1244595600	161	308.297754236667
1244599200	161	312.972628076581
1244602800	161	292.224057908556
1244606400	161	253.182126224865
1244610000	161	209.097499124639
1244613600	161	0
1244617200	161	0
1244620800	161	0
1244624400	161	0
1244628000	161	0
1244631600	161	0
1244635200	161	0
1244638800	161	0
1244642400	161	0
1244646000	161	0
1244649600	161	0
1244653200	161	0
1244656800	161	0
1244660400	161	0
1244664000	161	0
1244667600	161	9.12917767551647
1244671200	161	42.5731431499715
1244674800	161	84.6867029384257
1244678400	162	358.276242156973
1244682000	162	358.276242156973
1244685600	162	338.083251698139
1244689200	162	304.152673709301
1244692800	162	263.512181045775
1244696400	162	217.789061840077
1244700000	162	0
1244703600	162	0
1244707200	162	0
1244710800	162	0
1244714400	162	0
1244718000	162	0
1244721600	162	0
1244725200	162	0
1244728800	162	0
1244732400	162	0
1244736000	162	0
1244739600	162	0
1244743200	162	0
1244746800	162	0
1244750400	162	0
1244754000	162	8.69457095329036
1244757600	162	41.6547239399575
1244761200	162	82.312778537255
1244764800	163	305.884819066375
1244768400	163	305.884819066375
1244772000	163	291.082460287033
1244775600	163	263.252317686667
1244779200	163	222.980862977214
1244782800	163	183.200894052956
1244786400	163	0
1244790000	163	0
1244793600	163	0
1244797200	163	0
1244800800	163	0
1244804400	163	0
1244808000	163	0
1244811600	163	0
1244815200	163	0
1244818800	163	0
1244822400	163	0
1244826000	163	0
1244829600	163	0
1244833200	163	0
1244836800	163	0
1244840400	163	2.83837137761279
1244844000	163	14.3181645849951
1244847600	163	31.7777000625767
1244851200	164	256.189683559456
1244854800	164	256.189683559456
1244858400	164	272.709204823841
1244862000	164	260.043959218842
1244865600	164	229.004615219595
1244869200	164	189.645179627044
1244872800	164	0
1244876400	164	0
1244880000	164	0
1244883600	164	0
1244887200	164	0
1244890800	164	0
1244894400	164	0
1244898000	164	0
1244901600	164	0
1244905200	164	0
1244908800	164	0
1244912400	164	0
1244916000	164	0
1244919600	164	0
1244923200	164	0
1244926800	164	5.24384050228128
1244930400	164	27.8193029413824
1244934000	164	58.0749400773398
1244937600	165	324.070565076866
1244941200	165	324.070565076866
1244944800	165	326.847041471781
1244948400	165	303.092760546757
1244952000	165	260.664463128929
1244955600	165	214.546431060404
1244959200	165	0
1244962800	165	0
1244966400	165	0
1244970000	165	0
1244973600	165	0
1244977200	165	0
1244980800	165	0
1244984400	165	0
1244988000	165	0
1244991600	165	0
1244995200	165	0
1244998800	165	0
1245002400	165	0
1245006000	165	0
1245009600	165	0
1245013200	165	8.73956956169151
1245016800	165	43.4483040903525
1245020400	165	87.4407024032305
1245024000	166	372.730764609189
1245027600	166	372.730764609189
1245031200	166	361.164154702557
1245034800	166	333.48739625785
1245038400	166	291.839071860046
1245042000	166	241.664996532412
1245045600	166	0
1245049200	166	0
1245052800	166	0
1245056400	166	0
1245060000	166	0
1245063600	166	0
1245067200	166	0
1245070800	166	0
1245074400	166	0
1245078000	166	0
1245081600	166	0
1245085200	166	0
1245088800	166	0
1245092400	166	0
1245096000	166	0
1245099600	166	6.43953899543907
1245103200	166	37.9681828956171
1245106800	166	82.263761977041
1245110400	167	271.364965961597
