Unix	jday	hs
854755200	32	0.1
854766000	32	0.1
854776800	32	0.11
854787600	32	0.17
854798400	32	0.21
854809200	32	0.23
854820000	32	0.23
854830800	32	0.21
854841600	33	0.2
854852400	33	0.19
854863200	33	0.19
854874000	33	0.18
854884800	33	0.17
854895600	33	0.17
854906400	33	0.28
854917200	33	0.61
854928000	34	0.79
854938800	34	0.99
854949600	34	1.08
854960400	34	1.11
854971200	34	1.18
854982000	34	1.34
854992800	34	1.55
855003600	34	1.75
855014400	35	1.89
855025200	35	1.94
855036000	35	1.9
855046800	35	1.8
855057600	35	1.66
855068400	35	1.51
855079200	35	1.37
855090000	35	1.23
855100800	36	1.13
855111600	36	1.09
855122400	36	1.27
855133200	36	1.73
855144000	36	1.64
855154800	36	1.49
855165600	36	1.28
855176400	36	1.08
855187200	37	0.92
855198000	37	0.8
855208800	37	0.72
855219600	37	0.67
855230400	37	0.65
855241200	37	0.64
855252000	37	0.65
855262800	37	0.66
855273600	38	0.68
855284400	38	1.06
855295200	38	1.05
855306000	38	1.07
855316800	38	1.13
855327600	38	1.15
855338400	38	1.14
855349200	38	1.1
855360000	39	1.06
855370800	39	1.18
855381600	39	1.16
855392400	39	1.07
855403200	39	1.04
855414000	39	1.08
855424800	39	1.13
855435600	39	1.35
855446400	40	1.57
855457200	40	1.88
855468000	40	2
855478800	40	1.98
855489600	40	1.94
855500400	40	1.89
855511200	40	1.82
855522000	40	1.79
855532800	41	1.93
855543600	41	2.14
855554400	41	2.11
855565200	41	2.09
855576000	41	2.08
855586800	41	2.11
855597600	41	2.33
855608400	41	2.73
855619200	42	2.96
855630000	42	3.01
855640800	42	2.98
855651600	42	2.92
855662400	42	2.82
855673200	42	2.7
855684000	42	2.57
855694800	42	2.41
855705600	43	2.23
855716400	43	2.03
855727200	43	1.84
855738000	43	1.86
855748800	43	1.66
855759600	43	1.49
855770400	43	1.33
855781200	43	1.2
855792000	44	1.1
855802800	44	1.01
855813600	44	0.95
855824400	44	0.9
855835200	44	0.87
855846000	44	0.86
855856800	44	0.87
855867600	44	0.89
855878400	45	0.93
855889200	45	1
855900000	45	1.31
855910800	45	1.26
855921600	45	1.23
855932400	45	1.19
855943200	45	1.15
855954000	45	1.13
855964800	46	1.11
855975600	46	1.11
855986400	46	1.12
855997200	46	1.13
856008000	46	1.11
856018800	46	1.09
856029600	46	1.07
856040400	46	1.06
856051200	47	1.05
856062000	47	1.04
856072800	47	1.08
856083600	47	1.23
856094400	47	1.12
856105200	47	1.04
856116000	47	0.99
856126800	47	0.96
856137600	48	0.95
856148400	48	0.97
856159200	48	1.12
856170000	48	1.21
856180800	48	1.24
856191600	48	1.21
856202400	48	1.16
856213200	48	1.1
856224000	49	1.06
856234800	49	1.03
856245600	49	0.99
856256400	49	0.96
856267200	49	0.93
856278000	49	0.92
856288800	49	0.91
856299600	49	0.92
856310400	50	0.94
856321200	50	0.98
856332000	50	1.01
856342800	50	1.04
856353600	50	1.07
856364400	50	1.1
856375200	50	1.14
856386000	50	1.17
856396800	51	1.22
856407600	51	1.33
856418400	51	1.49
856429200	51	1.57
856440000	51	1.56
856450800	51	1.5
856461600	51	1.44
856472400	51	1.43
856483200	52	1.47
856494000	52	1.62
856504800	52	1.77
856515600	52	1.77
856526400	52	1.73
856537200	52	1.7
856548000	52	1.68
856558800	52	1.66
856569600	53	1.62
856580400	53	1.61
856591200	53	1.57
856602000	53	1.5
856612800	53	1.43
856623600	53	1.38
856634400	53	1.39
856645200	53	1.34
856656000	54	1.3
856666800	54	1.27
856677600	54	1.28
856688400	54	1.36
856699200	54	1.52
856710000	54	1.69
856720800	54	1.83
856731600	54	1.92
856742400	55	1.98
856753200	55	2.01
856764000	55	2.01
856774800	55	2
856785600	55	2.06
856796400	55	2.12
856807200	55	2.13
856818000	55	2.09
856828800	56	2.01
856839600	56	1.97
856850400	56	2.03
856861200	56	2.1
856872000	56	2.1
856882800	56	2.11
856893600	56	2.2
856904400	56	2.35
856915200	57	2.49
856926000	57	2.66
856936800	57	2.87
856947600	57	3.07
856958400	57	3.31
856969200	57	3.75
856980000	57	3.97
856990800	57	3.98
857001600	58	3.92
857012400	58	3.84
857023200	58	3.79
857034000	58	3.73
857044800	58	3.65
857055600	58	3.52
857066400	58	3.34
857077200	58	3.14
857088000	59	2.95
857098800	59	2.77
857109600	59	2.6
857120400	59	2.42
857131200	59	2.24
857142000	59	2.07
857152800	59	1.9
857163600	59	1.75
857174400	60	1.61
