Unix	jday	U-component_of_wind
949363200	32	3.65768992594265
949366800	32	3.54555543496709
949370400	32	4.34957112185383
949374000	32	4.76769648159704
949377600	32	4.64390702795331
949381200	32	4.50020782910656
949384800	32	4.12892964853855
949388400	32	3.22917643537121
949392000	32	1.78367661864803
949395600	32	0.196054428986379
949399200	32	-0.705998336483187
949402800	32	-1.28365868159809
949406400	32	0.0569813500574288
949410000	32	-0.208526191196819
949413600	32	-0.476919287512402
949417200	32	-0.566408102725624
949420800	32	-0.817789452738878
949424400	32	-0.971328463995703
949428000	32	-1.68323235013813
949431600	32	-1.78472868068172
949435200	32	-1.48696383111623
949438800	32	-0.269578511037431
949442400	32	2.58151647840327
949446000	32	4.28998139632261
949449600	33	4.37702839090132
949453200	33	5.48155082988352
949456800	33	5.51057816274066
949460400	33	5.87697992782013
949464000	33	5.89573108680892
949467600	33	5.52066011213136
949471200	33	3.04005479877425
949474800	33	2.56972020068576
949478400	33	1.3735901607377
949482000	33	0.0612347214696721
949485600	33	-0.770033711953759
949489200	33	-1.49506555323814
949492800	33	-2.25223358644983
949496400	33	-2.89471992947126
949500000	33	-3.13773043732823
949503600	33	-3.25121603097453
949507200	33	-3.39213916098113
949510800	33	-3.36751665767068
949514400	33	-1.55353372132413
949518000	33	-1.92825674060281
949521600	33	-1.02596031997262
949525200	33	0.453586885243678
949528800	33	1.24773733960093
949532400	33	1.69951205729626
949536000	34	1.17428968792933
949539600	34	1.75268608741582
949543200	34	1.91864589619115
949546800	34	2.01565988627818
949550400	34	1.86235995197731
949554000	34	1.61334902513637
949557600	34	1.24489928660426
949561200	34	1.07973826076736
949564800	34	0.784642435106194
949568400	34	0.664117546625353
949572000	34	0.790689159210957
949575600	34	0.775827611653885
949579200	34	-0.303239293986788
949582800	34	-1.1700980393272
949586400	34	-1.55535632774181
949590000	34	-1.17146639520567
949593600	34	-0.330182226184711
949597200	34	0.48570151007544
949600800	34	1.28573335546327
949604400	34	-0.0758873855032207
949608000	34	-0.762034034118566
949611600	34	-0.193768881986248
949615200	34	0.0132895119109925
949618800	34	0.42700672583554
949622400	35	1.64307264061459
949626000	35	3.07912559732678
949629600	35	3.78289859654738
949633200	35	4.03405403301654
949636800	35	4.36915765610466
949640400	35	4.43378755489343
949644000	35	4.78160613817158
949647600	35	4.02488218479841
949651200	35	3.36013936617261
949654800	35	2.54957285145124
949658400	35	1.88896882698543
949662000	35	1.20688736462546
949665600	35	-1.13431017350165
949669200	35	-1.36941519154801
