Unix	jday	dp	hs	tp
1041379200	1	56.63	0.79	3.82
1041390000	1	57.43	0.89	3.99
1041400800	1	56.15	0.92	4.29
1041411600	1	56.04	0.86	4.46
1041422400	1	54.88	0.76	4.62
1041433200	1	56.09	0.65	4.67
1041444000	1	57.38	0.58	4.69
1041454800	1	58.88	0.53	4.68
1041465600	2	60.4	0.49	4.64
1041476400	2	61.39	0.47	4.57
1041487200	2	92.35	0.47	9.78
1041498000	2	102.64	0.54	9.66
1041508800	2	66.18	0.86	3.32
1041519600	2	67.02	0.68	3.66
1041530400	2	63.29	0.58	4.13
1041541200	2	95.6	0.5	8.93
1041552000	3	106.19	0.46	8.74
1041562800	3	109.1	0.45	8.58
1041573600	3	107.37	0.46	8.52
1041584400	3	107.83	0.46	8.44
1041595200	3	104.8	0.44	8.39
1041606000	3	104.94	0.43	8.31
1041616800	3	100.58	0.44	8.22
1041627600	3	100.77	0.44	8.06
1041638400	4	116.61	0.44	7.92
1041649200	4	116.45	0.44	7.86
1041660000	4	113.61	0.42	7.85
1041670800	4	113.74	0.39	7.94
1041681600	4	86.25	0.38	8.85
1041692400	4	90.19	0.37	8.88
1041703200	4	88.26	0.36	8.94
1041714000	4	92.13	0.39	8.95
1041724800	5	190.7	0.61	3.14
1041735600	5	187.97	0.62	3.52
1041746400	5	173.8	0.63	3.54
1041757200	5	164.2	0.64	3.56
1041768000	5	163.39	0.67	3.58
1041778800	5	169.85	0.62	3.73
1041789600	5	169.88	0.54	3.93
1041800400	5	169.54	0.47	3.99
1041811200	6	171.08	0.44	4.02
1041822000	6	173.5	0.42	4.06
1041832800	6	NA	0.53	NA
1041843600	6	67.89	0.88	3.41
1041854400	6	69.81	0.77	3.64
1041865200	6	71.97	0.72	4.16
1041876000	6	78.03	0.7	4.17
1041886800	6	176.06	0.69	11.11
1041897600	7	172.74	0.67	11.07
1041908400	7	168.53	0.67	11
1041919200	7	167.97	0.68	10.94
1041930000	7	68.04	0.91	3.12
1041940800	7	53.4	0.89	3.56
1041951600	7	44.62	0.85	3.61
1041962400	7	47.14	0.94	3.78
1041973200	7	50.22	1.06	3.96
1041984000	8	56.25	1.3	4.37
1041994800	8	60.43	1.58	4.86
1042005600	8	63.39	1.76	5.25
1042016400	8	72.62	1.78	5.52
1042027200	8	70.86	1.79	5.62
1042038000	8	71.52	1.71	5.64
1042048800	8	70.13	1.77	5.65
1042059600	8	70.28	1.85	5.72
1042070400	9	78.32	2.06	6.08
1042081200	9	86	2.02	6.25
1042092000	9	90.1	1.99	6.38
1042102800	9	90.41	1.89	6.78
1042113600	9	91.58	1.84	7.11
1042124400	9	83.81	1.82	7.59
1042135200	9	84.36	1.78	7.96
1042146000	9	82.23	1.72	8.14
1042156800	10	80.6	1.65	8.2
1042167600	10	83.85	1.58	8.23
1042178400	10	81	1.52	8.27
1042189200	10	83.63	1.46	8.31
1042200000	10	80.22	1.42	8.3
1042210800	10	82.68	1.42	8.25
1042221600	10	80.08	1.65	8.2
1042232400	10	83.97	1.48	8.16
1042243200	11	82.24	1.37	8.13
1042254000	11	86.15	1.28	8.06
1042264800	11	83.82	1.22	8.03
1042275600	11	92.18	1.16	7.98
1042286400	11	91.08	1.12	7.9
1042297200	11	94.68	1.09	7.81
1042308000	11	93.8	1.23	7.81
1042318800	11	195.66	1.5	4.68
1042329600	12	194.88	1.66	5.17
1042340400	12	191.63	1.57	5.41
1042351200	12	180.71	1.46	5.62
1042362000	12	177.85	1.44	5.61
1042372800	12	177.13	1.47	5.52
1042383600	12	177.03	1.51	5.51
1042394400	12	178.07	1.52	5.59
1042405200	12	181.54	1.62	5.6
1042416000	13	185.44	1.71	5.68
1042426800	13	187.38	1.74	5.76
1042437600	13	187.92	1.84	5.94
1042448400	13	182.11	2.04	6.21
1042459200	13	179.51	2.22	6.39
1042470000	13	176.28	2.35	6.71
1042480800	13	174.23	2.27	6.87
1042491600	13	172.15	2.15	6.9
1042502400	14	171.6	2.12	6.85
1042513200	14	169.59	2.11	6.8
1042524000	14	167.06	2	6.87
1042534800	14	164.59	1.85	6.91
1042545600	14	162.74	1.71	6.95
1042556400	14	160.81	1.59	6.95
1042567200	14	159.6	1.48	6.93
1042578000	14	158.98	1.39	6.9
1042588800	15	158.68	1.3	6.88
1042599600	15	158.43	1.23	6.87
1042610400	15	158.1	1.22	6.87
1042621200	15	157.79	1.26	6.89
1042632000	15	132.76	1.32	9.73
1042642800	15	135.21	1.34	9.92
1042653600	15	134.56	1.32	9.85
1042664400	15	136.25	1.27	9.68
1042675200	16	136.79	1.22	9.42
1042686000	16	138.09	1.15	9.23
1042696800	16	137.44	1.21	9.08
1042707600	16	138.73	1.12	8.89
1042718400	16	141.06	0.99	8.53
1042729200	16	141.97	0.9	8.34
1042740000	16	141.53	0.83	8.22
1042750800	16	142.46	0.77	8.08
1042761600	17	147.82	0.73	7.7
1042772400	17	150.4	0.68	7.52
1042783200	17	153.04	0.8	7.43
1042794000	17	82.25	0.92	3.52
1042804800	17	83.42	0.78	3.63
1042815600	17	97.41	0.7	4.17
1042826400	17	106.31	0.64	4.17
1042837200	17	194.16	0.62	13.27
1042848000	18	196.51	0.63	13.24
1042858800	18	192.56	0.65	13.16
1042869600	18	69.82	1	3.16
1042880400	18	59.85	1.14	3.99
1042891200	18	52.01	1.16	4.24
1042902000	18	49.72	0.98	4.33
1042912800	18	50.92	0.87	4.44
1042923600	18	54.17	0.77	4.62
1042934400	19	52.69	0.73	4.72
1042945200	19	306.51	1.16	3.32
1042956000	19	318.01	0.95	4.1
1042966800	19	316.86	0.77	4.03
1042977600	19	317.51	0.65	3.96
