Unix	jday	U-component_of_wind
1020211200	121	5.02708430564529
1020214800	121	6.4102029354688
1020218400	121	7.44231203107688
1020222000	121	7.48722874350545
1020225600	121	6.787597472194
1020229200	121	6.09298027206144
1020232800	121	4.69443756932383
1020236400	121	4.78740732219609
1020240000	121	5.58501716718777
1020243600	121	6.24410997368927
1020247200	121	6.80998339523891
1020250800	121	6.91538105570849
1020254400	121	6.07808651345879
1020258000	121	4.46849123386584
1020261600	121	4.36132909677736
1020265200	121	4.44270451069551
1020268800	121	4.62475294610551
1020272400	121	4.62722470979067
1020276000	121	3.05642463924489
1020279600	121	4.71091143957449
1020283200	121	5.64912439294826
1020286800	121	6.4933918309549
1020290400	121	7.44049973356568
1020294000	121	8.48757619633561
1020297600	122	12.889891461103
1020301200	122	12.1943859621334
1020304800	122	11.7287989638514
1020308400	122	10.7326052779
1020312000	122	9.29179418895323
1020315600	122	7.79732327707451
1020319200	122	3.27736492141847
1020322800	122	4.37109014335699
1020326400	122	5.15714847714727
1020330000	122	5.79098144411582
1020333600	122	5.87230095923276
1020337200	122	5.81969380418407
1020340800	122	5.7355099743679
1020344400	122	4.64891067174919
1020348000	122	4.83433427269671
1020351600	122	5.9518828255021
1020355200	122	7.35161928457156
1020358800	122	8.27510268571136
1020362400	122	8.62032301509582
1020366000	122	8.48095008418002
1020369600	122	8.0381526724882
1020373200	122	7.06196277654915
1020376800	122	7.18630217346765
1020380400	122	7.4635086769168
1020384000	123	8.58931814525361
1020387600	123	8.33943664475864
1020391200	123	8.56491400040972
1020394800	123	8.60159739929316
1020398400	123	8.41518860229285
1020402000	123	8.10407041940088
1020405600	123	6.02828305691186
1020409200	123	7.50963034104961
1020412800	123	7.84800146574252
1020416400	123	7.58732370578869
1020420000	123	7.23446863015373
1020423600	123	6.76539949138856
1020427200	123	7.27917470346947
1020430800	123	6.6528971309496
1020434400	123	6.84539120662717
1020438000	123	7.18771638347423
1020441600	123	7.23061210295308
1020445200	123	7.21917723275922
1020448800	123	6.38921878947744
1020452400	123	7.37261514250016
1020456000	123	7.16725673326452
1020459600	123	6.46937447261013
1020463200	123	5.88647757258243
1020466800	123	5.50209376038543
1020470400	124	6.97428826842542
1020474000	124	5.28115949072934
1020477600	124	5.10001005940428
1020481200	124	5.18765373728093
1020484800	124	5.47740116265322
1020488400	124	5.71300290013102
1020492000	124	5.67483891699927
1020495600	124	6.06479154817677
1020499200	124	6.30819249645921
1020502800	124	6.20059804192247
1020506400	124	6.34265041020031
1020510000	124	6.61498375949108
1020513600	124	6.98010218771065
1020517200	124	6.83053060187437
1020520800	124	6.75607507516702
1020524400	124	6.41821874757547
1020528000	124	5.80514086074991
1020531600	124	5.19742481258883
1020535200	124	4.14851361173631
1020538800	124	2.61038217346132
1020542400	124	1.25768842527459
1020546000	124	0.683321155708409
1020549600	124	0.81417295954037
1020553200	124	0.896901282169973
1020556800	125	-0.196094370684059
1020560400	125	0.790001532497671
1020564000	125	1.39684107776585
1020567600	125	1.58061222864943
1020571200	125	2.02782237886736
1020574800	125	2.34439661533362
1020578400	125	4.47608956435882
1020582000	125	3.23984150766575
1020585600	125	2.41513065547387
1020589200	125	1.34833606464839
1020592800	125	0.467785986432622
1020596400	125	-0.38871345653555
1020600000	125	-0.203664721369976
1020603600	125	-0.733644693550964
1020607200	125	-0.711410771983449
1020610800	125	-0.446440568933336
1020614400	125	-0.148992643840817
1020618000	125	0.0850050535640472
1020621600	125	1.07919210865044
1020625200	125	1.14089499643492
1020628800	125	1.41581559302792
1020632400	125	1.97458796423005
1020636000	125	2.3168183257065
1020639600	125	2.41054437383665
1020643200	126	3.01094022851155
1020646800	126	1.92202295917818
1020650400	126	1.84984003208185
1020654000	126	2.40821420886498
1020657600	126	2.98567943667604
1020661200	126	3.33188492702443
1020664800	126	6.26974301308798
1020668400	126	5.53676099643585
1020672000	126	4.77273754881312
1020675600	126	3.5491502143593
1020679200	126	3.05494163315926
1020682800	126	2.66825546360818
1020686400	126	4.97175910289732
1020690000	126	4.18006240984936
1020693600	126	5.08825530093441
1020697200	126	6.04621922886932
1020700800	126	6.25574279394051
1020704400	126	6.10046766819415
1020708000	126	5.94330023497666
1020711600	126	3.99340184389708
1020715200	126	3.26286008912915
1020718800	126	2.79513789438534
1020722400	126	2.80189503310678
1020726000	126	2.87651549868718
1020729600	127	3.72779080964843
1020733200	127	3.03204037828658
1020736800	127	2.80123804681248
1020740400	127	2.62230956396049
1020744000	127	2.09340876167504
1020747600	127	1.56090595551995
1020751200	127	0.72214184527151
1020754800	127	0.985018156199276
1020758400	127	1.39501004236222
1020762000	127	1.45955037744661
1020765600	127	1.20584300014031
1020769200	127	0.951797486818967
1020772800	127	2.86774993330677
1020776400	127	1.51872581204267
1020780000	127	0.62749122069311
1020783600	127	-0.204884131661398
1020787200	127	-0.96323947402684
1020790800	127	-1.62711585916244
1020794400	127	-1.20102501875313
1020798000	127	-2.02703104884806
1020801600	127	-2.47166384127936
1020805200	127	-2.33359438804072
1020808800	127	-1.4284676452868
1020812400	127	-0.196528988972191
1020816000	128	0.771769582057462
1020819600	128	0.963802455429186
1020823200	128	1.68784201347769
1020826800	128	2.13463684184475
1020830400	128	2.26956196610369
1020834000	128	2.25257682977409
1020837600	128	0.866982479475142
1020841200	128	1.85340178249221
1020844800	128	2.37833950450501
1020848400	128	2.51817010848212
1020852000	128	2.44668836852798
1020855600	128	2.28971856485147
1020859200	128	2.46884695781509
1020862800	128	2.14358252433153
1020866400	128	1.96840581360775
1020870000	128	2.02098835974539
1020873600	128	1.90976173640092
1020877200	128	1.79444117670638
1020880800	128	1.61921712731252
1020884400	128	1.93503540461595
1020888000	128	2.56575898835752
1020891600	128	2.81014102849783
1020895200	128	3.14981587637568
1020898800	128	3.30451989228835
1020902400	129	2.27049559315936
1020906000	129	2.66155650187569
1020909600	129	2.3940011405666
1020913200	129	2.18859002203479
1020916800	129	2.23743263026778
1020920400	129	2.05454891238231
1020924000	129	0.992914836507664
1020927600	129	0.799498306393916
1020931200	129	0.47127917549181
1020934800	129	0.277113977578862
1020938400	129	0.157243208560665
1020942000	129	-0.141795580835754
1020945600	129	-0.398233109534198
1020949200	129	0.509602520043211
1020952800	129	1.57214032840168
1020956400	129	2.05250993039882
1020960000	129	1.98786592362169
1020963600	129	1.83319675259413
1020967200	129	1.21771814901574
1020970800	129	1.42252314558004
1020974400	129	1.61480377829236
1020978000	129	1.80008002997764
1020981600	129	1.69194790800841
1020985200	129	1.49567229670461
1020988800	130	0.907262585420725
1020992400	130	1.13212001592807
1020996000	130	0.977579834616944
1020999600	130	1.3441682412535
1021003200	130	1.86148699131883
1021006800	130	2.33320837194426
1021010400	130	0.757968495010456
1021014000	130	1.3057891827609
1021017600	130	1.24630256430105
1021021200	130	0.680812661606023
1021024800	130	0.389825153057982
1021028400	130	0.0470002151606822
1021032000	130	1.66164724147385
1021035600	130	0.986991299266731
1021039200	130	0.291739378309425
1021042800	130	-0.272233900410309
1021046400	130	-0.47807478676099
1021050000	130	-0.636420202756046
1021053600	130	-0.246394567542182
1021057200	130	0.0533875815476528
1021060800	130	0.196140849609041
1021064400	130	0.186560543238915
1021068000	130	0.0596741972169713
1021071600	130	-0.110514927443203
1021075200	131	-1.76293759902346
1021078800	131	-0.529528366722774
1021082400	131	0.487318050645572
1021086000	131	1.16704298560992
1021089600	131	0.812031281427805
1021093200	131	0.0953921106296999
1021096800	131	-0.273617350783688
1021100400	131	-1.42354202555428
1021104000	131	-1.85493886858484
1021107600	131	-1.64120510883739
1021111200	131	-1.42560701908673
1021114800	131	-1.18421559777711
1021118400	131	-2.13730561654364
1021122000	131	-1.70851234681582
1021125600	131	-1.54341059662824
1021129200	131	-1.61569847075954
1021132800	131	-1.61387684669391
1021136400	131	-1.63115637569603
1021140000	131	0.892199806214931
1021143600	131	0.671316436085501
1021147200	131	0.887472894500549
1021150800	131	1.53245335412575
1021154400	131	2.69230963199377
1021158000	131	3.35685751950994
1021161600	132	3.28547579569532
1021165200	132	3.21431338737202
1021168800	132	3.34013478084904
1021172400	132	3.11886514127358
1021176000	132	2.34777294338251
