Unix	jday	V-component_of_wind
1033430400	274	2.7481333652666
1033434000	274	1.86060245984139
1033437600	274	1.80794059226129
1033441200	274	2.10035491133912
1033444800	274	2.79066908611121
1033448400	274	3.29587698987086
1033452000	274	2.78370148043819
1033455600	274	3.02259293364461
1033459200	274	3.12876104108053
1033462800	274	3.16419178644555
1033466400	274	3.15926255928499
1033470000	274	3.09347877712612
1033473600	274	1.49032837050242
1033477200	274	2.24295502259789
1033480800	274	3.27843179087741
1033484400	274	4.02282875732572
1033488000	274	4.10411380666185
1033491600	274	4.06226362906747
1033495200	274	3.30372358689971
1033498800	274	3.04470700971962
1033502400	274	3.37825754822047
1033506000	274	3.37175541069532
1033509600	274	3.1129534577837
1033513200	274	2.83193830896828
1033516800	275	2.26110192927492
1033520400	275	1.68966682131667
1033524000	275	1.61754636419287
1033527600	275	1.6156133776022
1033531200	275	1.5223941217737
1033534800	275	1.15454132234874
1033538400	275	1.2277416553025
1033542000	275	0.572168203966974
1033545600	275	0.682171788928374
1033549200	275	1.29239299962882
1033552800	275	1.12301332986838
1033556400	275	0.841371122428689
1033560000	275	1.3665969041055
1033563600	275	0.678840652334465
1033567200	275	0.321340788051724
1033570800	275	0.574485229503531
1033574400	275	0.442137524927527
1033578000	275	0.243852387852693
1033581600	275	1.11351378684729
1033585200	275	0.640729319109997
1033588800	275	1.28630337426984
1033592400	275	2.5184087969014
1033596000	275	4.46379892734555
1033599600	275	5.9811490091121
1033603200	276	6.97214413277516
1033606800	276	5.52879367685677
1033610400	276	5.19611087804881
1033614000	276	5.6527023624304
1033617600	276	5.46651829858468
1033621200	276	5.09263444475582
1033624800	276	2.30364680914208
1033628400	276	4.00520918331418
1033632000	276	4.88821150047703
1033635600	276	5.46170272149982
1033639200	276	4.49423251612525
1033642800	276	3.47317894193041
1033646400	276	1.90724222882076
1033650000	276	2.27775853248833
1033653600	276	2.23681102461181
1033657200	276	2.28512960920221
1033660800	276	2.43019783335165
1033664400	276	2.4256590663357
