Unix	jday	Specific_humidity
646790400	182	0.00547703420253388
646794000	182	0.0055495122939858
646797600	182	0.00563544773787227
646801200	182	0.00568037577889567
646804800	182	0.0057075447260387
646808400	182	0.00568064950393564
646812000	182	0.00551694042268064
646815600	182	0.00542895678987675
646819200	182	0.00532680317510019
646822800	182	0.00523282885396085
646826400	182	0.0051588488786227
646830000	182	0.00502524284399427
646833600	182	0.00476341305121398
646837200	182	0.00451797047354222
646840800	182	0.00462600760729413
646844400	182	0.0045712896218963
646848000	182	0.00424657536505718
646851600	182	0.00395441392546554
646855200	182	0.0037144736661342
646858800	182	0.00383579310868185
646862400	182	0.00398049531691543
646866000	182	0.0046295691390052
646869600	182	0.00503671030841692
646873200	182	0.00510584541238169
646876800	183	0.00508090077885191
646880400	183	0.00514224418318459
646884000	183	0.00518443230688134
646887600	183	0.00526033533633456
646891200	183	0.00536118363796927
646894800	183	0.00533856040183113
646898400	183	0.00533585848195504
646902000	183	0.00529463282064955
646905600	183	0.00526832635863687
646909200	183	0.0052765823016717
646912800	183	0.00531788896365151
646916400	183	0.00532362726504676
646920000	183	0.00573677218317131
646923600	183	0.00578644704624579
646927200	183	0.00567498134704032
646930800	183	0.00546524933819636
646934400	183	0.00533475405937776
646938000	183	0.00523926608849791
646941600	183	0.00534068902029739
646945200	183	0.00523145914480503
646948800	183	0.00513883949681162
646952400	183	0.00519376681096571
646956000	183	0.00540885996397895
646959600	183	0.00560735160549567
646963200	184	0.00581986366928289
646966800	184	0.00599227808516131
646970400	184	0.00610248507644663
646974000	184	0.00616081658682656
646977600	184	0.00613206097969603
646981200	184	0.00609173718093038
646984800	184	0.00617930882214908
646988400	184	0.00609936446257735
646992000	184	0.00598825306810469
646995600	184	0.00588131476774277
646999200	184	0.00576428652410959
647002800	184	0.00564518803640174
647006400	184	0.00556519645867571
647010000	184	0.0054242245326286
647013600	184	0.00522037075946094
647017200	184	0.00515018545235096
647020800	184	0.00517367155283115
647024400	184	0.00515781205884004
647028000	184	0.00487130046172331
647031600	184	0.00496645115818164
647035200	184	0.0047959030194727
647038800	184	0.00528446274554817
647042400	184	0.00579364240823527
647046000	184	0.00599199404577527
647049600	185	0.00593672938625921
647053200	185	0.0060380116050673
647056800	185	0.0060379751192428
647060400	185	0.00608983901845545
647064000	185	0.00612559132849493
647067600	185	0.00555808325773807
647071200	185	0.00521823543774388
647074800	185	0.00512490682641825
647078400	185	0.00507748634320936
647082000	185	0.00497067839977079
647085600	185	0.00486879815685165
647089200	185	0.00484746533604405
647092800	185	0.00482007564781415
647096400	185	0.00482090444023073
647100000	185	0.00457334698911668
647103600	185	0.00435577877172208
647107200	185	0.00421939503264935
647110800	185	0.00413838418009326
647114400	185	0.00395716152335645
647118000	185	0.00412539261095606
647121600	185	0.00428817776590578
647125200	185	0.0049351697588625
647128800	185	0.00554267789991959
647132400	185	0.00578881519148898
647136000	186	0.00602134417201953
647139600	186	0.00598721722957352
647143200	186	0.00595146893603993
647146800	186	0.00600977158402899
647150400	186	0.00615525793059317
647154000	186	0.00503494424332319
647157600	186	0.00488908896249777
647161200	186	0.00496371629647403
647164800	186	0.00489468773401238
647168400	186	0.00495243407506803
647172000	186	0.00512027511432622
647175600	186	0.00520457013663107
647179200	186	0.00526020511550029
647182800	186	0.00517980232984221
647186400	186	0.00504618690075253
647190000	186	0.00495322813816874
647193600	186	0.00488627297311546
647197200	186	0.00481065890117543
647200800	186	0.00479539380338052
647204400	186	0.00471928001447988
647208000	186	0.00469413261187504
647211600	186	0.00494540306165774
647215200	186	0.00511147213862166
647218800	186	0.00526225185898482
647222400	187	0.00549558943168761
647226000	187	0.00551042740102014
647229600	187	0.00554554310800182
647233200	187	0.00560013125641024
647236800	187	0.00570378203691698
647240400	187	0.00552256657293835
647244000	187	0.00539566607913045
647247600	187	0.00542289150950087
647251200	187	0.00544196702060456
647254800	187	0.0055251470400566
647258400	187	0.00562057456359424
647262000	187	0.00562318688666627
647265600	187	0.00556445328114035
647269200	187	0.00552421106426362
647272800	187	0.00544945870581676
647276400	187	0.0054607082641455
647280000	187	0.00552581266917687
647283600	187	0.00563462940727493
647287200	187	0.00613744910760292
647290800	187	0.00641462169238539
647294400	187	0.00657324997739346
647298000	187	0.00658942324538557
647301600	187	0.00662361639145277
647305200	187	0.00669269364261849
647308800	188	0.00666970846537324
647312400	188	0.00662735718579509
647316000	188	0.00648187210142091
647319600	188	0.00633526892190061
647323200	188	0.0063364664893133
647326800	188	0.00634871713328837
647330400	188	0.00646341465438613
647334000	188	0.00637339889012707
647337600	188	0.00623542713858767
647341200	188	0.00615668256018225
647344800	188	0.00612677671311443
647348400	188	0.00606303623749495
647352000	188	0.00582810240004044
647355600	188	0.00565216132107834
647359200	188	0.00531764077906641
647362800	188	0.00499841159316518
647366400	188	0.00493372165197443
647370000	188	0.00490888376566165
647373600	188	0.00491603908181941
647377200	188	0.00475329464386244
647380800	188	0.00440362622086838
647384400	188	0.00414441908632511
647388000	188	0.00423328953476933
647391600	188	0.00417869445206219
647395200	189	0.00409908970076317
647398800	189	0.00416558202693285
647402400	189	0.00429513304151946
647406000	189	0.00460202669433642
647409600	189	0.00462506680931011
647413200	189	0.00458348942602247
647416800	189	0.00472898692461461
647420400	189	0.00483208259191473
647424000	189	0.00483051871940982
647427600	189	0.00467594195882213
647431200	189	0.00442108462962784
647434800	189	0.00421725450570832
647438400	189	0.00420462189647943
647442000	189	0.00415311550856751
647445600	189	0.00416170143322344
647449200	189	0.00422296299153574
647452800	189	0.00420605051257768
