Unix	jday	Temperature
1041379200	1	297.357817073295
1041382800	1	297.068111627349
1041386400	1	297.454943909784
1041390000	1	297.821143340244
1041393600	1	297.682174297007
1041397200	1	297.194249375711
1041400800	1	294.968971380063
1041404400	1	293.466801296091
1041408000	1	291.489479063315
1041411600	1	289.240342087468
1041415200	1	287.690633927114
1041418800	1	287.205024957654
1041422400	1	287.427577971128
1041426000	1	287.583933377521
1041429600	1	287.543290458873
1041433200	1	287.249097350717
1041436800	1	286.980584460287
1041440400	1	287.075337608357
1041444000	1	288.463783543011
1041447600	1	289.849752075118
1041451200	1	291.10040521824
1041454800	1	292.142815610234
1041458400	1	293.135809956748
1041462000	1	293.994974814652
1041465600	2	293.563590481462
1041469200	2	294.40328107375
1041472800	2	294.737626050936
1041476400	2	294.047934759157
1041480000	2	292.994025239009
1041483600	2	291.87081317107
1041487200	2	289.959343734532
1041490800	2	289.232085381166
1041494400	2	287.993627129987
1041498000	2	287.243430000088
1041501600	2	287.207907483855
1041505200	2	287.099887854544
1041508800	2	286.860315684606
1041512400	2	286.69833607311
1041516000	2	286.277231645072
1041519600	2	285.877859836235
1041523200	2	285.192989514574
1041526800	2	284.753819078306
1041530400	2	287.36630916808
1041534000	2	288.366704313562
1041537600	2	290.434174487365
1041541200	2	292.787058850299
1041544800	2	295.013513329263
1041548400	2	296.511485757562
1041552000	3	296.361022212182
1041555600	3	297.40120937677
1041559200	3	297.805214704823
1041562800	3	297.479336260061
1041566400	3	296.128690197333
1041570000	3	294.453024623566
1041573600	3	292.147256982717
1041577200	3	291.565700001135
1041580800	3	289.247701339061
1041584400	3	287.713038115752
1041588000	3	286.965387126466
1041591600	3	286.453376847678
1041595200	3	286.321084147412
1041598800	3	285.999186836814
1041602400	3	285.591439680976
1041606000	3	284.905476936451
1041609600	3	284.404896838048
1041613200	3	284.083797603619
1041616800	3	286.335927192053
1041620400	3	287.395049394345
1041624000	3	289.193186808758
1041627600	3	291.263359758804
1041631200	3	292.364566683868
1041634800	3	293.323396945701
1041638400	4	293.051835537938
1041642000	4	293.558404715422
1041645600	4	293.868757209926
1041649200	4	293.980254364884
1041652800	4	293.807423017756
1041656400	4	293.373286919654
1041660000	4	291.906240167795
1041663600	4	291.141277144426
1041667200	4	289.400124833358
1041670800	4	288.867863233349
1041674400	4	288.70730460488
1041678000	4	288.570155286854
1041681600	4	289.050436182281
1041685200	4	289.21794662165
1041688800	4	289.21286371857
1041692400	4	289.179961490587
1041696000	4	289.159854669688
1041699600	4	288.798918495295
1041703200	4	289.94866837311
1041706800	4	290.825293122724
1041710400	4	291.637059144671
1041714000	4	292.465758645571
1041717600	4	292.341469708508
1041721200	4	291.908151246172
1041724800	5	290.755730166832
1041728400	5	291.963506654967
1041732000	5	293.464226992344
1041735600	5	293.602388796952
1041739200	5	291.549472656585
1041742800	5	290.264819962928
1041746400	5	289.426173127008
1041750000	5	289.10657326044
1041753600	5	288.591968713384
1041757200	5	288.139396705836
1041760800	5	287.820170212516
1041764400	5	287.478729360304
1041768000	5	286.982716833398
1041771600	5	286.566686895789
1041775200	5	286.189374589153
1041778800	5	285.83664643772
1041782400	5	285.291967037713
1041786000	5	284.708498737805
1041789600	5	285.47316806648
1041793200	5	286.277260176268
1041796800	5	287.88814092996
1041800400	5	289.729342004059
1041804000	5	292.004609856931
1041807600	5	292.650528176798
1041811200	6	293.116703841508
1041814800	6	293.929463328488
1041818400	6	294.316523387491
1041822000	6	294.25282445084
1041825600	6	293.659231859917
1041829200	6	293.208042315609
1041832800	6	291.886221119785
1041836400	6	291.326604127103
1041840000	6	290.017917603661
1041843600	6	288.732047984308
1041847200	6	287.606572173545
1041850800	6	286.617348217668
1041854400	6	286.074797588627
1041858000	6	285.479614078272
1041861600	6	284.400194307173
1041865200	6	283.890945889014
1041868800	6	283.649100671949
1041872400	6	283.451589149058
1041876000	6	287.268471588089
1041879600	6	287.794470167148
1041883200	6	288.91600888318
1041886800	6	289.557315700938
1041890400	6	290.639546346841
1041894000	6	291.730794652588
1041897600	7	291.91307135739
1041901200	7	292.27096846465
1041904800	7	292.578968172892
1041908400	7	292.692830708088
1041912000	7	292.118299278696
1041915600	7	291.66883519509
1041919200	7	290.558898284129
1041922800	7	289.889848473531
1041926400	7	288.561229434815
1041930000	7	287.471814611638
1041933600	7	286.932226989706
1041937200	7	286.598978925493
1041940800	7	286.224039855383
1041944400	7	285.812750640784
1041948000	7	285.513595493661
1041951600	7	285.46745065035
1041955200	7	285.503726112498
1041958800	7	285.559644969974
1041962400	7	286.439892185413
1041966000	7	288.117836337429
1041969600	7	289.934118936709
1041973200	7	291.538224252427
1041976800	7	292.810334377001
1041980400	7	293.697588278771
1041984000	8	293.24145914893
1041987600	8	292.882044410685
1041991200	8	292.952325241954
1041994800	8	292.899086869271
1041998400	8	292.355454403113
1042002000	8	291.613210843765
1042005600	8	290.258025712465
1042009200	8	289.707312843298
1042012800	8	288.92060114911
1042016400	8	288.501245821505
1042020000	8	288.390377271947
1042023600	8	288.297318963239
1042027200	8	288.159811675198
1042030800	8	288.08420982796
1042034400	8	287.892908622207
1042038000	8	287.822938183469
1042041600	8	287.985066921347
1042045200	8	288.088877276782
1042048800	8	288.42333920556
1042052400	8	289.167723441827
1042056000	8	290.312939814025
1042059600	8	291.387519326435
1042063200	8	292.491379275134
1042066800	8	293.330208298574
1042070400	9	292.719330698701
1042074000	9	293.366879716405
1042077600	9	293.990873765462
1042081200	9	294.405530478651
1042084800	9	294.745407891481
1042088400	9	294.792449292328
1042092000	9	293.782193965126
1042095600	9	293.404072164448
1042099200	9	292.60408091077
1042102800	9	292.110065473384
1042106400	9	291.715783835234
1042110000	9	291.324158259513
1042113600	9	290.99361526736
1042117200	9	290.875386337562
1042120800	9	290.717485500012
1042124400	9	290.70318321547
1042128000	9	290.504730942846
1042131600	9	290.158762407
1042135200	9	290.206473812032
1042138800	9	290.999296067995
1042142400	9	292.106261690408
1042146000	9	293.086394370085
1042149600	9	294.37919126052
1042153200	9	295.498523855431
1042156800	10	295.57041901803
1042160400	10	295.921882584956
1042164000	10	295.696956478253
1042167600	10	295.037960281841
1042171200	10	294.314282136123
1042174800	10	293.67830865719
1042178400	10	292.733530764883
1042182000	10	291.615857399657
