Unix	jday	hs
1177977600	121	0.94
1177988400	121	0.89
1177999200	121	0.87
1178010000	121	0.79
1178020800	121	0.77
1178031600	121	0.77
1178042400	121	0.81
1178053200	121	0.82
1178064000	122	0.83
1178074800	122	0.79
1178085600	122	0.84
1178096400	122	1.12
1178107200	122	1.28
1178118000	122	1.23
1178128800	122	1.14
1178139600	122	1.07
1178150400	123	1.02
1178161200	123	0.99
1178172000	123	0.97
1178182800	123	0.95
1178193600	123	0.96
1178204400	123	0.96
1178215200	123	1
1178226000	123	0.99
1178236800	124	1.02
1178247600	124	1.07
1178258400	124	1.13
1178269200	124	1.15
1178280000	124	1.1
1178290800	124	1.02
1178301600	124	0.94
1178312400	124	0.87
1178323200	125	0.79
1178334000	125	0.75
1178344800	125	0.68
1178355600	125	0.63
1178366400	125	0.59
1178377200	125	0.54
1178388000	125	0.51
1178398800	125	0.48
1178409600	126	0.46
1178420400	126	0.48
1178431200	126	0.99
1178442000	126	0.99
1178452800	126	0.86
1178463600	126	0.76
1178474400	126	0.76
1178485200	126	0.75
1178496000	127	0.61
1178506800	127	0.55
1178517600	127	0.63
1178528400	127	0.72
1178539200	127	0.73
1178550000	127	0.75
1178560800	127	0.77
1178571600	127	0.8
1178582400	128	0.83
1178593200	128	0.84
1178604000	128	0.84
1178614800	128	0.84
1178625600	128	0.99
1178636400	128	1.04
1178647200	128	0.96
1178658000	128	0.87
1178668800	129	0.8
1178679600	129	0.79
1178690400	129	0.8
1178701200	129	0.86
1178712000	129	0.95
1178722800	129	0.99
1178733600	129	0.87
1178744400	129	0.72
1178755200	130	0.61
1178766000	130	0.53
1178776800	130	0.48
1178787600	130	0.44
1178798400	130	0.39
1178809200	130	0.35
1178820000	130	0.33
1178830800	130	0.32
1178841600	131	1.14
1178852400	131	0.94
1178863200	131	0.61
1178874000	131	0.52
1178884800	131	0.64
1178895600	131	0.86
1178906400	131	0.84
1178917200	131	0.76
1178928000	132	0.71
1178938800	132	0.63
1178949600	132	0.54
1178960400	132	0.5
1178971200	132	0.46
1178982000	132	0.43
1178992800	132	0.38
1179003600	132	0.33
1179014400	133	0.34
1179025200	133	0.45
1179036000	133	0.67
1179046800	133	0.62
1179057600	133	0.62
1179068400	133	0.63
1179079200	133	0.76
1179090000	133	0.77
1179100800	134	0.86
1179111600	134	0.96
1179122400	134	0.86
1179133200	134	0.66
1179144000	134	0.8
1179154800	134	1.08
1179165600	134	1.13
1179176400	134	1.05
1179187200	135	1
1179198000	135	0.93
1179208800	135	0.91
1179219600	135	0.83
1179230400	135	0.78
1179241200	135	0.68
1179252000	135	0.99
1179262800	135	0.78
1179273600	136	0.86
1179284400	136	0.79
1179295200	136	0.59
1179306000	136	0.45
1179316800	136	0.63
1179327600	136	0.89
1179338400	136	1.06
1179349200	136	0.94
1179360000	137	0.9
1179370800	137	0.81
1179381600	137	1.09
1179392400	137	0.83
1179403200	137	0.96
1179414000	137	0.97
1179424800	137	0.97
1179435600	137	0.84
1179446400	138	0.81
1179457200	138	0.72
1179468000	138	0.68
1179478800	138	0.61
1179489600	138	0.6
1179500400	138	0.6
1179511200	138	0.62
1179522000	138	0.77
1179532800	139	0.9
1179543600	139	1.06
1179554400	139	1.12
1179565200	139	1
1179576000	139	0.86
1179586800	139	0.73
1179597600	139	0.64
1179608400	139	0.58
1179619200	140	0.55
1179630000	140	0.68
1179640800	140	0.72
1179651600	140	0.7
1179662400	140	0.69
1179673200	140	0.64
1179684000	140	0.59
1179694800	140	0.6
1179705600	141	0.59
1179716400	141	0.5
1179727200	141	0.4
1179738000	141	0.33
1179748800	141	0.3
1179759600	141	0.27
1179770400	141	0.25
1179781200	141	0.23
1179792000	142	0.23
1179802800	142	0.52
1179813600	142	0.76
1179824400	142	0.91
1179835200	142	1.12
1179846000	142	1.35
1179856800	142	1.62
1179867600	142	1.87
1179878400	143	1.8
1179889200	143	1.5
1179900000	143	1.28
1179910800	143	1.13
1179921600	143	1.01
1179932400	143	0.86
1179943200	143	0.73
1179954000	143	0.64
1179964800	144	0.56
1179975600	144	0.52
1179986400	144	0.54
1179997200	144	0.53
1180008000	144	0.55
1180018800	144	0.53
1180029600	144	0.43
1180040400	144	0.33
1180051200	145	0.26
1180062000	145	0.25
1180072800	145	0.26
1180083600	145	0.3
1180094400	145	0.3
1180105200	145	0.27
1180116000	145	0.25
1180126800	145	0.25
1180137600	146	0.26
1180148400	146	0.27
1180159200	146	0.33
1180170000	146	0.38
1180180800	146	0.84
1180191600	146	0.77
1180202400	146	0.66
1180213200	146	0.63
1180224000	147	0.49
1180234800	147	0.61
1180245600	147	0.97
1180256400	147	1.15
1180267200	147	1.26
1180278000	147	1.25
1180288800	147	1.12
1180299600	147	0.98
1180310400	148	0.89
1180321200	148	0.82
1180332000	148	0.8
1180342800	148	0.76
1180353600	148	0.73
1180364400	148	0.69
1180375200	148	0.65
1180386000	148	0.6
1180396800	149	0.56
1180407600	149	0.5
1180418400	149	0.45
1180429200	149	0.38
1180440000	149	0.32
1180450800	149	0.26
1180461600	149	0.21
1180472400	149	0.18
1180483200	150	0.16
1180494000	150	0.18
1180504800	150	0.72
1180515600	150	0.6
1180526400	150	0.57
1180537200	150	0.62
1180548000	150	0.65
1180558800	150	0.63
1180569600	151	0.86
1180580400	151	0.76
1180591200	151	0.79
1180602000	151	0.81
1180612800	151	0.71
1180623600	151	0.67
1180634400	151	0.54
1180645200	151	0.47
1180656000	152	0.51
