Unix	jday	Temperature
1099267200	306	287.139892126554
1099270800	306	287.338826658104
1099274400	306	287.53316917507
1099278000	306	287.543794302431
1099281600	306	287.324595442865
1099285200	306	286.893315993944
1099288800	306	286.061372469005
1099292400	306	285.106093124255
1099296000	306	284.376456474666
1099299600	306	283.86858085116
1099303200	306	283.307123031354
1099306800	306	282.748128475893
1099310400	306	282.680413797117
1099314000	306	281.926724120091
1099317600	306	281.272213311196
1099321200	306	280.82585972756
1099324800	306	280.428431661315
1099328400	306	280.043727673298
1099332000	306	281.032954156382
1099335600	306	282.444001649949
1099339200	306	284.278158908834
1099342800	306	286.483971501945
1099346400	306	288.322855628321
1099350000	306	289.680628180491
1099353600	307	291.563946442953
1099357200	307	292.360204630447
1099360800	307	292.351572565078
1099364400	307	292.086950359082
1099368000	307	291.348242195411
1099371600	307	290.374050776534
1099375200	307	288.781911586336
1099378800	307	286.89369848385
1099382400	307	285.205888243413
1099386000	307	284.186899471925
1099389600	307	283.474977759349
1099393200	307	282.88128183331
1099396800	307	282.943340072116
1099400400	307	282.528964320536
1099404000	307	282.110041265265
1099407600	307	281.871704989631
1099411200	307	281.71015562219
1099414800	307	281.569163319233
1099418400	307	283.002883914693
1099422000	307	284.870265441752
1099425600	307	286.173325031459
1099429200	307	287.336794180431
1099432800	307	288.413191880699
1099436400	307	289.362401774134
1099440000	308	290.472473255456
1099443600	308	290.718112147431
1099447200	308	290.643594545483
1099450800	308	290.379204742047
1099454400	308	289.761055166621
1099458000	308	289.109431904674
1099461600	308	287.737945782401
1099465200	308	285.799449862588
1099468800	308	284.079052364354
1099472400	308	283.099343793019
1099476000	308	282.40257777069
1099479600	308	281.864806720433
1099483200	308	282.109033506968
1099486800	308	282.00206501609
1099490400	308	281.94591958898
1099494000	308	281.983872224173
1099497600	308	282.145733811025
1099501200	308	282.409448456323
1099504800	308	283.787109012437
1099508400	308	285.71667397719
1099512000	308	287.293324958005
1099515600	308	288.909783483595
1099519200	308	290.452823846508
1099522800	308	291.609689014529
1099526400	309	292.384284448625
1099530000	309	292.627670546272
1099533600	309	292.055058218906
1099537200	309	291.26227611957
1099540800	309	290.578357822627
1099544400	309	289.766440284389
1099548000	309	288.826142142819
1099551600	309	288.276608875695
1099555200	309	288.032065886423
1099558800	309	287.918388788255
1099562400	309	287.519698484702
1099566000	309	287.116624847924
1099569600	309	286.966634347244
1099573200	309	286.902773974363
1099576800	309	286.868653491966
1099580400	309	286.162729887964
1099584000	309	284.905999911819
1099587600	309	284.467953606436
1099591200	309	286.650759168691
1099594800	309	288.380060356828
1099598400	309	289.56621939302
1099602000	309	290.219845239826
1099605600	309	290.868836015381
1099609200	309	291.386224940969
1099612800	310	291.354847429005
1099616400	310	290.508279601756
1099620000	310	289.27617975915
1099623600	310	287.614749860717
1099627200	310	286.447487899571
1099630800	310	285.612195124177
1099634400	310	285.283253518555
1099638000	310	284.889617117947
1099641600	310	284.619524812301
1099645200	310	284.495168827167
1099648800	310	284.402228240445
1099652400	310	284.273887988267
1099656000	310	284.223235952486
1099659600	310	284.113560279238
1099663200	310	284.086218624265
1099666800	310	284.185486394596
1099670400	310	284.159591507084
1099674000	310	284.10683904707
1099677600	310	284.699286698536
1099681200	310	285.587428627499
1099684800	310	286.653792757495
1099688400	310	287.875598522017
1099692000	310	289.088154328646
1099695600	310	290.221661039204
1099699200	311	290.762455860141
1099702800	311	291.044819787565
1099706400	311	291.192889833882
1099710000	311	291.17825318015
1099713600	311	291.108687411464
1099717200	311	290.82209470856
1099720800	311	290.212700072373
1099724400	311	288.706372586363
1099728000	311	286.994109309156
1099731600	311	286.016737053405
1099735200	311	285.166187170568
1099738800	311	284.395160071544
1099742400	311	284.195419545825
1099746000	311	283.737893555337
1099749600	311	283.368535447306
1099753200	311	283.109637678445
1099756800	311	283.129408880464
1099760400	311	283.211520422232
1099764000	311	284.86317578012
1099767600	311	286.578623674508
1099771200	311	288.376073388261
1099774800	311	289.911398383591
1099778400	311	291.161997604554
1099782000	311	292.404272129134
1099785600	312	293.482226012736
1099789200	312	293.820606315243
1099792800	312	293.975352242649
1099796400	312	293.774796436247
1099800000	312	293.279437814843
1099803600	312	292.660887045124
1099807200	312	291.589669226549
1099810800	312	288.04084584041
1099814400	312	285.22357461442
1099818000	312	284.915294348017
1099821600	312	285.200219220975
1099825200	312	285.270997649336
1099828800	312	285.671269346413
1099832400	312	284.772088917184
1099836000	312	283.778150527169
1099839600	312	283.307388189467
1099843200	312	283.122795777992
1099846800	312	282.769654060529
1099850400	312	283.604160273932
1099854000	312	284.366577767308
1099857600	312	286.0483722425
1099861200	312	288.307792250903
1099864800	312	290.559340377712
1099868400	312	291.941604932907
1099872000	313	292.521334382922
1099875600	313	292.871726364278
1099879200	313	293.175752319903
1099882800	313	293.252851524924
1099886400	313	292.343796904739
1099890000	313	291.577491142493
1099893600	313	290.027291648308
1099897200	313	288.881214865498
1099900800	313	288.395194612866
1099904400	313	288.166703284025
1099908000	313	287.836770215199
1099911600	313	287.450033497369
1099915200	313	287.162807767445
1099918800	313	286.992500590339
1099922400	313	286.648373277731
1099926000	313	286.022151321681
1099929600	313	285.254706490792
1099933200	313	284.492206241488
1099936800	313	284.653325235171
1099940400	313	285.147021984116
1099944000	313	286.516538218464
1099947600	313	288.476046906311
1099951200	313	290.334783044727
1099954800	313	291.564771925934
1099958400	314	292.57218757146
1099962000	314	292.629551675753
1099965600	314	292.154273445835
1099969200	314	291.790630305955
1099972800	314	291.320863899119
1099976400	314	290.581927355928
1099980000	314	289.431428683839
1099983600	314	288.12517467668
1099987200	314	286.957890923095
1099990800	314	286.684249858849
1099994400	314	286.796989690161
1099998000	314	286.739543101393
