Unix	jday	Downward_Long-Wave_Rad_Flux
1078099200	61	334.691627749293
1078102800	61	334.752026757199
1078106400	61	336.259490752686
1078110000	61	335.919585512575
1078113600	61	333.232172706388
1078117200	61	331.224462507526
1078120800	61	315.194238083572
1078124400	61	312.572249212854
1078128000	61	311.21938777689
1078131600	61	311.648994841023
1078135200	61	312.694452063017
1078138800	61	314.260254959206
1078142400	61	338.528574929176
1078146000	61	338.600728325543
1078149600	61	345.923978006646
1078153200	61	346.922497483668
1078156800	61	348.16852233731
1078160400	61	349.903777947971
1078164000	61	356.513360053817
1078167600	61	357.048459562783
1078171200	61	359.683899197493
1078174800	61	361.025301557245
1078178400	61	361.541683531131
1078182000	61	361.69407283966
1078185600	62	364.813951372753
1078189200	62	364.772738911269
1078192800	62	364.723515594219
1078196400	62	364.135743693553
1078200000	62	364.112191921034
1078203600	62	364.527633042315
1078207200	62	366.259855829783
1078210800	62	366.375329339683
1078214400	62	365.372269759974
1078218000	62	363.933365165016
1078221600	62	362.457949962282
1078225200	62	361.040274223487
1078228800	62	351.730804478023
1078232400	62	350.44849073886
1078236000	62	347.489435277174
1078239600	62	345.616822713362
1078243200	62	345.360454318992
1078246800	62	345.419895794456
1078250400	62	348.828536530151
1078254000	62	349.307053200408
1078257600	62	349.778003322451
1078261200	62	350.383667322591
1078264800	62	350.825373914217
1078268400	62	351.130709839118
1078272000	63	344.266222937568
1078275600	63	346.324203121736
1078279200	63	345.277728254481
1078282800	63	345.161864512457
1078286400	63	345.131749434895
1078290000	63	345.759332177408
1078293600	63	349.76901046434
1078297200	63	348.502654522465
1078300800	63	348.828065316698
1078304400	63	348.017665066879
1078308000	63	344.155357700199
1078311600	63	342.634270627376
1078315200	63	342.992150199423
1078318800	63	342.532266652941
1078322400	63	341.378840605971
1078326000	63	338.113983099568
1078329600	63	332.056793073775
1078333200	63	326.617281746629
1078336800	63	300.602052387948
1078340400	63	301.043230260635
1078344000	63	297.228617796438
1078347600	63	298.761725665906
1078351200	63	299.683937200615
1078354800	63	302.017870594936
1078358400	64	309.496580978412
1078362000	64	309.985942847764
1078365600	64	311.575284566144
1078369200	64	311.768323855046
1078372800	64	311.458140018385
1078376400	64	310.798436412613
1078380000	64	300.621789557845
1078383600	64	298.102622614148
1078387200	64	292.634641937791
1078390800	64	290.948718137308
1078394400	64	293.21121086227
1078398000	64	298.663451009511
1078401600	64	347.979126961849
1078405200	64	346.616175823315
1078408800	64	346.866904532876
1078412400	64	346.808756857152
1078416000	64	346.301415862828
1078419600	64	345.705532402065
1078423200	64	343.472897685376
1078426800	64	344.335647566226
1078430400	64	346.66094890516
1078434000	64	343.162056709713
1078437600	64	333.506861201706
1078441200	64	327.72166225285
1078444800	65	312.86824539873
1078448400	65	314.905602822195
1078452000	65	315.669029465916
1078455600	65	316.092460445148
1078459200	65	315.842388329764
1078462800	65	314.992986457927
1078466400	65	311.344310827022
1078470000	65	307.230608310585
1078473600	65	306.414986384174
1078477200	65	304.889163263322
1078480800	65	302.819429477895
1078484400	65	301.492054958534
1078488000	65	285.700091685904
1078491600	65	285.617456869254
1078495200	65	284.921211682983
1078498800	65	288.650319030215
1078502400	65	293.551814707707
1078506000	65	297.887023346769
1078509600	65	294.736991791187
1078513200	65	294.035775403165
1078516800	65	295.950385188535
1078520400	65	299.553750947952
1078524000	65	303.825189643502
1078527600	65	308.23208355451
1078531200	66	329.490393725808
1078534800	66	327.929461887327
1078538400	66	326.598392154432
1078542000	66	336.781175726974
1078545600	66	346.835048657295
1078549200	66	352.580352240017
1078552800	66	367.969246404675
1078556400	66	366.622412219395
1078560000	66	364.09821143334
1078563600	66	360.757159733686
1078567200	66	357.758717186812
1078570800	66	357.88947369154
1078574400	66	361.239925714635
1078578000	66	360.941120281167
1078581600	66	361.263599352508
1078585200	66	360.143660638386
1078588800	66	358.971261496795
1078592400	66	357.64309824457
1078596000	66	367.580031308801
1078599600	66	368.238465883555
1078603200	66	369.265833547888
1078606800	66	369.863298147595
1078610400	66	370.124879107637
1078614000	66	369.81384524366
1078617600	67	357.796490708386
1078621200	67	357.96285809182
1078624800	67	362.333639433363
1078628400	67	359.987322657001
1078632000	67	355.410666159227
1078635600	67	349.460918385379
1078639200	67	317.716978449422
1078642800	67	315.740428893679
1078646400	67	312.355001748364
1078650000	67	317.155482371174
1078653600	67	317.164739183222
1078657200	67	316.416545048416
1078660800	67	328.153084774357
1078664400	67	328.511079770035
1078668000	67	334.347416708247
1078671600	67	334.268074997422
1078675200	67	332.520460071465
1078678800	67	331.415768449981
1078682400	67	331.4168987351
1078686000	67	332.237693183443
1078689600	67	337.553064935116
1078693200	67	340.118252961425
1078696800	67	344.622325443404
1078700400	67	349.681617542367
