Unix	jday	Precipitation_rate
715305600	245	0
715309200	245	0
715312800	245	0
715316400	245	0
715320000	245	0
715323600	245	0
715327200	245	0
715330800	245	0
715334400	245	0
715338000	245	0
715341600	245	0
715345200	245	0
715348800	245	0
715352400	245	0
715356000	245	0
715359600	245	0
715363200	245	0
715366800	245	0
715370400	245	9.86450431581248e-10
715374000	245	5.05252577572645e-06
715377600	245	1.73364157327591e-05
715381200	245	2.65034485833752e-05
715384800	245	2.95805708380317e-05
715388400	245	3.056876478313e-05
715392000	246	2.31572022434289e-05
715395600	246	1.61847565508865e-05
715399200	246	1.11847565972169e-05
715402800	246	1.00958306207081e-05
715406400	246	9.10862202078385e-06
715410000	246	8.95339311821724e-06
715413600	246	9.82887492373266e-07
715417200	246	9.70096582715492e-07
715420800	246	3.54133669424909e-08
715424400	246	2.36089104003198e-08
715428000	246	2.36089104003198e-08
715431600	246	1.18044552001599e-08
715435200	246	0
715438800	246	0
715442400	246	0
715446000	246	0
715449600	246	0
715453200	246	0
715456800	246	9.86450431581248e-10
715460400	246	7.81076846499608e-08
715464000	246	1.67033374180647e-07
715467600	246	1.79824279700241e-07
715471200	246	1.09089858775694e-06
715474800	246	1.09089858775694e-06
715478400	247	7.71212342183795e-08
715482000	247	9.86450431581248e-10
715485600	247	9.86450431581248e-10
715489200	247	0
715492800	247	0
715496400	247	0
715500000	247	0
715503600	247	0
715507200	247	0
715510800	247	0
715514400	247	0
715518000	247	0
715521600	247	0
715525200	247	0
715528800	247	0
715532400	247	0
715536000	247	0
715539600	247	0
715543200	247	1.92287876073211e-06
715546800	247	2.01279090203638e-06
715550400	247	3.01279101029015e-06
715554000	247	3.09089868650888e-06
715557600	247	2.10368949974374e-06
715561200	247	2.09089859511757e-06
715564800	248	9.86450431581248e-10
715568400	248	9.86450431581248e-10
715572000	248	9.86450431581248e-10
715575600	248	9.86450431581248e-10
715579200	248	9.86450431581248e-10
715582800	248	9.86450431581248e-10
715586400	248	6.55734453967432e-06
715590000	248	8.95475539280788e-06
715593600	248	2.09484855765628e-05
715597200	248	2.84541678921775e-05
715600800	248	2.54337789796425e-05
715604400	248	2.20704454250981e-05
715608000	248	5.77581111778004e-06
715611600	248	1.18275031992466e-05
715615200	248	1.03557435340506e-05
715618800	248	8.50190799967563e-06
715622400	248	7.09698860976978e-06
715626000	248	5.99463610592677e-06
715629600	248	2.57964923657419e-07
715633200	248	2.38268864107437e-07
715636800	248	1.59174720706812e-07
715640400	248	1.57201819619356e-07
715644000	248	8.00805855131233e-08
715647600	248	7.90941351936885e-08
715651200	249	0
715654800	249	0
715658400	249	2.73322302774727e-06
715662000	249	7.36472924824042e-06
715665600	249	7.4418504824588e-06
715669200	249	8.4290598936893e-06
715672800	249	3.03973506375762e-06
715676400	249	1.97540463411858e-06
715680000	249	9.88195542275083e-07
715683600	249	9.87209091843502e-07
715687200	249	9.99013547043661e-07
715690800	249	9.35669668888604e-07
715694400	249	8.57564561384146e-06
715698000	249	1.05776182820571e-05
715701600	249	1.34896791538122e-05
715705200	249	1.63889491263092e-05
715708800	249	1.65431915781078e-05
715712400	249	1.56075215900992e-05
715716000	249	8.45266880408962e-06
715719600	249	8.45266880408962e-06
715723200	249	8.54356738705781e-06
715726800	249	8.55931764264228e-06
715730400	249	9.50679125052371e-06
715734000	249	1.15431917044184e-05
715737600	250	4.39615806523752e-05
715741200	250	9.31228568294789e-05
715744800	250	0.00014993595154236
715748400	250	0.000184189985011621
715752000	250	0.000213397116986637
715755600	250	0.000241446301137754
715759200	250	0.0003589470064775
715762800	250	0.000434558332132356
715766400	250	0.000438093127820535
715770000	250	0.000409579230476504
715773600	250	0.000382576421141091
715777200	250	0.00035102316909029
715780800	250	0.000123462360072295
715784400	250	0.000105911403016633
715788000	250	8.11179496173945e-05
715791600	250	6.69155026561544e-05
715795200	250	6.22593988508184e-05
715798800	250	5.73920042090421e-05
715802400	250	1.20883331007192e-05
715806000	250	1.45317731079545e-05
715809600	250	1.43737334208348e-05
715813200	250	1.19048601267883e-05
715816800	250	1.06229434312321e-05
715820400	250	8.96661414057825e-06
715824000	251	2.68782928089558e-07
715827600	251	4.53539442075928e-07
715831200	251	2.78862560590906e-06
715834800	251	3.87363852575514e-06
715838400	251	3.87561142729119e-06
715842000	251	2.95174611103115e-06
715845600	251	4.46331388548485e-06
715849200	251	4.68188676779089e-06
715852800	251	4.82235192807143e-06
715856400	251	4.97659417213747e-06
715860000	251	4.71570305522562e-06
715863600	251	4.54472382111655e-06
715867200	251	9.22495494284341e-07
715870800	251	3.44796372100912e-06
715874400	251	5.47453175576119e-06
715878000	251	5.4883091102582e-06
715881600	251	4.56740335255938e-06
715885200	251	3.48929578808137e-06
715888800	251	0
715892400	251	7.90941351936885e-08
715896000	251	5.03073041833866e-07
715899600	251	5.81180717604012e-07
715903200	251	5.81180717604012e-07
715906800	251	5.70362711829861e-07
715910400	252	7.84003230616637e-07
715914000	252	1.29290174885864e-05
715917600	252	2.05462476895955e-05
715921200	252	2.15406225410038e-05
715924800	252	1.95711359377608e-05
715928400	252	1.70450646264191e-05
715932000	252	4.43668727737027e-06
715935600	252	4.90336050149362e-06
715939200	252	6.45994579529884e-06
715942800	252	7.01850395657416e-06
715946400	252	6.57804891418973e-06
715950000	252	6.40217039770279e-06
715953600	252	5.51686052578129e-07
715957200	252	7.80090377971956e-07
715960800	252	1.10235270575518e-06
715964400	252	2.50272263145971e-06
715968000	252	2.90210614738379e-06
715971600	252	3.05733511919458e-06
715975200	252	4.34691235334472e-06
715978800	252	1.70625470234312e-06
715982400	252	1.28516927042725e-06
715986000	252	8.78880597785023e-07
715989600	252	7.18719444966993e-07
715993200	252	5.62504058804612e-07
715996800	253	2.1662997467671e-06
716000400	253	4.15597508696858e-05
716004000	253	5.93199324445606e-05
716007600	253	6.98001339553343e-05
716011200	253	6.29303566262383e-05
716014800	253	5.23356257732896e-05
716018400	253	0
716022000	253	0
716025600	253	0
716029200	253	9.86450431581248e-10
716032800	253	9.86450431581248e-10
716036400	253	9.86450431581248e-10
716040000	253	4.65686774252506e-07
716043600	253	1.79351743904411e-06
716047200	253	2.10890749442876e-06
716050800	253	2.7258774365228e-06
716054400	253	4.34147754326902e-06
716058000	253	6.57306100644159e-06
716061600	253	3.75216920621353e-05
716065200	253	9.97189376303525e-05
716068800	253	0.000139831308685241
716072400	253	0.000152375702774067
716076000	253	0.000147494144146529
716079600	253	0.000138279488037949
716083200	254	7.16276194862884e-05
716086800	254	9.34870761744009e-05
716090400	254	0.000120541115510507
716094000	254	0.000152746984940683
716097600	254	0.000172104581725772
716101200	254	0.000175416175590175
716104800	254	9.32563746035872e-05
716108400	254	0.000160690437760416
716112000	254	0.000202812602273592
716115600	254	0.000238153124178713
716119200	254	0.000261304771189175
716122800	254	0.000286709459174549
716126400	254	0.000526110003577827
716130000	254	0.000387895865745995
716133600	254	0.000311853852330998
716137200	254	0.000255222353984826
716140800	254	0.000209324458645093
716144400	254	0.000171874516600434
716148000	254	9.86799693980475e-06
716151600	254	8.27918479784289e-06
716155200	254	8.70217722864565e-06
716158800	254	9.6516241505774e-06
716162400	254	1.03486747054969e-05
716166000	254	1.01283563908121e-05
716169600	255	4.80467324167757e-05
716173200	255	5.7151783377777e-05
716176800	255	7.34498357245031e-05
716180400	255	6.85373975002478e-05
716184000	255	6.26812039326992e-05
716187600	255	5.43855104067908e-05
