Unix	jday	Downward_Long-Wave_Rad_Flux
712627200	214	258.375713098185
712630800	214	258.786078577135
712634400	214	265.903387848703
712638000	214	264.582512157072
712641600	214	264.019517137264
712645200	214	263.258363494745
712648800	214	260.157449972119
712652400	214	259.051612458754
712656000	214	257.568300615241
712659600	214	256.396999552914
712663200	214	254.895696894035
712666800	214	254.640370161472
712670400	214	246.280243658954
712674000	214	245.785565118876
712677600	214	250.544957895009
712681200	214	251.451547584728
712684800	214	249.766665464599
712688400	214	248.232229672511
712692000	214	238.226482645794
712695600	214	237.757330711199
712699200	214	236.759310712663
712702800	214	235.954811389897
712706400	214	236.055564907613
712710000	214	236.785567776357
712713600	215	249.423701815604
712717200	215	249.460035341642
712720800	215	250.028365443558
712724400	215	251.857676828335
712728000	215	253.001024203586
712731600	215	254.503435311385
712735200	215	265.954133544327
712738800	215	266.417467386793
712742400	215	266.836730432375
712746000	215	267.465819370576
712749600	215	275.350200456473
712753200	215	283.181272150082
712756800	215	322.275090957892
712760400	215	322.902061497286
712764000	215	322.606253455531
712767600	215	321.567031303135
712771200	215	320.46658714907
712774800	215	318.518512570414
712778400	215	269.695404803159
712782000	215	270.371625534362
712785600	215	266.843695033756
712789200	215	264.717002785439
712792800	215	263.890897077891
712796400	215	264.255491149593
712800000	216	261.5925248044
712803600	216	260.284583390108
712807200	216	257.264195831354
712810800	216	255.674539725863
712814400	216	254.614566522951
712818000	216	253.384666359606
712821600	216	241.562955710663
712825200	216	240.318433724502
712828800	216	240.012249886822
712832400	216	240.357872482564
712836000	216	240.726017790745
712839600	216	241.279509386368
712843200	216	247.869863202137
712846800	216	248.224701116653
712850400	216	252.185441893811
712854000	216	262.015059479933
712857600	216	268.536324115993
712861200	216	273.231390190252
712864800	216	290.83509263219
712868400	216	291.076111205494
712872000	216	292.11748405505
712875600	216	293.184068666894
712879200	216	300.817539307852
712882800	216	304.422884710783
712886400	217	286.003810065722
712890000	217	285.83457189624
712893600	217	267.261303970001
712897200	217	257.319076953685
712900800	217	251.865832288977
712904400	217	248.283646389691
