Unix	jday	dp
978307200	1	192.06
978318000	1	190.09
978328800	1	187.48
978339600	1	184.08
978350400	1	182.97
978361200	1	179.72
978372000	1	181.33
978382800	1	202.25
978393600	2	194.54
978404400	2	190.65
978415200	2	187.15
978426000	2	179.19
978436800	2	183.01
978447600	2	181.62
978458400	2	180.8
978469200	2	179.74
978480000	3	178.84
978490800	3	175.27
978501600	3	174.68
978512400	3	117.24
978523200	3	174.24
978534000	3	174.66
978544800	3	175.97
978555600	3	154.07
978566400	4	152.23
978577200	4	150.94
978588000	4	73.64
978598800	4	69.92
978609600	4	70.18
978620400	4	69.5
978631200	4	138.08
978642000	4	264.59
978652800	5	276.11
978663600	5	285.04
978674400	5	119.32
978685200	5	123.02
978696000	5	123.74
978706800	5	126.51
978717600	5	127
978728400	5	123.14
978739200	6	122.28
978750000	6	123.7
978760800	6	122.82
978771600	6	135.86
978782400	6	137.01
978793200	6	139.06
978804000	6	139.45
978814800	6	140.75
978825600	7	140.79
978836400	7	141.35
978847200	7	136.13
978858000	7	70.01
978868800	7	69.59
978879600	7	71.8
978890400	7	140.67
978901200	7	141.99
978912000	8	142.16
978922800	8	142.81
978933600	8	142.48
978944400	8	50.36
978955200	8	61.21
978966000	8	61.85
978976800	8	263.23
978987600	8	269.26
978998400	9	264.76
979009200	9	257.1
979020000	9	249.56
979030800	9	237.36
979041600	9	206.33
979052400	9	185.95
979063200	9	177.74
979074000	9	175.22
979084800	10	172.81
979095600	10	169.95
979106400	10	167.41
979117200	10	165.02
979128000	10	162.62
979138800	10	160.16
979149600	10	157.91
979160400	10	155.73
979171200	11	153.5
979182000	11	151.58
979192800	11	149.63
979203600	11	147.93
979214400	11	146.18
979225200	11	144.56
979236000	11	142.36
979246800	11	132.17
979257600	12	109.03
979268400	12	108.57
979279200	12	104.54
979290000	12	105.33
979300800	12	101.11
979311600	12	219
979322400	12	199.75
979333200	12	196.24
979344000	13	190.99
979354800	13	118.92
979365600	13	119.4
979376400	13	123.19
979387200	13	122.07
979398000	13	127.29
979408800	13	207.89
979419600	13	194.05
979430400	14	190.73
979441200	14	185.7
979452000	14	183.31
979462800	14	180.53
979473600	14	179.49
979484400	14	177.72
979495200	14	176.63
979506000	14	174.06
979516800	15	51.13
979527600	15	55.44
979538400	15	61.57
979549200	15	71.9
979560000	15	67.52
979570800	15	65.77
979581600	15	40
979592400	15	40.97
979603200	16	326.12
979614000	16	261.25
979624800	16	236.12
979635600	16	212.24
979646400	16	204.13
979657200	16	195.58
979668000	16	272.39
979678800	16	260.14
979689600	17	208.81
979700400	17	199.87
979711200	17	194.02
979722000	17	190.16
979732800	17	199.23
979743600	17	195.18
979754400	17	186.76
979765200	17	186.48
979776000	18	187.03
979786800	18	186.09
979797600	18	186.46
979808400	18	184.76
979819200	18	182.99
979830000	18	38.41
979840800	18	37.38
979851600	18	50.13
979862400	19	188.44
979873200	19	186.73
979884000	19	188.28
979894800	19	186.04
979905600	19	186.54
979916400	19	183.82
979927200	19	183.21
979938000	19	203.75
979948800	20	199.32
979959600	20	191.53
979970400	20	195.51
979981200	20	189.41
979992000	20	189.22
980002800	20	188.46
980013600	20	15.16
980024400	20	188.78
980035200	21	355.66
980046000	21	335.44
980056800	21	190.42
980067600	21	187.46
980078400	21	188.3
980089200	21	188.25
980100000	21	193.11
980110800	21	192.21
980121600	22	195
980132400	22	197.48
980143200	22	201.42
980154000	22	200.79
980164800	22	199.55
980175600	22	196.66
980186400	22	188.91
980197200	22	18.54
980208000	23	23.52
980218800	23	20.56
980229600	23	46.18
980240400	23	330.37
980251200	23	342.02
980262000	23	82.02
980272800	23	87.31
980283600	23	200.7
980294400	24	206.08
980305200	24	198.58
980316000	24	102.24
980326800	24	77.49
980337600	24	61.51
980348400	24	65.01
980359200	24	66.47
980370000	24	198.05
980380800	25	204.3
980391600	25	200.47
980402400	25	203.35
980413200	25	200.2
980424000	25	203.76
980434800	25	241.45
980445600	25	229.23
980456400	25	203.31
980467200	26	195.19
980478000	26	188.1
980488800	26	187.38
980499600	26	193.76
980510400	26	201.2
980521200	26	199.58
980532000	26	201.13
980542800	26	200.09
980553600	27	198.05
980564400	27	194.6
980575200	27	192.78
980586000	27	189.33
980596800	27	187.1
980607600	27	182.79
980618400	27	180.78
980629200	27	177.69
980640000	28	189.76
980650800	28	187.97
980661600	28	64.65
980672400	28	182.56
980683200	28	184.62
980694000	28	184.2
980704800	28	179.31
980715600	28	179.15
980726400	29	180.77
980737200	29	180.14
980748000	29	175.93
980758800	29	175.47
980769600	29	176.19
980780400	29	175.7
980791200	29	176.51
980802000	29	175.85
980812800	30	171.77
980823600	30	57.22
980834400	30	53.88
980845200	30	51.37
980856000	30	54.53
980866800	30	55.37
980877600	30	67.03
980888400	30	69.92
980899200	31	277.58
980910000	31	247.4
980920800	31	185.25
980931600	31	193.85
980942400	31	189.84
980953200	31	188.85
980964000	31	182.67
980974800	31	181.7
980985600	32	189.41
