Unix	jday	V-component_of_wind
783648000	305	-0.503229706001326
783651600	305	-0.510031357526076
783655200	305	-0.128412753732529
783658800	305	0.874448313026639
783662400	305	1.35458726218915
783666000	305	1.59778616552139
783669600	305	1.15730582179004
783673200	305	1.39219979079775
783676800	305	1.40681006226264
783680400	305	1.47395847403004
783684000	305	1.65093440079357
783687600	305	1.82355789071606
783691200	305	1.79692758160922
783694800	305	2.25215692449933
783698400	305	2.45605908391704
783702000	305	2.56607118394057
783705600	305	2.77776305019645
783709200	305	3.06699182476895
783712800	305	3.16966486700697
783716400	305	3.90852732759874
783720000	305	4.49651134928449
783723600	305	4.73742599456589
783727200	305	4.56983945432551
783730800	305	4.30843833614205
783734400	306	2.83735326731615
783738000	306	2.65528439644432
783741600	306	2.54951092929266
783745200	306	2.51737406329436
783748800	306	2.81533256345645
783752400	306	2.9349334054304
783756000	306	2.94202979006439
783759600	306	2.42414397474036
783763200	306	1.76402304634738
783766800	306	1.18245942029082
783770400	306	0.898511056589649
783774000	306	0.574873352567756
783777600	306	1.1736195147771
783781200	306	0.453426162485699
783784800	306	-0.25343510455472
783788400	306	-0.831537996901045
783792000	306	-1.03345030653621
783795600	306	-1.18203293548134
783799200	306	-0.441418670533584
783802800	306	-0.61300546581982
783806400	306	-0.657440034203975
783810000	306	-0.901768944882202
783813600	306	-1.29463850740435
783817200	306	-1.45144852669183
783820800	307	-0.0640971433154079
783824400	307	-0.22838190458098
783828000	307	-0.106190538552975
783831600	307	0.0190867194121331
783835200	307	0.106433748004377
783838800	307	0.254467815529984
783842400	307	-1.05499379158682
783846000	307	-0.768023240800221
783849600	307	-0.707540852751848
783853200	307	-0.591269463993261
783856800	307	-0.658726024411907
783860400	307	-0.847011018365092
783864000	307	-0.918976962862552
783867600	307	-1.17320901147151
783871200	307	-1.65531906851753
783874800	307	-2.3693982935275
783878400	307	-2.82782280675989
783882000	307	-3.21146024747044
783885600	307	-3.10240241903776
783889200	307	-3.60718423999311
783892800	307	-4.17867898937977
783896400	307	-4.54652234957493
783900000	307	-5.16370994186913
783903600	307	-5.72809894143811
783907200	308	-6.90527914147164
783910800	308	-6.41024876155295
783914400	308	-6.64550002673211
783918000	308	-7.02605023151041
783921600	308	-7.2047861543638
783925200	308	-7.39178722615478
783928800	308	-7.5416919515615
783932400	308	-7.92976236092515
783936000	308	-8.34796123598166
783939600	308	-8.74816687707402
783943200	308	-8.63810799130243
783946800	308	-8.25032031379705
783950400	308	-8.32836637473419
783954000	308	-7.60179500398085
783957600	308	-7.2608476066368
783961200	308	-7.15548258863167
783964800	308	-6.88405573719905
783968400	308	-6.62212799572192
783972000	308	-4.81528581259342
783975600	308	-5.53959536365633
783979200	308	-5.37257866541425
783982800	308	-5.15832420278049
783986400	308	-4.78527339718763
783990000	308	-4.62466184091731
783993600	309	-7.18118413248548
783997200	309	-5.92151835795763
784000800	309	-5.74420564914129
784004400	309	-5.85212265410594
784008000	309	-6.36699539897003
784011600	309	-6.84296314030676
784015200	309	-5.94362387700063
784018800	309	-6.80873813904726
784022400	309	-8.13844412846367
784026000	309	-9.76124977886961
784029600	309	-10.692837145011
784033200	309	-11.6495396228599
784036800	309	-8.72044171621939
784040400	309	-10.6282448851739
784044000	309	-11.4816274621761
784047600	309	-11.6654771684235
784051200	309	-11.3667939438166
784054800	309	-11.1429919076124
784058400	309	-10.0504273296037
784062000	309	-10.8037257541578
784065600	309	-11.5791798656916
784069200	309	-12.5532803707857
784072800	309	-13.2359176225166
784076400	309	-13.3887398091243
784080000	310	-10.0291546025579
784083600	310	-9.54106076357826
784087200	310	-8.96714362524595
784090800	310	-8.79271079167301
784094400	310	-8.73539005854235
784098000	310	-8.5706777946428
784101600	310	-9.61365259742692
784105200	310	-9.48491749158465
784108800	310	-9.84947462886713
784112400	310	-10.3437727042514
784116000	310	-11.2089511828666
784119600	310	-11.7807685118717
784123200	310	-9.47778379755016
784126800	310	-11.1272830998308
784130400	310	-13.1968504605926
784134000	310	-14.6141514507406
784137600	310	-14.0440266727164
784141200	310	-13.4665333081413
784144800	310	-12.3674642724466
784148400	310	-13.0033755609983
784152000	310	-12.889754686554
784155600	310	-12.961138044904
784159200	310	-12.8374386237487
