Unix	jday	Temperature
809913600	244	279.497358048528
809917200	244	279.349517188461
809920800	244	279.326135155145
809924400	244	279.564286379237
809928000	244	279.893015029731
809931600	244	280.202109477905
809935200	244	280.010937707799
809938800	244	280.830090161354
809942400	244	281.649926534514
809946000	244	282.328517479834
809949600	244	282.698434518248
809953200	244	282.999113263248
809956800	244	282.765903568385
809960400	244	283.063436338414
809964000	244	283.172126361577
809967600	244	283.148409956517
809971200	244	282.302072845813
809974800	244	281.199370239344
809978400	244	281.605732891577
809982000	244	281.940446104561
809985600	244	281.933069821846
809989200	244	281.502445722718
809992800	244	280.515821255104
809996400	244	279.579431323934
8.1e+08	245	278.344322941575
810003600	245	277.541539356831
810007200	245	277.539582908049
810010800	245	277.64210346302
810014400	245	277.771370765384
810018000	245	277.743486910659
810021600	245	277.401825466349
810025200	245	277.940708292844
810028800	245	277.809355100599
810032400	245	277.645697196078
810036000	245	277.435900724615
810039600	245	277.207054437551
810043200	245	277.1262207059
810046800	245	276.588714238874
810050400	245	276.173238964418
810054000	245	275.810847708389
810057600	245	275.563337975585
810061200	245	275.325635115503
810064800	245	275.332650680879
810068400	245	275.237706254578
810072000	245	275.966868431594
810075600	245	276.851854150661
810079200	245	277.534840254632
810082800	245	278.334529704272
810086400	246	277.603246621782
810090000	246	277.158492430878
810093600	246	276.869802218943
810097200	246	276.504861853896
810100800	246	276.245638984562
810104400	246	275.991797639171
810108000	246	276.015356827081
810111600	246	275.568098312434
810115200	246	275.278666936279
810118800	246	275.048894961881
810122400	246	274.820579980797
810126000	246	274.484278770879
810129600	246	272.601481829418
810133200	246	271.461418773884
810136800	246	271.726971127439
810140400	246	271.656207791758
810144000	246	271.097067284914
810147600	246	270.940813527386
810151200	246	273.387080406177
810154800	246	273.122140453262
810158400	246	274.499013597522
810162000	246	275.95789113096
810165600	246	276.621653305118
810169200	246	277.203579240742
810172800	247	277.621382141707
810176400	247	277.849145533333
810180000	247	278.055219804606
810183600	247	278.165439624491
810187200	247	278.158767947293
810190800	247	278.004455630573
810194400	247	277.578634849841
810198000	247	277.641844179305
810201600	247	277.754799345684
810205200	247	277.871163804644
810208800	247	277.927433681596
810212400	247	278.019153400293
810216000	247	278.693977071608
810219600	247	279.052024413033
810223200	247	279.340608018064
810226800	247	279.532772458913
810230400	247	279.910507782662
810234000	247	280.458691552841
810237600	247	280.452206755363
810241200	247	280.868876733076
810244800	247	281.357474630533
810248400	247	282.366049678586
810252000	247	283.808769007404
810255600	247	284.933747531891
810259200	248	282.391864948452
810262800	248	279.258411203945
810266400	248	278.230246196145
810270000	248	277.72089225155
810273600	248	277.453282861113
810277200	248	277.162603226586
810280800	248	277.060256829799
810284400	248	277.127152373634
810288000	248	277.132318123883
810291600	248	277.228445240017
810295200	248	277.419108533848
810298800	248	277.643777921463
810302400	248	278.064077619424
810306000	248	278.505805343172
810309600	248	279.043731679842
810313200	248	279.342468028662
810316800	248	279.649542808311
810320400	248	279.979179563533
810324000	248	280.586812874397
810327600	248	281.247752605291
810331200	248	281.850483248852
810334800	248	282.422512833407
810338400	248	283.174237527328
810342000	248	283.924721183044
810345600	249	281.467943263221
810349200	249	279.77548143676
810352800	249	279.4751670064
810356400	249	279.230142959616
810360000	249	279.005080814565
810363600	249	278.87443924261
810367200	249	278.10328416175
810370800	249	278.326638295726
810374400	249	278.682095870304
810378000	249	277.811377418371
810381600	249	276.749160110588
810385200	249	275.886183545791
810388800	249	275.882225337384
810392400	249	275.681414660222
810396000	249	275.927119543163
810399600	249	276.139530463642
810403200	249	276.231746824137
810406800	249	276.115602947298
810410400	249	276.027830034668
810414000	249	275.84260279797
810417600	249	275.79755231401
810421200	249	275.974876436178
810424800	249	276.023068664203
810428400	249	276.121409874259
810432000	250	276.223195229596
810435600	250	276.165957494136
810439200	250	276.152180648719
810442800	250	276.251935999258
810446400	250	276.306737087018
810450000	250	276.350881015622
810453600	250	276.730013474885
810457200	250	276.418258452147
810460800	250	276.415671898498
810464400	250	276.415599996197
810468000	250	276.386065395079
810471600	250	276.318967034023
810475200	250	276.251163902377
810478800	250	275.828903682895
810482400	250	275.247474972302
810486000	250	274.753404181625
810489600	250	274.424631331485
810493200	250	274.182991276945
810496800	250	273.928726151867
810500400	250	274.320427377395
810504000	250	274.894821157252
810507600	250	275.673694385141
810511200	250	275.849107195879
810514800	250	275.937726653327
810518400	251	275.95247085761
810522000	251	276.336220368141
810525600	251	276.490788122892
810529200	251	276.568858465652
810532800	251	276.610147790631
810536400	251	275.166946098048
810540000	251	273.847992428919
