Unix	jday	Temp
1230768000	1	17.82
1230854400	2	17.77
1230940800	3	17.64
1231027200	4	17.64
1231113600	5	17.73
1231200000	6	17.98
1231286400	7	17.99
1231372800	8	17.99
1231459200	9	18.1
1231545600	10	18.32
1231632000	11	18.59
1231718400	12	18.66
1231804800	13	18.6
1231891200	14	18.57
1231977600	15	18.64
1232064000	16	18.7
1232150400	17	18.73
1232236800	18	18.58
1232323200	19	18.25
1232409600	20	17.94
1232496000	21	17.8
1232582400	22	18.06
1232668800	23	18.33
1232755200	24	18.5
1232841600	25	18.52
1232928000	26	18.18
1233014400	27	17.81
1233100800	28	17.6
1233187200	29	17.62
1233273600	30	17.67
1233360000	31	17.44
1233446400	32	17.12
1233532800	33	16.91
1233619200	34	16.79
1233705600	35	16.76
1233792000	36	16.75
1233878400	37	16.75
1233964800	38	16.86
1234051200	39	17.03
1234137600	40	17.22
1234224000	41	17.39
1234310400	42	17.53
1234396800	43	17.24
1234483200	44	16.79
1234569600	45	16.5
1234656000	46	16.35
1234742400	47	16.38
1234828800	48	16.59
1234915200	49	16.96
1235001600	50	17.16
1235088000	51	17.32
1235174400	52	17.46
1235260800	53	17.55
1235347200	54	17.59
1235433600	55	17.63
1235520000	56	17.73
1235606400	57	17.84
1235692800	58	17.92
1235779200	59	17.98
1235865600	60	17.79
1235952000	61	17.74
1236038400	62	17.86
1236124800	63	18
1236211200	64	18.15
1236297600	65	18.15
1236384000	66	18.2
1236470400	67	18
1236556800	68	17.76
1236643200	69	17.58
1236729600	70	17.67
1236816000	71	17.71
1236902400	72	17.22
1236988800	73	16.77
1237075200	74	16.68
1237161600	75	17.08
1237248000	76	17.37
1237334400	77	17.39
1237420800	78	16.99
1237507200	79	16.64
1237593600	80	16.53
1237680000	81	16.61
1237766400	82	16.75
1237852800	83	16.78
1237939200	84	16.87
1238025600	85	16.89
1238112000	86	16.78
1238198400	87	16.63
1238284800	88	16.5
1238371200	89	16.6
1238457600	90	16.57
1238544000	91	16.49
1238630400	92	16.48
1238716800	93	16.45
1238803200	94	16.47
1238889600	95	16.54
1238976000	96	16.61
1239062400	97	16.29
1239148800	98	15.98
1239235200	99	15.86
1239321600	100	15.81
1239408000	101	15.74
1239494400	102	15.65
1239580800	103	15.58
1239667200	104	15.51
1239753600	105	15.79
1239840000	106	16.01
1239926400	107	16.17
1240012800	108	16.3
1240099200	109	16.42
1240185600	110	16.41
1240272000	111	16.29
1240358400	112	16.21
1240444800	113	16.3
1240531200	114	16.43
1240617600	115	16.56
1240704000	116	16.63
1240790400	117	16.67
1240876800	118	16.64
1240963200	119	16.6
1241049600	120	16.52
1241136000	121	16.19
1241222400	122	15.78
1241308800	123	15.53
1241395200	124	15.55
1241481600	125	15.53
1241568000	126	15.5
1241654400	127	15.46
1241740800	128	15.61
1241827200	129	15.71
1241913600	130	15.51
1.242e+09	131	15.37
1242086400	132	15.35
1242172800	133	15.44
1242259200	134	15.5
1242345600	135	15.55
1242432000	136	15.6
1242518400	137	15.57
1242604800	138	15.4
1242691200	139	15.22
1242777600	140	14.96
1242864000	141	14.77
1242950400	142	14.68
1243036800	143	14.67
1243123200	144	14.44
1243209600	145	14.17
1243296000	146	14.05
1243382400	147	14.19
1243468800	148	14.24
1243555200	149	14.23
1243641600	150	14.27
1243728000	151	14.31
1243814400	152	14.36
1243900800	153	14.34
1243987200	154	14.34
1244073600	155	14.3
1244160000	156	14.23
1244246400	157	14.22
1244332800	158	14.21
1244419200	159	14.22
1244505600	160	14.25
1244592000	161	14.29
1244678400	162	14.31
1244764800	163	14.32
1244851200	164	14.33
1244937600	165	14.13
1245024000	166	13.9
1245110400	167	13.77
1245196800	168	13.69
1245283200	169	13.67
1245369600	170	13.71
1245456000	171	13.86
1245542400	172	13.9
1245628800	173	13.93
