Unix	jday	Specific_humidity
875664000	274	0.00601316519172131
875667600	274	0.00629096943383921
875671200	274	0.00648168230018416
875674800	274	0.00660525019291711
875678400	274	0.00666879091356205
875682000	274	0.00671286474663843
875685600	274	0.0073103078883243
875689200	274	0.00739193292270295
875692800	274	0.0074261018170868
875696400	274	0.00742068217518517
875700000	274	0.00732302118702752
875703600	274	0.00719359198839037
875707200	274	0.00697030882980747
875710800	274	0.00689384052189196
875714400	274	0.00693811248450165
875718000	274	0.00704998135439799
875721600	274	0.00721072230033174
875725200	274	0.00735485510361056
875728800	274	0.00769785577664769
875732400	274	0.00785317227210227
875736000	274	0.00798921335600026
875739600	274	0.00809787090164849
875743200	274	0.00817388044475994
875746800	274	0.00821441675017595
875750400	275	0.00882777059837894
875754000	275	0.00883944793438109
875757600	275	0.00890507493871717
875761200	275	0.00893713617318482
875764800	275	0.00886560292544106
875768400	275	0.00873519566499008
875772000	275	0.0086082050169894
875775600	275	0.00841999626509037
875779200	275	0.00826292578631778
875782800	275	0.00816063271561602
875786400	275	0.00813591883982206
875790000	275	0.00812315015981349
875793600	275	0.00832789691231067
875797200	275	0.00833110031322139
875800800	275	0.00834779993391904
875804400	275	0.00832236374039792
875808000	275	0.00824391160744632
875811600	275	0.00816750539937544
875815200	275	0.00800096931360136
875818800	275	0.00797050793214483
875822400	275	0.00801074866436067
875826000	275	0.00806112985100188
875829600	275	0.00807483048369471
875833200	275	0.00809591856656455
875836800	276	0.00787450085103088
875840400	276	0.00807936438139114
875844000	276	0.00808248932487111
875847600	276	0.00810319552927528
875851200	276	0.00809455473218759
875854800	276	0.00813296187433288
875858400	276	0.00801995886936232
875862000	276	0.00812775240469675
875865600	276	0.00832508115418313
875869200	276	0.00855339609474141
875872800	276	0.00877263923147661
875876400	276	0.00896707958267997
875880000	276	0.00925460726265596
875883600	276	0.00939799137323871
875887200	276	0.00942177288756848
875890800	276	0.00943389267054996
875894400	276	0.00940522773213097
875898000	276	0.00935898128643507
875901600	276	0.00897837583036322
875905200	276	0.00895180215302866
875908800	276	0.00891717297013848
875912400	276	0.00892241336502105
875916000	276	0.00893912128519109
875919600	276	0.00894045347535189
875923200	277	0.00915723716482849
875926800	277	0.00923101410438931
875930400	277	0.00936894128387563
875934000	277	0.00949265860759166
875937600	277	0.00954048019004281
875941200	277	0.00947465040102683
875944800	277	0.00922527643656112
875948400	277	0.00879616392265847
875952000	277	0.0079372260648881
875955600	277	0.00668358533486072
875959200	277	0.00577026335308274
875962800	277	0.0051375710629276
875966400	277	0.00487228250093751
875970000	277	0.00489520799768964
875973600	277	0.00486395140289283
875977200	277	0.00475877162586509
875980800	277	0.0046737411781107
875984400	277	0.00462704164623536
875988000	277	0.00463970261451579
875991600	277	0.0045799513822522
875995200	277	0.00453807878795693
875998800	277	0.00454107197167312
876002400	277	0.00473956615939074
876006000	277	0.00488801043938001
876009600	278	0.00502579451413405
876013200	278	0.00492588036371117
876016800	278	0.00482477829663773
876020400	278	0.00476047665816888
876024000	278	0.00477583821252678
876027600	278	0.00482329553948857
876031200	278	0.00521244605081222
876034800	278	0.0050976891797
876038400	278	0.00502055545124641
876042000	278	0.00488800887072526
876045600	278	0.00475095622084212
876049200	278	0.00466896557539837
876052800	278	0.00488150606048254
876056400	278	0.00490230953139586
876060000	278	0.0050044856012098
876063600	278	0.00502521159347539
876067200	278	0.00552657722667388
876070800	278	0.00587846983755539
876074400	278	0.00616186414148618
876078000	278	0.00634825478229474
876081600	278	0.00640851272161312
876085200	278	0.0065026703763461
876088800	278	0.00654108292815139
