Unix	jday	Specific_humidity
946684800	1	0.00928157042684218
946688400	1	0.00927451118104955
946692000	1	0.0093734571906472
946695600	1	0.00948566501321282
946699200	1	0.00957912358010189
946702800	1	0.00965252505776363
946706400	1	0.00953660688626397
946710000	1	0.00969181291106808
946713600	1	0.00961434475659335
946717200	1	0.00953835821730815
946720800	1	0.00951885716949054
946724400	1	0.00951736640752841
946728000	1	0.00962821949670371
946731600	1	0.0093745791810136
946735200	1	0.00915487535376006
946738800	1	0.00889343170082152
946742400	1	0.00891993253050878
946746000	1	0.00902851079885532
946749600	1	0.00948026516497315
946753200	1	0.00956410971001483
946756800	1	0.00959392277964575
946760400	1	0.00961201017740419
946764000	1	0.00962270480526323
946767600	1	0.00963344797220774
946771200	2	0.00952682883395108
946774800	2	0.00947851789462566
946778400	2	0.00936133390608892
946782000	2	0.00916099423582875
946785600	2	0.00897241087648158
946789200	2	0.00882306941202826
946792800	2	0.00856941118276016
946796400	2	0.0084669260688445
946800000	2	0.00836092221681526
946803600	2	0.0082636500451246
946807200	2	0.00820302182283305
946810800	2	0.00814853003632331
946814400	2	0.00816184734211661
946818000	2	0.00792674976209106
946821600	2	0.00785495964890254
946825200	2	0.00789101069606121
946828800	2	0.00795185949058052
946832400	2	0.00798948683669242
946836000	2	0.00804208049456554
946839600	2	0.00786713705254409
946843200	2	0.00775452134294838
946846800	2	0.00774890113248257
946850400	2	0.00786153761272964
946854000	2	0.00792598723298572
946857600	3	0.00794991811001203
946861200	3	0.0076254504508705
946864800	3	0.00744414595083805
946868400	3	0.00737621164827863
946872000	3	0.00729341967437804
946875600	3	0.00716927120045005
946879200	3	0.00740951358582132
946882800	3	0.00732916133769085
946886400	3	0.00718480476210351
946890000	3	0.00701232293235975
946893600	3	0.00689934843900961
946897200	3	0.0068148229556992
946900800	3	0.00686305892805508
946904400	3	0.0068063445873821
946908000	3	0.00683689963389528
946911600	3	0.00691722938890466
946915200	3	0.00699109780340608
946918800	3	0.0070474469731614
946922400	3	0.00771212202618273
946926000	3	0.00770710503512667
946929600	3	0.0077292842097238
946933200	3	0.00778058589867862
946936800	3	0.00775970729325003
946940400	3	0.00768293158004121
946944000	4	0.00755662627181999
946947600	4	0.00743185451197183
946951200	4	0.00740881953613188
946954800	4	0.00735768566425589
946958400	4	0.00724704393200986
946962000	4	0.00711308371224349
946965600	4	0.0070502997731168
946969200	4	0.00701284712446684
946972800	4	0.00694516865521165
946976400	4	0.00687911491194317
946980000	4	0.00680808811229882
946983600	4	0.00673485475261326
946987200	4	0.00675087770922566
946990800	4	0.00664751351688916
946994400	4	0.00657686297335821
946998000	4	0.00650824902335716
947001600	4	0.00644630855983444
947005200	4	0.0064276353395075
947008800	4	0.00647675081134779
947012400	4	0.00648242702027514
947016000	4	0.00651204201368532
947019600	4	0.00656428540093334
947023200	4	0.00660182237669272
947026800	4	0.00659990587791944
947030400	5	0.00664462042605364
947034000	5	0.00667119355251044
947037600	5	0.00674199159783987
947041200	5	0.00673259326619262
947044800	5	0.00675879065690285
947048400	5	0.00677217578423417
947052000	5	0.00659795872084182
947055600	5	0.00649064357975704
947059200	5	0.00644912392541795
947062800	5	0.00642991694679222
947066400	5	0.00644014281467585
947070000	5	0.00641309353422968
947073600	5	0.00670429317191578
947077200	5	0.00672042959364602
947080800	5	0.00661652714526477
947084400	5	0.00653563532733711
