Unix	jday	rh
1199145600	1	45
1199149200	1	44
1199152800	1	44
1199156400	1	45
1199160000	1	47
1199163600	1	48
1199167200	1	53
1199170800	1	55
1199174400	1	61
1199178000	1	65
1199181600	1	68
1199185200	1	69
1199188800	1	66
1199192400	1	68
1199196000	1	65
1199199600	1	61
1199203200	1	59
1199206800	1	58
1199210400	1	61
1199214000	1	51
1199217600	1	49
1199221200	1	46
1199224800	1	41
1199228400	1	36
1199232000	2	33
1199235600	2	33
1199239200	2	34
1199242800	2	37
1199246400	2	38
1199250000	2	38
1199253600	2	42
1199257200	2	47
1199260800	2	54
1199264400	2	55
1199268000	2	57
1199271600	2	61
1199275200	2	68
1199278800	2	69
1199282400	2	69
1199286000	2	70
1199289600	2	70
1199293200	2	70
1199296800	2	63
1199300400	2	57
1199304000	2	54
1199307600	2	50
1199311200	2	46
1199314800	2	44
1199318400	3	42
1199322000	3	38
1199325600	3	35
1199329200	3	39
1199332800	3	43
1199336400	3	49
1199340000	3	57
1199343600	3	62
1199347200	3	66
1199350800	3	69
1199354400	3	72
1199358000	3	75
1199361600	3	79
1199365200	3	80
1199368800	3	81
1199372400	3	80
1199376000	3	79
1199379600	3	79
1199383200	3	80
1199386800	3	79
1199390400	3	77
1199394000	3	74
1199397600	3	72
1199401200	3	69
1199404800	4	67
1199408400	4	65
1199412000	4	63
1199415600	4	63
1199419200	4	62
1199422800	4	64
1199426400	4	67
1199430000	4	71
1199433600	4	78
1199437200	4	83
1199440800	4	84
1199444400	4	85
1199448000	4	85
1199451600	4	87
1199455200	4	87
1199458800	4	86
1199462400	4	86
1199466000	4	85
1199469600	4	75
1199473200	4	69
1199476800	4	62
1199480400	4	56
1199484000	4	49
1199487600	4	45
1199491200	5	46
1199494800	5	47
1199498400	5	49
1199502000	5	52
1199505600	5	54
1199509200	5	57
1199512800	5	62
1199516400	5	64
1199520000	5	80
1199523600	5	82
1199527200	5	81
1199530800	5	74
1199534400	5	78
1199538000	5	70
1199541600	5	70
1199545200	5	73
1199548800	5	75
1199552400	5	77
1199556000	5	75
1199559600	5	71
1199563200	5	68
1199566800	5	62
1199570400	5	57
1199574000	5	53
1199577600	6	56
1199581200	6	55
1199584800	6	55
1199588400	6	57
1199592000	6	60
1199595600	6	63
1199599200	6	67
1199602800	6	69
1199606400	6	73
1199610000	6	74
1199613600	6	73
1199617200	6	72
1199620800	6	70
1199624400	6	69
1199628000	6	68
1199631600	6	69
1199635200	6	70
1199638800	6	71
1199642400	6	70
1199646000	6	66
1199649600	6	63
1199653200	6	63
1199656800	6	57
1199660400	6	53
1199664000	7	46
1199667600	7	45
1199671200	7	60
1199674800	7	70
1199678400	7	68
1199682000	7	68
1199685600	7	63
1199689200	7	66
1199692800	7	75
1199696400	7	84
1199700000	7	85
1199703600	7	85
1199707200	7	82
1199710800	7	79
1199714400	7	77
1199718000	7	76
1199721600	7	75
1199725200	7	74
1199728800	7	70
1199732400	7	70
1199736000	7	71
1199739600	7	72
1199743200	7	70
1199746800	7	67
1199750400	8	65
1199754000	8	64
1199757600	8	64
1199761200	8	66
1199764800	8	68
1199768400	8	71
1199772000	8	74
1199775600	8	76
1199779200	8	81
1199782800	8	90
1199786400	8	91
1199790000	8	92
1199793600	8	91
1199797200	8	91
1199800800	8	92
1199804400	8	93
1199808000	8	91
1199811600	8	89
1199815200	8	83
1199818800	8	78
1199822400	8	73
1199826000	8	69
1199829600	8	64
1199833200	8	59
1199836800	9	62
1199840400	9	62
1199844000	9	62
1199847600	9	64
1199851200	9	67
1199854800	9	71
1199858400	9	78
1199862000	9	81
1199865600	9	87
1199869200	9	93
1199872800	9	86
1199876400	9	84
1199880000	9	84
1199883600	9	80
1199887200	9	80
1199890800	9	83
