Unix	jday	rh
883612800	1	61
883616400	1	59
883620000	1	58
883623600	1	60
883627200	1	62
883630800	1	64
883634400	1	67
883638000	1	71
883641600	1	76
883645200	1	80
883648800	1	82
883652400	1	84
883656000	1	86
883659600	1	86
883663200	1	85
883666800	1	83
883670400	1	76
883674000	1	70
883677600	1	59
883681200	1	52
883684800	1	47
883688400	1	43
883692000	1	37
883695600	1	32
883699200	2	30
883702800	2	31
883706400	2	32
883710000	2	32
883713600	2	31
883717200	2	31
883720800	2	34
883724400	2	38
883728000	2	43
883731600	2	44
883735200	2	44
883738800	2	44
883742400	2	47
883746000	2	45
883749600	2	44
883753200	2	44
883756800	2	44
883760400	2	44
883764000	2	40
883767600	2	41
883771200	2	40
883774800	2	37
883778400	2	35
883782000	2	32
883785600	3	26
883789200	3	25
883792800	3	22
883796400	3	21
883800000	3	23
883803600	3	26
883807200	3	27
883810800	3	32
883814400	3	40
883818000	3	46
883821600	3	51
883825200	3	56
883828800	3	60
883832400	3	63
883836000	3	65
883839600	3	67
883843200	3	68
883846800	3	68
883850400	3	62
883854000	3	58
883857600	3	54
883861200	3	49
883864800	3	45
883868400	3	41
883872000	4	36
883875600	4	37
883879200	4	37
883882800	4	38
883886400	4	40
883890000	4	43
883893600	4	44
883897200	4	50
883900800	4	59
883904400	4	61
883908000	4	66
883911600	4	72
883915200	4	77
883918800	4	81
883922400	4	86
883926000	4	89
883929600	4	89
883933200	4	89
883936800	4	78
883940400	4	76
883944000	4	80
883947600	4	79
883951200	4	72
883954800	4	65
883958400	5	65
883962000	5	65
883965600	5	63
883969200	5	62
883972800	5	64
883976400	5	68
883980000	5	74
883983600	5	76
883987200	5	79
883990800	5	83
883994400	5	86
883998000	5	91
884001600	5	92
884005200	5	91
884008800	5	91
884012400	5	93
884016000	5	93
884019600	5	93
884023200	5	92
884026800	5	92
884030400	5	91
884034000	5	90
884037600	5	89
884041200	5	88
884044800	6	83
884048400	6	78
884052000	6	67
884055600	6	64
884059200	6	64
884062800	6	64
884066400	6	66
884070000	6	69
884073600	6	75
884077200	6	78
884080800	6	71
884084400	6	61
884088000	6	55
884091600	6	53
884095200	6	54
884098800	6	57
884102400	6	62
884106000	6	68
884109600	6	69
884113200	6	65
884116800	6	60
884120400	6	57
884124000	6	55
884127600	6	53
884131200	7	56
884134800	7	61
884138400	7	67
884142000	7	74
884145600	7	74
884149200	7	74
884152800	7	73
884156400	7	75
884160000	7	78
884163600	7	80
884167200	7	80
884170800	7	80
884174400	7	79
884178000	7	77
884181600	7	76
884185200	7	74
884188800	7	72
884192400	7	69
884196000	7	64
884199600	7	59
884203200	7	50
884206800	7	44
884210400	7	39
884214000	7	37
884217600	8	35
884221200	8	35
884224800	8	35
884228400	8	34
884232000	8	34
884235600	8	35
884239200	8	36
884242800	8	39
884246400	8	46
884250000	8	53
884253600	8	52
884257200	8	52
884260800	8	56
884264400	8	59
884268000	8	60
884271600	8	60
884275200	8	58
884278800	8	56
884282400	8	52
884286000	8	45
884289600	8	42
884293200	8	40
884296800	8	39
884300400	8	41
884304000	9	45
884307600	9	47
884311200	9	46
884314800	9	46
884318400	9	48
884322000	9	52
884325600	9	59
884329200	9	61
884332800	9	63
884336400	9	64
884340000	9	65
884343600	9	65
884347200	9	67
884350800	9	68
884354400	9	69
884358000	9	69
884361600	9	67
884365200	9	66
884368800	9	63
884372400	9	59
884376000	9	56
884379600	9	55
884383200	9	55
884386800	9	54
884390400	10	54
884394000	10	53
884397600	10	50
884401200	10	48
884404800	10	49
884408400	10	51
884412000	10	55
884415600	10	60
884419200	10	67
884422800	10	71
884426400	10	73
884430000	10	75
884433600	10	82
884437200	10	83
884440800	10	83
884444400	10	84
884448000	10	84
884451600	10	84
884455200	10	76
884458800	10	70
884462400	10	65
884466000	10	59
884469600	10	50
884473200	10	45
884476800	11	36
884480400	11	38
884484000	11	38
884487600	11	39
884491200	11	43
884494800	11	46
884498400	11	50
884502000	11	56
884505600	11	68
884509200	11	69
884512800	11	68
884516400	11	69
884520000	11	68
884523600	11	68
884527200	11	70
884530800	11	72
884534400	11	73
884538000	11	74
884541600	11	69
884545200	11	63
884548800	11	57
884552400	11	47
884556000	11	37
884559600	11	33
884563200	12	38
884566800	12	46
884570400	12	52
884574000	12	54
884577600	12	57
884581200	12	58
884584800	12	60
884588400	12	60
884592000	12	63
884595600	12	68
884599200	12	73
884602800	12	77
884606400	12	76
884610000	12	78
884613600	12	76
884617200	12	74
884620800	12	73
884624400	12	73
884628000	12	70
884631600	12	61
884635200	12	49
884638800	12	41
884642400	12	41
884646000	12	41
884649600	13	42
884653200	13	43
884656800	13	42
884660400	13	43
884664000	13	45
884667600	13	48
884671200	13	52
884674800	13	57
884678400	13	64
884682000	13	69
884685600	13	71
884689200	13	72
884692800	13	73
884696400	13	74
884700000	13	78
884703600	13	82
884707200	13	82
884710800	13	79
884714400	13	70
884718000	13	63
884721600	13	55
884725200	13	48
884728800	13	40
884732400	13	35
884736000	14	34
884739600	14	32
884743200	14	30
884746800	14	30
884750400	14	30
884754000	14	32
884757600	14	35
884761200	14	38
884764800	14	45
884768400	14	52
884772000	14	58
884775600	14	64
884779200	14	67
884782800	14	69
884786400	14	71
884790000	14	71
884793600	14	71
884797200	14	72
884800800	14	71
884804400	14	65
884808000	14	57
884811600	14	50
884815200	14	42
884818800	14	35
884822400	15	27
884826000	15	23
884829600	15	23
884833200	15	26
884836800	15	28
884840400	15	31
884844000	15	39
884847600	15	42
884851200	15	47
884854800	15	51
884858400	15	54
884862000	15	56
884865600	15	57
884869200	15	58
884872800	15	58
884876400	15	58
884880000	15	59
884883600	15	60
884887200	15	62
884890800	15	60
884894400	15	56
884898000	15	53
884901600	15	67
884905200	15	85
884908800	16	83
884912400	16	77
884916000	16	71
884919600	16	57
884923200	16	54
884926800	16	53
884930400	16	54
884934000	16	56
884937600	16	66
884941200	16	69
884944800	16	70
884948400	16	71
884952000	16	72
884955600	16	73
884959200	16	76
884962800	16	79
884966400	16	83
884970000	16	85
884973600	16	80
884977200	16	68
884980800	16	55
884984400	16	46
884988000	16	40
884991600	16	35
884995200	17	35
884998800	17	33
885002400	17	35
885006000	17	38
885009600	17	42
885013200	17	47
885016800	17	54
885020400	17	59
885024000	17	67
885027600	17	73
885031200	17	75
885034800	17	77
885038400	17	79
885042000	17	77
885045600	17	79
885049200	17	82
885052800	17	82
885056400	17	81
885060000	17	75
885063600	17	69
885067200	17	64
885070800	17	57
885074400	17	49
885078000	17	43
885081600	18	38
885085200	18	36
885088800	18	34
885092400	18	34
885096000	18	33
885099600	18	32
885103200	18	32
885106800	18	34
885110400	18	36
885114000	18	38
885117600	18	41
885121200	18	42
885124800	18	41
885128400	18	42
885132000	18	45
885135600	18	47
885139200	18	50
885142800	18	52
885146400	18	56
885150000	18	55
885153600	18	52
885157200	18	47
885160800	18	41
885164400	18	36
885168000	19	38
885171600	19	45
885175200	19	45
885178800	19	43
885182400	19	47
885186000	19	51
885189600	19	57
885193200	19	61
885196800	19	66
885200400	19	71
885204000	19	73
885207600	19	76
885211200	19	76
885214800	19	76
885218400	19	75
885222000	19	71
885225600	19	72
885229200	19	72
885232800	19	71
885236400	19	70
885240000	19	67
885243600	19	64
885247200	19	59
885250800	19	55
885254400	20	53
885258000	20	53
885261600	20	55
885265200	20	59
885268800	20	64
885272400	20	70
885276000	20	75
885279600	20	79
885283200	20	84
885286800	20	85
885290400	20	84
885294000	20	83
885297600	20	84
885301200	20	85
885304800	20	85
885308400	20	81
885312000	20	81
885315600	20	82
885319200	20	83
885322800	20	82
885326400	20	82
885330000	20	80
885333600	20	78
885337200	20	76
885340800	21	74
885344400	21	73
885348000	21	72
885351600	21	69
885355200	21	70
885358800	21	72
885362400	21	74
885366000	21	76
885369600	21	82
885373200	21	85
885376800	21	86
885380400	21	87
885384000	21	87
885387600	21	88
885391200	21	89
885394800	21	90
885398400	21	90
885402000	21	91
885405600	21	88
885409200	21	81
885412800	21	76
885416400	21	71
885420000	21	65
885423600	21	60
885427200	22	59
885430800	22	61
885434400	22	64
885438000	22	67
885441600	22	70
885445200	22	74
885448800	22	77
885452400	22	81
885456000	22	87
885459600	22	88
885463200	22	88
885466800	22	88
885470400	22	86
885474000	22	86
885477600	22	89
885481200	22	89
885484800	22	88
885488400	22	88
885492000	22	80
885495600	22	77
885499200	22	74
885502800	22	66
885506400	22	56
885510000	22	48
885513600	23	44
885517200	23	45
885520800	23	48
885524400	23	51
885528000	23	53
885531600	23	54
885535200	23	57
885538800	23	62
885542400	23	69
885546000	23	74
885549600	23	77
885553200	23	80
885556800	23	83
885560400	23	84
885564000	23	85
885567600	23	85
885571200	23	85
885574800	23	85
885578400	23	83
885582000	23	79
885585600	23	73
885589200	23	66
885592800	23	57
885596400	23	53
885600000	24	42
885603600	24	48
885607200	24	46
885610800	24	47
885614400	24	51
885618000	24	53
885621600	24	57
885625200	24	67
885628800	24	77
885632400	24	82
885636000	24	86
885639600	24	88
885643200	24	88
885646800	24	88
885650400	24	90
885654000	24	92
885657600	24	93
885661200	24	94
885664800	24	91
885668400	24	87
885672000	24	79
885675600	24	70
885679200	24	58
885682800	24	50
885686400	25	45
885690000	25	44
885693600	25	44
885697200	25	46
885700800	25	49
885704400	25	53
885708000	25	59
885711600	25	65
885715200	25	77
885718800	25	88
885722400	25	91
885726000	25	93
885729600	25	91
885733200	25	92
885736800	25	93
885740400	25	93
885744000	25	93
885747600	25	93
885751200	25	93
