Unix	jday	rh
1042495200	13	80
1042498800	13	79
1042502400	14	73
1042506000	14	67
1042509600	14	61
1042513200	14	60
1042516800	14	60
1042520400	14	61
1042524000	14	63
1042527600	14	66
1042531200	14	71
1042534800	14	74
1042538400	14	75
1042542000	14	76
1042545600	14	77
1042549200	14	77
1042552800	14	80
1042556400	14	80
1042560000	14	80
1042563600	14	80
1042567200	14	77
1042570800	14	72
1042574400	14	65
1042578000	14	60
1042581600	14	55
1042585200	14	52
1042588800	15	51
1042592400	15	47
1042596000	15	46
1042599600	15	46
1042603200	15	46
1042606800	15	47
1042610400	15	51
1042614000	15	54
1042617600	15	64
1042621200	15	70
1042624800	15	77
1042628400	15	79
1042632000	15	80
1042635600	15	81
1042639200	15	83
1042642800	15	84
1042646400	15	84
1042650000	15	84
1042653600	15	79
1042657200	15	71
1042660800	15	62
1042664400	15	57
1042668000	15	51
1042671600	15	47
1042675200	16	45
1042678800	16	46
1042682400	16	48
1042686000	16	50
1042689600	16	51
1042693200	16	53
1042696800	16	58
1042700400	16	62
1042704000	16	69
1042707600	16	76
1042711200	16	79
1042714800	16	83
1042718400	16	86
1042722000	16	86
1042725600	16	87
1042729200	16	88
1042732800	16	89
1042736400	16	90
1042740000	16	88
1042743600	16	80
1042747200	16	74
1042750800	16	69
1042754400	16	67
1042758000	16	65
1042761600	17	65
1042765200	17	66
1042768800	17	66
1042772400	17	67
1042776000	17	66
1042779600	17	67
1042783200	17	68
1042786800	17	71
1042790400	17	76
1042794000	17	78
1042797600	17	80
1042801200	17	82
1042804800	17	83
1042808400	17	84
1042812000	17	85
1042815600	17	86
1042819200	17	87
1042822800	17	87
1042826400	17	85
1042830000	17	75
1042833600	17	72
1042837200	17	69
1042840800	17	66
1042844400	17	64
1042848000	18	63
1042851600	18	61
1042855200	18	59
1042858800	18	57
1042862400	18	59
1042866000	18	60
1042869600	18	64
1042873200	18	68
1042876800	18	74
1042880400	18	79
1042884000	18	83
1042887600	18	85
1042891200	18	84
1042894800	18	85
1042898400	18	84
1042902000	18	81
1042905600	18	78
1042909200	18	75
1042912800	18	72
1042916400	18	63
1042920000	18	58
1042923600	18	50
1042927200	18	43
1042930800	18	39
1042934400	19	33
1042938000	19	34
1042941600	19	39
1042945200	19	43
1042948800	19	45
1042952400	19	49
1042956000	19	50
1042959600	19	55
1042963200	19	60
1042966800	19	64
1042970400	19	67
1042974000	19	69
1042977600	19	68
1042981200	19	71
1042984800	19	79
1042988400	19	83
1042992000	19	80
1042995600	19	79
1042999200	19	71
1043002800	19	63
1043006400	19	54
1043010000	19	47
1043013600	19	42
1043017200	19	39
1043020800	20	34
1043024400	20	35
1043028000	20	37
1043031600	20	38
1043035200	20	38
1043038800	20	39
1043042400	20	43
1043046000	20	47
