Unix	jday	dp
954547200	92	240.41
954558000	92	243.28
954568800	92	242.16
954579600	92	244.59
954590400	92	239.24
954601200	92	240.04
954612000	92	239.41
954622800	92	240.35
954633600	93	240
954644400	93	241.32
954655200	93	257.23
954666000	93	255.21
954676800	93	252.15
954687600	93	237.95
954698400	93	237.5
954709200	93	237.71
954720000	94	237.86
954730800	94	238.71
954741600	94	239.47
954752400	94	240.64
954763200	94	241.44
954774000	94	240.16
954784800	94	240.59
954795600	94	241.2
954806400	95	334.55
954817200	95	314.83
954828000	95	304.01
954838800	95	295.75
954849600	95	296.48
954860400	95	297.47
954871200	95	298.07
954882000	95	304.07
954892800	96	299.74
954903600	96	294.54
954914400	96	241.41
954925200	96	242.35
954936000	96	242.97
954946800	96	243.75
954957600	96	247.27
954968400	96	339.93
954979200	97	341.08
954990000	97	342.57
955000800	97	337.1
955011600	97	337.27
955022400	97	331.44
955033200	97	331.54
955044000	97	330.05
955054800	97	328.08
955065600	98	324.85
955076400	98	318.67
955087200	98	308.76
955098000	98	296.5
955108800	98	283.22
955119600	98	286.29
955130400	98	279.45
955141200	98	273.52
955152000	99	268
955162800	99	263.37
955173600	99	237.79
955184400	99	236.69
955195200	99	235.71
955206000	99	235.07
955216800	99	234.68
955227600	99	242.09
955238400	100	240.56
955249200	100	242.88
955260000	100	241.32
955270800	100	238.92
955281600	100	238.29
955292400	100	239.18
955303200	100	238.51
955314000	100	239.35
955324800	101	238.72
955335600	101	239.57
955346400	101	239.16
955357200	101	240.11
955368000	101	237.1
955378800	101	244.83
955389600	101	243.88
955400400	101	245.48
955411200	102	245.18
955422000	102	245.46
955432800	102	245.47
955443600	102	245.46
955454400	102	236.92
955465200	102	237.71
955476000	102	237.18
955486800	102	234.78
955497600	103	235
955508400	103	235.71
955519200	103	236.04
955530000	103	236.68
955540800	103	236.79
955551600	103	237.21
955562400	103	236.97
955573200	103	236.76
955584000	104	236.05
955594800	104	235.78
955605600	104	235.33
955616400	104	235.32
955627200	104	234.88
955638000	104	234.75
955648800	104	234.12
955659600	104	233.83
955670400	105	233.19
955681200	105	233.29
955692000	105	233.15
955702800	105	233.35
955713600	105	233.07
955724400	105	232.96
955735200	105	232.39
955746000	105	233.67
955756800	106	233.21
955767600	106	232.8
955778400	106	232.26
955789200	106	231.87
955800000	106	231.44
955810800	106	231.1
955821600	106	231.2
955832400	106	232.9
955843200	107	267.51
955854000	107	273.06
955864800	107	270.5
955875600	107	264.75
955886400	107	265.02
955897200	107	265.24
955908000	107	274.66
955918800	107	274.99
955929600	108	275.11
955940400	108	274.77
955951200	108	280.61
955962000	108	280.59
955972800	108	280.49
955983600	108	280.27
955994400	108	241.67
956005200	108	244
956016000	109	243.55
956026800	109	244.97
956037600	109	245.99
956048400	109	246.74
956059200	109	247.13
956070000	109	330.52
956080800	109	321.38
956091600	109	353.93
956102400	110	4.37
956113200	110	359.72
956124000	110	3.61
956134800	110	7
956145600	110	1.42
956156400	110	358.61
956167200	110	353.51
956178000	110	343.24
956188800	111	318.94
956199600	111	285.5
956210400	111	264.68
956221200	111	256.7
956232000	111	253.66
956242800	111	252.69
956253600	111	252.43
956264400	111	252.77
956275200	112	252.41
956286000	112	243.65
956296800	112	243.01
956307600	112	243.54
956318400	112	243.81
956329200	112	244.4
956340000	112	244.66
956350800	112	244.91
956361600	113	244.61
956372400	113	244.49
956383200	113	244.48
956394000	113	244.54
956404800	113	244.81
956415600	113	245.62
956426400	113	247.09
956437200	113	332.52
956448000	114	250.76
956458800	114	252.15
956469600	114	252.67
956480400	114	252.48
956491200	114	251.99
956502000	114	254.27
956512800	114	254.78
956523600	114	255.77
956534400	115	258.92
956545200	115	254.76
956556000	115	254.12
956566800	115	254.61
956577600	115	255.52
956588400	115	255.59
956599200	115	255.69
956610000	115	253.83
956620800	116	251.54
956631600	116	249.48
956642400	116	247.46
956653200	116	246
956664000	116	244.46
956674800	116	243.33
956685600	116	241.98
956696400	116	241.02
956707200	117	242.89
956718000	117	242.99
956728800	117	244.71
956739600	117	243.91
956750400	117	243.45
956761200	117	243.67
956772000	117	245.53
956782800	117	245.52
956793600	118	245.77
956804400	118	245.73
956815200	118	242.97
956826000	118	242.51
956836800	118	242.74
956847600	118	244.12
956858400	118	245.18
956869200	118	245.8
956880000	119	246.23
956890800	119	247.01
956901600	119	239.67
956912400	119	238.22
956923200	119	238.64
956934000	119	239.27
956944800	119	239.54
956955600	119	240.12
956966400	120	241.66
956977200	120	241.8
956988000	120	241.86
956998800	120	242.78
957009600	120	242.41
957020400	120	243.22
957031200	120	242.34
957042000	120	242.43
957052800	121	242.13
957063600	121	242.11
957074400	121	241.88
957085200	121	241.56
957096000	121	241.71
957106800	121	242.26
957117600	121	247.05
957128400	121	248.28
957139200	122	246.79
