Unix	jday	tp
1120176000	182	14.7
1120186800	182	14.59
1120197600	182	14.52
1120208400	182	14.47
1120219200	182	14.43
1120230000	182	14.4
1120240800	182	14.35
1120251600	182	14.25
1120262400	183	14.07
1120273200	183	13.83
1120284000	183	13.69
1120294800	183	13.65
1120305600	183	13.65
1120316400	183	13.52
1120327200	183	13.3
1120338000	183	13.11
1120348800	184	12.92
1120359600	184	8.7
1120370400	184	10.36
1120381200	184	11.64
1120392000	184	11.21
1120402800	184	10.83
1120413600	184	10.52
1120424400	184	10.65
1120435200	185	11.72
1120446000	185	11.19
1120456800	185	10.85
1120467600	185	10.63
1120478400	185	10.39
1120489200	185	10.26
1120500000	185	10.2
1120510800	185	10.12
1120521600	186	10.05
1120532400	186	10.01
1120543200	186	9.99
1120554000	186	9.96
1120564800	186	9.84
1120575600	186	12.84
1120586400	186	12.59
1120597200	186	12.4
1120608000	187	12.29
1120618800	187	12.21
1120629600	187	12.15
1120640400	187	12.11
1120651200	187	12.08
1120662000	187	12.08
1120672800	187	12.12
1120683600	187	12.23
1120694400	188	12.36
1120705200	188	12.32
1120716000	188	12.19
1120726800	188	12.11
1120737600	188	12.11
1120748400	188	12.16
1120759200	188	16.36
1120770000	188	16
1120780800	189	15.76
1120791600	189	15.37
1120802400	189	14.67
1120813200	189	14.53
1120824000	189	14.42
1120834800	189	14.3
1120845600	189	14.16
1120856400	189	13.93
1120867200	190	13.34
1120878000	190	13.05
1120888800	190	12.91
1120899600	190	12.74
1120910400	190	11.64
1120921200	190	9.14
1120932000	190	8.8
1120942800	190	8.98
1120953600	191	9.62
1120964400	191	9.66
1120975200	191	9.29
1120986000	191	9.01
1120996800	191	8.88
1121007600	191	8.74
1121018400	191	8.42
1121029200	191	8.32
1121040000	192	8.34
1121050800	192	9.77
1121061600	192	9.81
1121072400	192	9.89
1121083200	192	14.11
1121094000	192	6.14
1121104800	192	6.98
1121115600	192	7.72
1121126400	193	8.64
1121137200	193	9.46
1121148000	193	10.45
1121158800	193	11.9
1121169600	193	13.04
1121180400	193	13.22
1121191200	193	13.28
1121202000	193	13.28
1121212800	194	13.24
1121223600	194	13.19
1121234400	194	13.1
1121245200	194	12.93
1121256000	194	12.54
1121266800	194	12.39
1121277600	194	12.37
1121288400	194	12.35
1121299200	195	12.31
1121310000	195	12.38
1121320800	195	12.6
1121331600	195	12.89
1121342400	195	13.07
1121353200	195	13.14
1121364000	195	13.1
1121374800	195	13.01
1121385600	196	12.72
1121396400	196	11.89
1121407200	196	10.67
1121418000	196	9.38
1121428800	196	9.24
1121439600	196	9.15
1121450400	196	8.97
1121461200	196	12.97
1121472000	197	13.19
1121482800	197	13.37
1121493600	197	13.58
1121504400	197	13.85
1121515200	197	13.82
1121526000	197	13.51
1121536800	197	13.25
1121547600	197	13.09
1121558400	198	12.94
1121569200	198	12.62
1121580000	198	12.15
1121590800	198	11.96
1121601600	198	11.87
1121612400	198	11.71
1121623200	198	10.41
1121634000	198	10.33
1121644800	199	10.29
1121655600	199	9.99
1121666400	199	9.33
1121677200	199	8.97
1121688000	199	8.57
1121698800	199	8.4
1121709600	199	9.93
1121720400	199	12.09
1121731200	200	12.62
1121742000	200	12.7
1121752800	200	12
1121763600	200	11.33
1121774400	200	12.82
1121785200	200	13.04
1121796000	200	12.86
1121806800	200	12.6
1121817600	201	12.4
1121828400	201	12.23
1121839200	201	11.98
1121850000	201	11.76
1121860800	201	11.61
1121871600	201	11.76
1121882400	201	11.86
1121893200	201	11.87
1121904000	202	17.64
1121914800	202	17.3
1121925600	202	16.29
1121936400	202	15.93
1121947200	202	15.72
1121958000	202	15.46
1121968800	202	14.74
1121979600	202	14.47
1121990400	203	14.34
1122001200	203	14.24
1122012000	203	14.09
1122022800	203	13.64
1122033600	203	13.35
1122044400	203	13.21
1122055200	203	13.14
1122066000	203	13.11
1122076800	204	13.14
1122087600	204	13.3
1122098400	204	13.58
1122109200	204	13.69
1122120000	204	13.47
1122130800	204	13.25
1122141600	204	13.11
1122152400	204	13.03
1122163200	205	13.04
1122174000	205	13.26
1122184800	205	15.95
1122195600	205	15.77
1122206400	205	15.38
1122217200	205	14.78
1122228000	205	14.56
1122238800	205	14.41
1122249600	206	14.25
1122260400	206	14.05
1122271200	206	13.64
1122282000	206	13.42
1122292800	206	13.3
1122303600	206	13.21
1122314400	206	13.08
1122325200	206	12.92
1122336000	207	12.74
1122346800	207	12.52
1122357600	207	12.54
1122368400	207	12.88
1122379200	207	13.1
1122390000	207	13.48
1122400800	207	14.48
1122411600	207	14.46
1122422400	208	14.36
1122433200	208	14.18
1122444000	208	13.66
1122454800	208	13.38
1122465600	208	13.34
1122476400	208	13.58
1122487200	208	13.61
1122498000	208	13.43
1122508800	209	13.31
1122519600	209	13.22
1122530400	209	13.08
1122541200	209	12.89
1122552000	209	12.63
1122562800	209	12.32
1122573600	209	12.16
1122584400	209	12.1
1122595200	210	12.1
1122606000	210	12.11
1122616800	210	12.12
1122627600	210	12.16
1122638400	210	12.22
1122649200	210	12.29
1122660000	210	12.31
1122670800	210	12.31
1122681600	211	12.31
1122692400	211	12.31
1122703200	211	12.27
1122714000	211	12.22
1122724800	211	12.16
1122735600	211	12.09
1122746400	211	11.99
1122757200	211	11.87
1122768000	212	11.79
1122778800	212	11.76
1122789600	212	11.76
1122800400	212	11.75
1122811200	212	11.69
1122822000	212	11.41
1122832800	212	10.83
1122843600	212	10.49
1122854400	213	10.31
