Unix	jday	tp
901929600	213	4.22
901940400	213	3.54
901951200	213	3.82
901962000	213	3.85
901972800	213	3.87
901983600	213	3.87
901994400	213	3.88
902005200	213	3.91
902016000	214	12.19
902026800	214	6.5
902037600	214	6.6
902048400	214	6.34
902059200	214	6.73
902070000	214	6.85
902080800	214	6.89
902091600	214	6.9
902102400	215	6.88
902113200	215	10.84
902124000	215	10.88
902134800	215	10.81
902145600	215	10.73
902156400	215	10.6
902167200	215	10.41
902178000	215	10.28
902188800	216	10.21
902199600	216	10.18
902210400	216	10.18
902221200	216	10.19
902232000	216	3.31
902242800	216	3.77
902253600	216	3.96
902264400	216	4.07
902275200	217	4.21
902286000	217	4.15
902296800	217	10.25
902307600	217	3.48
902318400	217	3.55
902329200	217	3.82
902340000	217	3.89
902350800	217	3.84
902361600	218	4.1
902372400	218	4.12
902383200	218	10.97
902394000	218	3.97
902404800	218	4.56
902415600	218	5.03
902426400	218	5.24
902437200	218	5.56
902448000	219	5.71
902458800	219	5.86
902469600	219	6.15
902480400	219	6.31
902491200	219	6.54
902502000	219	6.78
902512800	219	6.93
902523600	219	7.22
902534400	220	7.59
902545200	220	8.17
902556000	220	11.76
902566800	220	11.74
902577600	220	9.62
902588400	220	9.56
902599200	220	9.33
902610000	220	9.2
902620800	221	9.1
902631600	221	9.01
902642400	221	8.91
902653200	221	8.73
902664000	221	8.54
902674800	221	8.43
902685600	221	8.37
902696400	221	8.33
902707200	222	8.3
902718000	222	8.28
902728800	222	5.86
902739600	222	5.91
902750400	222	5.85
902761200	222	5.83
902772000	222	5.75
902782800	222	5.65
902793600	223	6.07
902804400	223	6.7
902815200	223	7.35
902826000	223	7.72
902836800	223	8.24
902847600	223	8.5
902858400	223	8.64
902869200	223	9.11
902880000	224	9.1
902890800	224	9.13
902901600	224	5.68
902912400	224	5.84
902923200	224	5.89
902934000	224	5.9
902944800	224	8.48
902955600	224	8.46
902966400	225	8.41
902977200	225	8.38
902988000	225	8.33
902998800	225	8.28
903009600	225	8.23
903020400	225	8.15
903031200	225	8.02
903042000	225	7.85
903052800	226	7.68
903063600	226	6.5
903074400	226	6.74
903085200	226	6.92
903096000	226	7.1
903106800	226	7.23
903117600	226	7.36
903128400	226	7.49
903139200	227	7.63
903150000	227	7.72
903160800	227	7.83
903171600	227	7.87
903182400	227	4.64
903193200	227	5.88
903204000	227	6.7
903214800	227	7.12
903225600	228	7.4
903236400	228	7.47
903247200	228	7.56
903258000	228	8
903268800	228	8.26
903279600	228	8.34
903290400	228	8.39
903301200	228	8.34
903312000	229	8.28
903322800	229	7.85
903333600	229	7.52
903344400	229	7.36
903355200	229	7.44
903366000	229	7.53
903376800	229	7.65
903387600	229	10.84
903398400	230	10.84
903409200	230	10.81
903420000	230	10.75
903430800	230	10.66
903441600	230	10.39
903452400	230	10.21
903463200	230	10.11
903474000	230	10.06
903484800	231	10.03
903495600	231	10.02
903506400	231	10.02
903517200	231	10
903528000	231	9.97
903538800	231	9.91
903549600	231	9.86
903560400	231	9.82
903571200	232	9.81
903582000	232	5.46
903592800	232	6.41
903603600	232	7.1
903614400	232	7.73
903625200	232	8.4
903636000	232	9.11
903646800	232	9.38
903657600	233	9.69
903668400	233	9.73
903679200	233	9.61
903690000	233	9.63
903700800	233	9.83
903711600	233	10.13
903722400	233	10.6
903733200	233	11.18
903744000	234	11.44
903754800	234	11.32
903765600	234	11.22
903776400	234	11.1
903787200	234	10.99
903798000	234	10.81
903808800	234	10.46
903819600	234	10.21
903830400	235	3.81
903841200	235	3.89
903852000	235	4.19
903862800	235	4.22
903873600	235	4.25
903884400	235	4.24
903895200	235	4.3
903906000	235	4.36
903916800	236	4.4
903927600	236	4.41
903938400	236	4.41
903949200	236	3.17
903960000	236	3.59
903970800	236	4.16
903981600	236	3.33
903992400	236	3.67
904003200	237	4.28
904014000	237	4.46
904024800	237	4.58
904035600	237	4.64
904046400	237	13.15
904057200	237	13.07
904068000	237	4.12
904078800	237	4.96
904089600	238	5.59
904100400	238	5.74
904111200	238	5.86
904122000	238	6.03
904132800	238	6.11
904143600	238	6.11
904154400	238	6.03
904165200	238	5.86
904176000	239	5.8
904186800	239	5.77
904197600	239	5.75
904208400	239	5.75
904219200	239	5.8
904230000	239	3.53
904240800	239	4.19
904251600	239	4.36
904262400	240	5.55
904273200	240	5.61
904284000	240	5.67
904294800	240	5.75
904305600	240	5.82
904316400	240	3.57
904327200	240	3.96
904338000	240	4.2
904348800	241	4.45
904359600	241	4.73
904370400	241	4.71
904381200	241	4.7
904392000	241	14.22
904402800	241	6.57
904413600	241	6.79
904424400	241	6.86
904435200	242	6.83
904446000	242	6.8
904456800	242	6.7
904467600	242	6.66
904478400	242	6.73
904489200	242	6.93
904500000	242	7.1
904510800	242	7.24
904521600	243	9.31
904532400	243	9.89
904543200	243	14.52
904554000	243	14.53
904564800	243	14.54
904575600	243	14.58
904586400	243	14.68
904597200	243	14.83
904608000	244	14.93
