Unix	jday	V-component_of_wind
993945600	182	2.93551495622509
993949200	182	2.08814999294821
993952800	182	1.20314335187339
993956400	182	0.491862276660484
993960000	182	0.234185705177334
993963600	182	0.0257538895680759
993967200	182	-0.846040007201548
993970800	182	-0.884211302459311
993974400	182	-0.331382009018255
993978000	182	0.349605644723949
993981600	182	0.638365769619547
993985200	182	0.813218754809038
993988800	182	0.791650621579184
993992400	182	0.769827399737218
993996000	182	0.430404545554101
993999600	182	0.130997198479919
994003200	182	0.262650717441805
994006800	182	0.387398847818017
994010400	182	1.75593364576262
994014000	182	2.17055158568331
994017600	182	2.32116362089691
994021200	182	2.06815911854823
994024800	182	1.66696446057914
994028400	182	1.35836021295579
994032000	183	0.789857633447988
994035600	183	0.825309299140003
994039200	183	1.06172071668228
994042800	183	0.873859144048211
994046400	183	0.397189301969291
994050000	183	-0.0566283720585891
994053600	183	-0.693865573199453
994057200	183	-0.50510214612274
994060800	183	-0.0293542094471636
994064400	183	0.222216826453725
994068000	183	0.423115824996148
994071600	183	0.536984532788572
994075200	183	-1.30618420869045
994078800	183	-2.08709628252324
994082400	183	-2.5444100638291
994086000	183	-2.71085134981317
994089600	183	-2.59124388129639
994093200	183	-2.52571842056547
994096800	183	-0.658478086907419
994100400	183	-1.62978347805141
994104000	183	-1.83921608493845
994107600	183	-1.50271525544825
994111200	183	-1.56655234459823
994114800	183	-1.55203093100619
994118400	184	-1.88822015455119
994122000	184	-3.24761750062971
994125600	184	-3.38402645102498
994129200	184	-2.83963590980954
994132800	184	-2.47054072783608
994136400	184	-2.51440268389818
994140000	184	-1.7630077977998
994143600	184	-1.76729445350852
994147200	184	-1.59570526329079
994150800	184	-1.69751537798312
994154400	184	-1.69860174751475
994158000	184	-1.6655295468408
994161600	184	-1.044311814572
994165200	184	-1.72088964410547
994168800	184	-1.9649948022186
994172400	184	-1.80299755526431
994176000	184	-1.52423069613863
994179600	184	-1.28355818256934
994183200	184	0.0333132669556856
994186800	184	-0.275637081152255
994190400	184	-0.567427929982816
994194000	184	-0.582312893986655
994197600	184	-0.608934388656341
994201200	184	-0.530479652201092
994204800	185	-1.09692331852864
994208400	185	-0.750660869249718
994212000	185	-1.138777324542
994215600	185	-1.48595463712451
994219200	185	-1.34879417055185
994222800	185	-1.47089420634728
994226400	185	-2.75778054535537
994230000	185	-2.16973384534567
994233600	185	-1.78780990242105
994237200	185	-1.36709037242688
994240800	185	-1.01640238186692
994244400	185	-0.791131673793845
994248000	185	-2.13031896299446
994251600	185	-1.82485688472213
994255200	185	-1.13572674763564
994258800	185	-0.708473113621043
994262400	185	-0.759642463634951
994266000	185	-0.826324966039774
994269600	185	-1.85439036719478
994273200	185	-1.79892824250543
994276800	185	-1.79966437892522
994280400	185	-1.58266957148575
994284000	185	-1.66273946574649
994287600	185	-1.75216590383539
994291200	186	-3.69366070727201
994294800	186	-2.79486547295742
994298400	186	-2.47201023407789
994302000	186	-2.41942606693538
994305600	186	-2.14281056194003
994309200	186	-2.18378530654065
994312800	186	-2.43876187579099
994316400	186	-2.11474259727999
994320000	186	-2.10551070798788
994323600	186	-2.07497886025837
994327200	186	-2.16772290926406
994330800	186	-2.26622858113706
994334400	186	-3.40094176694817
994338000	186	-2.72009160296024
994341600	186	-2.4018157083149
994345200	186	-2.22003772488803
994348800	186	-1.91534057365259
994352400	186	-1.5585911151257
994356000	186	-0.476220735144142
994359600	186	-0.202377310182318
994363200	186	-0.286554716634194
994366800	186	-0.573635346025682
994370400	186	-0.559744246582898
994374000	186	-0.306968347818545
994377600	187	-1.7014709311296
994381200	187	-0.470760327745643
994384800	187	0.633205158070299
994388400	187	1.28604878430483
994392000	187	1.36740995259148
994395600	187	1.41693843928873
994399200	187	1.86562799353789
994402800	187	1.44505849178221
994406400	187	1.24261735887078
994410000	187	1.45307913682626
994413600	187	1.60989559991795
994417200	187	1.67645086614185
994420800	187	0.413522426272347
994424400	187	0.319283518651498
994428000	187	-0.0552738934721394
994431600	187	-0.363862598099312
994435200	187	0.000203724687484762
994438800	187	0.242272043722217
994442400	187	-1.02736462231696
994446000	187	-0.988727796860178
994449600	187	-1.39423693617695
994453200	187	-1.46272259909231
994456800	187	-1.38145409375755
994460400	187	-1.23691627459565
994464000	188	0.453392675946216
994467600	188	0.359062004901152
994471200	188	0.39698174057678
994474800	188	0.478731779974294
994478400	188	0.336415498397472
994482000	188	0.0315941335707759
994485600	188	-0.584352385393979
994489200	188	-1.28753971118247
994492800	188	-1.99682400711471
994496400	188	-2.5268831352703
994500000	188	-2.4573716673533
994503600	188	-2.18717145270911
994507200	188	-1.54014165638457
994510800	188	-2.05843302388745
994514400	188	-2.38518190080977
994518000	188	-2.00447678453497
994521600	188	-1.36100009332832
994525200	188	-1.12225263089603
994528800	188	0.649959221867291
994532400	188	-0.106445503087027
994536000	188	-0.533009728457727
994539600	188	-0.779510528433863
994543200	188	-0.560973349051176
994546800	188	-0.175400113794206
994550400	189	1.61764252244955
994554000	189	1.85401679578649
994557600	189	1.93895678214918
994561200	189	2.0231411097977
994564800	189	1.83629578794093
994568400	189	1.77352607197522
994572000	189	1.66265876209774
994575600	189	1.56073057094365
994579200	189	1.31161000019332
994582800	189	0.958553766712818
994586400	189	0.673072145340746
994590000	189	0.515366277153391
994593600	189	0.933081239876404
994597200	189	1.13338071082783
994600800	189	1.02264220294651
994604400	189	1.07546647863377
994608000	189	1.29129540839645
994611600	189	1.3540045755913
994615200	189	1.91247877787311
994618800	189	1.38888833103148
994622400	189	0.840660565417839
994626000	189	0.431712143760006
994629600	189	0.248897684293411
994633200	189	0.292376853589342
994636800	190	-0.821234372353043
994640400	190	-0.742793528051364
994644000	190	-0.476248594832809
994647600	190	-0.612055685953012
994651200	190	-1.23867502382532
994654800	190	-1.98669656171391
994658400	190	-1.78665168357708
994662000	190	-2.07801649306927
994665600	190	-2.25466185239582
