Unix	jday	Precipitation_rate
1017619200	91	8.18606461508166e-05
1017622800	91	6.21541038793482e-05
1017626400	91	5.66978346222527e-05
1017630000	91	4.76171511375456e-05
1017633600	91	4.02663802679443e-05
1017637200	91	3.49553447532567e-05
1017640800	91	4.24173686701401e-08
1017644400	91	9.66374613974365e-06
1017648000	91	6.53166602400924e-05
1017651600	91	0.000119125563705915
1017655200	91	0.000140423372405481
1017658800	91	0.000155361546271963
1017662400	91	5.72854093158434e-05
1017666000	91	6.16759660371914e-05
1017669600	91	5.44912966928113e-05
1017673200	91	5.54563375006838e-05
1017676800	91	6.32787127080897e-05
1017680400	91	7.05346736674937e-05
1017684000	91	2.84575762890814e-06
1017687600	91	8.13094998402669e-06
1017691200	91	1.34567999368371e-05
1017694800	91	1.67845981947077e-05
1017698400	91	1.58229705002658e-05
1017702000	91	1.36043981431071e-05
1017705600	92	1.67033374180647e-07
1017709200	92	1.94212290241832e-07
1017712800	92	2.95318238127356e-07
1017716400	92	5.9002582005527e-07
1017720000	92	8.50917111856938e-07
1017723600	92	1.20369350496429e-06
1017727200	92	2.22269631859611e-06
1017730800	92	2.22248953822882e-06
1017734400	92	2.88803943365209e-06
1017738000	92	2.15853500972993e-06
1017741600	92	1.8602573509515e-06
1017745200	92	1.65485132842024e-06
1017748800	92	1.56215369299922e-07
1017752400	92	7.88935482662397e-07
1017756000	92	1.39471159650168e-06
1017759600	92	1.76813747577709e-06
1017763200	92	1.79470573579745e-06
1017766800	92	1.73037538527028e-06
1017770400	92	2.52656863758068e-07
1017774000	92	1.50940265350887e-07
1017777600	92	1.24372006227699e-07
1017781200	92	3.34734144918394e-08
1017784800	92	3.15005138529698e-08
1017788400	92	1.87096083333751e-08
1017792000	93	4.94227936698586e-07
1017795600	93	6.58436735997066e-06
1017799200	93	1.67582727330364e-05
1017802800	93	2.21157211813847e-05
1017806400	93	2.07836270458603e-05
1017810000	93	1.67065062483909e-05
1017813600	93	1.19360164200648e-06
1017817200	93	1.20441964554519e-06
1017820800	93	2.20639253936625e-06
1017824400	93	2.2181969932244e-06
1017828000	93	1.30613623439968e-06
1017831600	93	1.21721055509082e-06
1017835200	93	0
1017838800	93	0
1017842400	93	0
1017846000	93	0
1017849600	93	0
1017853200	93	0
1017856800	93	0
1017860400	93	0
1017864000	93	0
1017867600	93	0
1017871200	93	0
1017874800	93	0
1017878400	94	0
1017882000	94	0
1017885600	94	0
1017889200	94	0
1017892800	94	0
1017896400	94	0
1017900000	94	0
1017903600	94	0
1017907200	94	0
1017910800	94	0
1017914400	94	0
1017918000	94	0
1017921600	94	0
1017925200	94	0
1017928800	94	0
1017932400	94	0
1017936000	94	0
1017939600	94	0
1017943200	94	0
1017946800	94	0
1017950400	94	0
1017954000	94	0
1017957600	94	0
1017961200	94	0
1017964800	95	0
1017968400	95	0
1017972000	95	0
1017975600	95	0
1017979200	95	0
1017982800	95	1.974418183687e-06
1017986400	95	7.70899893866219e-05
1017990000	95	0.00011739159979861
1017993600	95	0.000147967054341909
1017997200	95	0.00014695032480099
1018000800	95	0.000139523988621573
1018004400	95	0.000125042780686607
1018008000	95	5.96904801033085e-05
1018011600	95	6.87129664877974e-05
1018015200	95	9.68141217163294e-05
1018018800	95	0.000140900507185152
1018022400	95	0.000196296743941771
1018026000	95	0.000273162393407542
1018029600	95	0.000685789430030251
1018033200	95	0.000835832218659257
1018036800	95	0.000704867757192801
1018040400	95	0.00054830750712513
1018044000	95	0.000420344266039223
1018047600	95	0.000340077447402889
1018051200	96	3.35909951808007e-05
1018054800	96	2.31087990107906e-05
1018058400	96	1.45567614876815e-05
1018062000	96	9.71631208466763e-06
1018065600	96	7.74621571592426e-06
1018069200	96	5.81153270799701e-06
1018072800	96	0
1018076400	96	0
1018080000	96	0
1018083600	96	0
1018087200	96	0
1018090800	96	0
1018094400	96	0
1018098000	96	0
1018101600	96	0
1018105200	96	0
1018108800	96	0
1018112400	96	0
1018116000	96	0
1018119600	96	8.52014519548606e-06
1018123200	96	6.55775710058743e-05
1018126800	96	0.000106732771936619
1018130400	96	0.00012872126072908
1018134000	96	0.000140025902999765
1018137600	97	2.01662192860333e-07
1018141200	97	5.90222746587884e-08
1018144800	97	3.54133669424909e-08
1018148400	97	2.36089104003198e-08
1018152000	97	1.18044552001599e-08
1018155600	97	1.18044552001599e-08
1018159200	97	9.86450431581248e-10
1018162800	97	9.86450431581248e-10
1018166400	97	8.10670358325581e-08
1018170000	97	9.4877341201817e-08
1018173600	97	1.57845418932688e-07
1018177200	97	1.56858968164667e-07
1018180800	97	1.81863079848155e-07
1018184400	97	1.05676491041134e-06
1018188000	97	1.69890782139987e-06
1018191600	97	1.63063166780061e-06
1018195200	97	2.01623797040755e-06
1018198800	97	2.27416986991502e-06
1018202400	97	3.47409682099099e-05
1018206000	97	2.71922816314588e-05
1018209600	97	1.47381720123161e-05
1018213200	97	9.58703749524996e-06
1018216800	97	7.92815789295327e-06
1018220400	97	5.63875816322382e-06
1018224000	98	1.47638066070501e-08
1018227600	98	1.65093423072006e-07
1018231200	98	1.78870778911036e-07
1018234800	98	1.73938526865276e-07
1018238400	98	9.58308424396082e-08
1018242000	98	8.20534866005786e-08
1018245600	98	0
1018249200	98	9.86450431581248e-10
1018252800	98	9.86450431581248e-10
1018256400	98	1.9729008631625e-09
1018260000	98	7.81076846499608e-08
1018263600	98	7.90941351936885e-08
1018267200	98	2.95935140689017e-09
1018270800	98	8.30399369200135e-08
1018274400	98	3.93497765776878e-07
1018278000	98	6.39625282909565e-07
1018281600	98	7.28550998631112e-07
1018285200	98	8.95584357739896e-07
1018288800	98	8.25128721142759e-06
