Unix	jday	Precipitation_rate
731822400	70	0
731826000	70	0
731829600	70	0
731833200	70	0
731836800	70	0
731840400	70	0
731844000	70	0
731847600	70	0
731851200	70	0
731854800	70	0
731858400	70	0
731862000	70	0
731865600	70	0
731869200	70	0
731872800	70	1.0668734407578e-06
731876400	70	5.02951698391787e-05
731880000	70	0.000149937682137449
731883600	70	0.000189270991115085
731887200	70	0.000176074059352624
731890800	70	0.000155309961411875
731894400	71	8.43677757814917e-06
731898000	71	2.86997718942425e-06
731901600	71	1.9559434263835e-06
731905200	71	1.95495697606407e-06
731908800	71	1.03207820878117e-06
731912400	71	1.00846930106487e-06
731916000	71	0
731919600	71	0
731923200	71	0
731926800	71	0
731930400	71	0
731934000	71	0
731937600	71	0
731941200	71	0
731944800	71	0
731948400	71	0
731952000	71	0
731955600	71	0
731959200	71	0
731962800	71	0
731966400	71	0
731970000	71	0
731973600	71	0
731977200	71	0
731980800	72	0
731984400	72	0
731988000	72	0
731991600	72	0
731995200	72	0
731998800	72	0
732002400	72	0
732006000	72	0
732009600	72	0
732013200	72	0
732016800	72	0
732020400	72	0
732024000	72	0
732027600	72	0
732031200	72	0
732034800	72	0
732038400	72	0
732042000	72	0
732045600	72	0
732049200	72	0
732052800	72	0
732056400	72	0
732060000	72	0
732063600	72	0
732067200	73	0
732070800	73	0
732074400	73	0
732078000	73	0
732081600	73	0
732085200	73	0
732088800	73	0
732092400	73	0
732096000	73	0
732099600	73	0
732103200	73	0
732106800	73	0
732110400	73	0
732114000	73	0
732117600	73	0
732121200	73	0
732124800	73	0
732128400	73	0
732132000	73	0
732135600	73	0
732139200	73	0
732142800	73	0
732146400	73	0
732150000	73	0
732153600	74	0
732157200	74	0
732160800	74	0
732164400	74	0
732168000	74	0
732171600	74	0
732175200	74	0
732178800	74	0
732182400	74	0
732186000	74	0
732189600	74	0
732193200	74	0
732196800	74	0
732200400	74	0
732204000	74	0
732207600	74	0
732211200	74	0
732214800	74	0
732218400	74	0
732222000	74	0
732225600	74	0
732229200	74	0
732232800	74	0
732236400	74	0
732240000	75	0
732243600	75	0
732247200	75	0
732250800	75	0
732254400	75	0
732258000	75	0
732261600	75	0
732265200	75	0
732268800	75	0
732272400	75	0
732276000	75	0
732279600	75	0
732283200	75	0
732286800	75	0
