Unix	jday	hs
988675200	121	0.57
988686000	121	0.61
988696800	121	0.66
988707600	121	0.71
988718400	121	0.73
988729200	121	0.74
988740000	121	0.73
988750800	121	0.71
988761600	122	0.69
988772400	122	0.67
988783200	122	0.66
988794000	122	0.65
988804800	122	0.65
988815600	122	0.65
988826400	122	0.66
988837200	122	0.67
988848000	123	0.71
988858800	123	0.76
988869600	123	0.82
988880400	123	0.87
988891200	123	0.94
988902000	123	1.02
988912800	123	1.11
988923600	123	1.16
988934400	124	1.17
988945200	124	1.12
988956000	124	1.07
988966800	124	1.02
988977600	124	1
988988400	124	0.96
988999200	124	0.9
989010000	124	0.88
989020800	125	0.9
989031600	125	0.95
989042400	125	1.09
989053200	125	1.28
989064000	125	1.36
989074800	125	1.42
989085600	125	1.42
989096400	125	1.4
989107200	126	1.38
989118000	126	1.35
989128800	126	1.31
989139600	126	1.28
989150400	126	1.27
989161200	126	1.24
989172000	126	1.21
989182800	126	1.18
989193600	127	1.14
989204400	127	1.09
989215200	127	1.06
989226000	127	1.28
989236800	127	1.26
989247600	127	1.21
989258400	127	1.21
989269200	127	1.16
989280000	128	1.12
989290800	128	1.08
989301600	128	1.07
989312400	128	1.08
989323200	128	1.13
989334000	128	1.22
989344800	128	1.32
989355600	128	1.39
989366400	129	1.42
989377200	129	1.41
989388000	129	1.37
989398800	129	1.32
989409600	129	1.27
989420400	129	1.21
989431200	129	1.17
989442000	129	1.13
989452800	130	1.09
989463600	130	1.08
989474400	130	1.08
989485200	130	1.15
989496000	130	1.25
989506800	130	1.38
989517600	130	1.75
989528400	130	2.08
989539200	131	2.19
989550000	131	2.17
989560800	131	2.09
989571600	131	1.98
989582400	131	1.92
989593200	131	1.84
989604000	131	1.8
989614800	131	1.76
989625600	132	1.69
989636400	132	1.59
989647200	132	1.5
989658000	132	1.41
989668800	132	1.31
989679600	132	1.21
989690400	132	1.13
989701200	132	1.04
989712000	133	0.96
989722800	133	0.89
989733600	133	0.83
989744400	133	0.8
989755200	133	0.8
989766000	133	1.01
989776800	133	1.03
989787600	133	0.99
989798400	134	0.98
989809200	134	0.98
989820000	134	0.98
989830800	134	0.96
989841600	134	0.96
989852400	134	0.99
989863200	134	1.14
989874000	134	1.09
989884800	135	1.76
989895600	135	2.31
989906400	135	2.47
989917200	135	2.6
989928000	135	2.67
989938800	135	2.61
989949600	135	2.43
989960400	135	2.15
989971200	136	1.87
989982000	136	1.65
989992800	136	1.48
990003600	136	1.32
990014400	136	1.2
990025200	136	1.27
990036000	136	1.08
990046800	136	0.95
990057600	137	0.87
990068400	137	0.81
990079200	137	0.78
990090000	137	0.76
990100800	137	0.77
990111600	137	0.93
990122400	137	0.85
990133200	137	0.82
990144000	138	0.85
990154800	138	0.8
990165600	138	0.74
990176400	138	0.92
990187200	138	0.75
990198000	138	0.71
990208800	138	0.8
990219600	138	0.94
990230400	139	0.97
990241200	139	0.94
990252000	139	0.87
990262800	139	0.81
990273600	139	1.03
990284400	139	1.13
990295200	139	1.17
990306000	139	1.17
990316800	140	1.23
990327600	140	1.22
990338400	140	0.99
990349200	140	0.98
990360000	140	1.19
990370800	140	1.29
990381600	140	1.25
990392400	140	1.14
990403200	141	1.03
990414000	141	1.01
990424800	141	0.97
990435600	141	0.91
990446400	141	0.87
990457200	141	0.96
990468000	141	1.11
990478800	141	1.29
990489600	142	1.36
990500400	142	1.3
990511200	142	1.19
990522000	142	1.16
990532800	142	1.33
990543600	142	1.44
990554400	142	1.32
990565200	142	1.34
990576000	143	1.52
990586800	143	2.15
990597600	143	2.6
990608400	143	2.44
990619200	143	2.06
990630000	143	1.74
990640800	143	1.49
990651600	143	1.32
990662400	144	1.38
990673200	144	1.26
990684000	144	1.41
990694800	144	1.4
990705600	144	1.37
990716400	144	1.43
990727200	144	1.45
990738000	144	1.48
990748800	145	1.5
990759600	145	1.49
990770400	145	1.44
990781200	145	1.36
990792000	145	1.28
990802800	145	1.27
990813600	145	1.32
990824400	145	1.39
990835200	146	1.43
990846000	146	1.44
990856800	146	1.47
990867600	146	1.5
990878400	146	1.52
990889200	146	1.69
990900000	146	2.1
990910800	146	2.37
990921600	147	2.5
990932400	147	2.54
990943200	147	2.44
990954000	147	2.31
990964800	147	2.36
990975600	147	2.44
990986400	147	2.52
990997200	147	2.64
991008000	148	2.64
991018800	148	2.49
991029600	148	2.31
991040400	148	2.15
991051200	148	2.01
991062000	148	1.88
991072800	148	1.77
991083600	148	1.67
991094400	149	1.57
991105200	149	1.5
991116000	149	1.45
991126800	149	1.45
991137600	149	1.52
991148400	149	1.59
991159200	149	1.63
991170000	149	1.69
991180800	150	1.72
991191600	150	1.72
991202400	150	1.7
991213200	150	1.67
991224000	150	1.64
991234800	150	1.59
991245600	150	1.55
991256400	150	1.49
991267200	151	1.43
991278000	151	1.36
991288800	151	1.29
991299600	151	1.2
991310400	151	1.14
991321200	151	1.12
991332000	151	1.1
991342800	151	1.04
991353600	152	1.02
