Unix	jday	V.component_of_wind
662688000	1	-4.32652454720869
662691600	1	-3.05955055918896
662695200	1	-2.92528494649604
662698800	1	-3.16484516843925
662702400	1	-3.27924901818582
662706000	1	-3.25162611664442
662709600	1	-4.7663914086815
662713200	1	-5.8860683225303
662716800	1	-6.16575851432055
662720400	1	-7.06664693060926
662724000	1	-8.31563545270938
662727600	1	-8.17063228274893
662731200	1	-4.98636655698474
662734800	1	-0.895778983316051
662738400	1	0.751541667843294
662742000	1	1.85102379478752
662745600	1	2.63649022179328
662749200	1	4.39350775472016
662752800	1	3.10185636608257
662756400	1	3.86577768632257
662760000	1	4.53361259492775
662763600	1	4.31419399661284
662767200	1	4.14773938533651
662770800	1	4.41444881902723
662774400	2	3.04453668739948
662778000	2	4.79367227848715
662781600	2	5.33030152983666
662785200	2	5.63420431397806
662788800	2	6.18000653273975
662792400	2	6.55604036899328
662796000	2	5.86402027828708
662799600	2	5.7892393202641
662803200	2	5.42833009895048
662806800	2	4.67622484556214
662810400	2	3.3756040340895
662814000	2	2.40472571561282
662817600	2	0.85975267050963
662821200	2	1.21187093128785
662824800	2	0.813068136456818
662828400	2	0.646556799725669
662832000	2	0.873551784450592
662835600	2	1.00191041710415
662839200	2	-0.607063367881278
662842800	2	0.177947357351731
662846400	2	-0.0542405171291137
662850000	2	0.393550573873147
662853600	2	0.804997713582169
662857200	2	0.940104111394926
662860800	3	-0.185913930087721
662864400	3	0.495011936125842
662868000	3	1.21975078410012
662871600	3	1.66349694420995
662875200	3	2.3880480704598
662878800	3	3.15947878649657
662882400	3	3.32051818361255
662886000	3	4.29228210763699
662889600	3	4.62135871911773
662893200	3	4.59107966656858
662896800	3	4.21431362605585
662900400	3	3.90804831118182
662904000	3	2.62080774050894
662907600	3	2.02105740646663
662911200	3	1.76724943739721
662914800	3	1.72803811424506
662918400	3	1.90414635817398
662922000	3	2.04509458471089
662925600	3	3.87867741224148
662929200	3	3.83266248533772
662932800	3	3.08408523177335
662936400	3	2.75170713993522
662940000	3	2.69914335806393
662943600	3	2.77998046201895
662947200	4	0.218340580407475
662950800	4	1.40513130605494
662954400	4	2.41970266030639
662958000	4	2.81595498681681
662961600	4	2.77971649918956
662965200	4	2.90994981905444
662968800	4	2.90276399098155
662972400	4	3.54010001710468
662976000	4	3.46685205838039
662979600	4	3.06322240874086
662983200	4	2.68097291999905
662986800	4	2.40872337689313
662990400	4	1.62021124396556
662994000	4	1.73061365667056
662997600	4	2.01591693351601
663001200	4	2.04071248184668
663004800	4	1.57619767658888
663008400	4	1.17310999818866
663012000	4	3.80944027751488
663015600	4	3.48690552546526
663019200	4	3.29777645092238
663022800	4	2.77406433036244
663026400	4	2.02682640421708
663030000	4	1.38195347817349
663033600	5	-0.0150782036284799
663037200	5	-0.103723992573831
663040800	5	-0.0918569489570772
663044400	5	-0.13466169741145
663048000	5	-0.445296863444521
663051600	5	-0.644683589217585
663055200	5	-1.00973532106424
663058800	5	-0.857590854161916
663062400	5	-0.616431085965872
663066000	5	-0.735125444508802
663069600	5	-1.06637648422853
663073200	5	-1.23354743874498
663076800	5	3.25865472993884
663080400	5	1.59272257385458
663084000	5	0.16352580486108
663087600	5	-0.858379367641651
663091200	5	-1.32534747731608
663094800	5	-1.72014073955637
663098400	5	-1.85692643739582
663102000	5	-1.8314317718591
663105600	5	-1.94780381165709
663109200	5	-2.09821154842062
663112800	5	-2.50447515799515
663116400	5	-2.68596561603577
663120000	6	-4.55419466071739
663123600	6	-4.28189157641454
663127200	6	-4.73117584821136
663130800	6	-4.78011296425888
663134400	6	-4.54178297958312
663138000	6	-4.28778105856286
663141600	6	-3.86656828426485
663145200	6	-4.12066761502776
663148800	6	-4.70741802047836
663152400	6	-5.05013617529586
663156000	6	-5.44746990785687
663159600	6	-5.77694527622213
663163200	6	-7.8333891692246
663166800	6	-6.95521661563898
663170400	6	-6.63029675738865
663174000	6	-6.56463194916685
663177600	6	-7.96578150952806
663181200	6	-8.86835230146623
663184800	6	-9.91488575087739
663188400	6	-10.2280770537974
663192000	6	-12.4233823335005
663195600	6	-13.4715816990357
663199200	6	-13.7135533651161
663202800	6	-13.0920454946886
663206400	7	-10.1257744935292
663210000	7	-7.78798264074615
663213600	7	-6.31183129845474
663217200	7	-5.47663885746882
663220800	7	-4.08633397267996
663224400	7	-2.49638920898426
663228000	7	0.473382980733354
663231600	7	2.11815644061321
663235200	7	3.57490587513144
663238800	7	4.78720115125285
663242400	7	5.32145052529463
663246000	7	5.42311542883992
663249600	7	3.81324823344996
663253200	7	3.43862491462948
663256800	7	2.72496308465213
663260400	7	1.65365556971185
663264000	7	0.929920602671323
663267600	7	0.202137791336582
663271200	7	0.375676071621839
663274800	7	-0.906236903020476
663278400	7	-2.26446132827891
663282000	7	-2.81468011525517
663285600	7	-2.04927364318719
663289200	7	-1.78050895027622
663292800	8	-2.78423267582099
663296400	8	-2.65157894125663
663300000	8	-3.03176725413851
663303600	8	-3.19538252876983
663307200	8	-3.41033002712256
663310800	8	-3.34176903925834
663314400	8	-3.40690537193731
663318000	8	-2.18391416513331
663321600	8	-0.29987303365995
663325200	8	1.25819872597715
663328800	8	1.60734795823477
663332400	8	1.83933917949746
663336000	8	3.07952479409761
663339600	8	2.54832574389131
663343200	8	1.99675778708414
663346800	8	1.4970180025559
663350400	8	1.66584610718853
663354000	8	1.96949179059163
663357600	8	3.03870444452102
663361200	8	3.02602238084246
663364800	8	2.78667115265948
663368400	8	2.60850488804982
663372000	8	2.89388104253826
663375600	8	2.9754271563753
663379200	9	2.86105408634859
663382800	9	2.71377639716046
663386400	9	2.58404747505071
663390000	9	3.09229458253491
663393600	9	3.9353386702548
663397200	9	4.7336045015852
663400800	9	6.1473267826104
663404400	9	5.13328063708512
663408000	9	4.37254706206668
663411600	9	3.97542213618646
663415200	9	3.19005378849551
663418800	9	2.30694452201766
663422400	9	-1.56086172137143
663426000	9	-0.891784416622348
663429600	9	-0.499819580803211
663433200	9	-0.303221934272653
663436800	9	-0.434827890455523
663440400	9	-0.608204422991917
663444000	9	-1.81930044617062
663447600	9	-1.80088558933178
663451200	9	-2.67221266695995
663454800	9	-2.91884240769011
663458400	9	-1.82688789128471
663462000	9	-0.94829328477068
663465600	10	-0.886529473398426
663469200	10	0.118186330781965
663472800	10	1.46258845858306
663476400	10	2.29329507204287
663480000	10	2.67551511063414
663483600	10	3.22655875781744
663487200	10	5.13867061784361
663490800	10	4.7519216551089
663494400	10	4.35124179080383
663498000	10	4.12090357621679
663501600	10	3.83546757250601
663505200	10	3.52644613574271
663508800	10	3.82334320630716
663512400	10	3.2527410519979
663516000	10	3.02296914790033
663519600	10	2.96135214592724
663523200	10	2.63559677504736
663526800	10	2.40995167082553
663530400	10	2.13992982287603
663534000	10	2.50678230079328
663537600	10	2.54579851179
663541200	10	2.43877677756761
663544800	10	2.13629636148735
663548400	10	1.77890570456649
663552000	11	1.44197124095389
663555600	11	0.938161227300497
663559200	11	1.25152735648666
663562800	11	1.80751357585894
663566400	11	2.00911951907339
663570000	11	2.150431304926
663573600	11	2.43712962269799
663577200	11	2.48482907777315
663580800	11	2.49614083637575
663584400	11	2.8250408446831
663588000	11	2.89822725547257
663591600	11	2.95218050663069
663595200	11	2.55087584082566
663598800	11	2.10528194444989
663602400	11	1.98431115790434
663606000	11	2.15607745778867
663609600	11	2.27691898409833
663613200	11	2.25408133717564
663616800	11	2.24623369859733
663620400	11	2.30971144500752
663624000	11	2.15486955597104
663627600	11	2.10585752799005
663631200	11	2.08827622224917
663634800	11	2.13268239455736
663638400	12	2.57667147212652
663642000	12	2.952214786656
663645600	12	2.80003459167248
663649200	12	2.47625375457209
663652800	12	2.21767289860899
663656400	12	2.02850922480306
663660000	12	3.0353009642513
663663600	12	2.77314352285836
663667200	12	2.75524242907284
663670800	12	3.03816620655487
663674400	12	2.9841720035983
663678000	12	2.77904063058165
663681600	12	3.26221943463971
663685200	12	3.11191583809005
663688800	12	2.66937052496473
663692400	12	2.44842135335794
663696000	12	2.14616916776035
663699600	12	1.90152512670937
663703200	12	1.74188420040174
663706800	12	1.23686115858326
663710400	12	0.637792672556597
663714000	12	0.34187072456818
663717600	12	0.305704307903125
663721200	12	0.300535500806238
663724800	13	1.1302237482811
663728400	13	1.33044862803727
663732000	13	0.998102884285777
663735600	13	0.429843290915726
663739200	13	0.344484483157961
663742800	13	0.491474109909064
663746400	13	-0.415107203074144
663750000	13	0.713566431023881
663753600	13	1.17369002633237
663757200	13	1.42822489863538
663760800	13	0.981710729655789
663764400	13	0.512673563071582
663768000	13	-0.26453587566451
663771600	13	-1.17394008696203
663775200	13	-1.78593123848966
663778800	13	-2.25103595814682
663782400	13	-2.40208752778387
663786000	13	-2.54295157464173
663789600	13	-2.58052590307775
663793200	13	-2.47287501308634
663796800	13	-2.38308323604677
663800400	13	-2.07280299137923
663804000	13	-1.83314129219814
663807600	13	-1.57877325294851
663811200	14	-2.77752207249514
663814800	14	-2.39680235208635
663818400	14	-2.57509952166782
663822000	14	-2.7063850196993
663825600	14	-2.59645357829895
663829200	14	-2.19847416179831
663832800	14	-3.20795897151069
663836400	14	-2.53364060825597
663840000	14	-2.18706761512717
663843600	14	-2.24024366558602
663847200	14	-2.48704860346727
663850800	14	-2.67366965312217
663854400	14	-4.06232481896535
663858000	14	-3.68791846555779
663861600	14	-3.45640021418722
663865200	14	-2.52152200629717
663868800	14	-1.63855153592162
663872400	14	-0.898366728550428
663876000	14	-1.4523295079845
663879600	14	-0.438083797410767
663883200	14	0.349980978554402
663886800	14	0.800677839132664
663890400	14	0.780459119927351
663894000	14	0.73233807500191
663897600	15	-0.562593091559222
663901200	15	-0.842532393335883
663904800	15	-0.727151026283562
663908400	15	-0.317905756466637
663912000	15	-0.0867371577757551
663915600	15	-0.0162122863301036
663919200	15	-0.179107892598664
663922800	15	-0.477436215028332
663926400	15	-0.773063931125449
663930000	15	-1.35673787232489
663933600	15	-1.53850095808662
663937200	15	-1.75838393046575
663940800	15	0.305079929528851
663944400	15	-0.311731021623949
663948000	15	-1.90281902238131
663951600	15	-3.60339511391869
663955200	15	-4.40876509229246
663958800	15	-5.11439110019155
663962400	15	-5.53992433207373
663966000	15	-3.99484730037457
663969600	15	-3.86096057654169
663973200	15	-4.26988242465441
663976800	15	-4.79565084212319
663980400	15	-5.66673561838565
663984000	16	-7.91319096676119
663987600	16	-5.6568974318604
663991200	16	-3.70923375710439
663994800	16	-2.27874635265448
663998400	16	-1.65748902125388
664002000	16	-0.648601856076161
664005600	16	-0.867452938598761
664009200	16	1.3943628837367
664012800	16	3.21433702074004
664016400	16	4.14359721594821
664020000	16	4.2874704604372
664023600	16	4.06520472985183
664027200	16	2.4795032755525
664030800	16	2.8809892793873
664034400	16	3.09559157468853
