Unix	jday	rh
694224000	1	51
694227600	1	50
694231200	1	51
694234800	1	51
694238400	1	51
694242000	1	52
694245600	1	54
694249200	1	56
694252800	1	58
694256400	1	58
694260000	1	58
694263600	1	58
694267200	1	60
694270800	1	60
694274400	1	62
694278000	1	64
694281600	1	65
694285200	1	67
694288800	1	67
694292400	1	61
694296000	1	55
694299600	1	49
694303200	1	41
694306800	1	36
694310400	2	37
694314000	2	39
694317600	2	43
694321200	2	46
694324800	2	50
694328400	2	54
694332000	2	60
694335600	2	67
694339200	2	73
694342800	2	77
694346400	2	80
694350000	2	84
694353600	2	86
694357200	2	86
694360800	2	86
694364400	2	87
694368000	2	88
694371600	2	89
694375200	2	90
694378800	2	81
694382400	2	74
694386000	2	68
694389600	2	65
694393200	2	64
694396800	3	66
694400400	3	66
694404000	3	67
694407600	3	70
694411200	3	77
694414800	3	81
694418400	3	87
694422000	3	90
694425600	3	90
694429200	3	90
694432800	3	90
694436400	3	90
694440000	3	91
694443600	3	91
694447200	3	91
694450800	3	91
694454400	3	91
694458000	3	91
694461600	3	91
694465200	3	86
694468800	3	82
694472400	3	75
694476000	3	69
694479600	3	68
694483200	4	67
694486800	4	69
694490400	4	70
694494000	4	71
694497600	4	72
694501200	4	73
694504800	4	75
694508400	4	78
694512000	4	87
694515600	4	89
694519200	4	89
694522800	4	90
694526400	4	89
694530000	4	89
694533600	4	89
694537200	4	90
694540800	4	90
694544400	4	89
694548000	4	87
694551600	4	80
694555200	4	70
694558800	4	59
694562400	4	52
694566000	4	51
694569600	5	50
694573200	5	50
694576800	5	53
694580400	5	56
694584000	5	58
694587600	5	60
694591200	5	63
694594800	5	69
694598400	5	81
694602000	5	81
694605600	5	82
694609200	5	81
694612800	5	79
694616400	5	80
694620000	5	81
694623600	5	81
694627200	5	82
694630800	5	82
694634400	5	80
694638000	5	78
694641600	5	73
694645200	5	69
694648800	5	68
694652400	5	68
694656000	6	69
694659600	6	71
694663200	6	71
694666800	6	72
694670400	6	78
694674000	6	86
694677600	6	91
694681200	6	93
694684800	6	94
694688400	6	94
694692000	6	95
694695600	6	95
694699200	6	96
694702800	6	96
694706400	6	96
694710000	6	96
694713600	6	96
694717200	6	95
694720800	6	94
694724400	6	92
694728000	6	91
694731600	6	88
694735200	6	84
694738800	6	80
694742400	7	79
694746000	7	77
694749600	7	76
694753200	7	78
694756800	7	80
694760400	7	85
694764000	7	89
694767600	7	91
694771200	7	92
694774800	7	93
694778400	7	93
694782000	7	93
694785600	7	93
694789200	7	93
694792800	7	93
694796400	7	94
694800000	7	94
694803600	7	94
694807200	7	93
694810800	7	93
694814400	7	93
694818000	7	93
694821600	7	92
694825200	7	92
694828800	8	92
694832400	8	91
694836000	8	92
694839600	8	93
694843200	8	93
694846800	8	94
694850400	8	93
694854000	8	93
694857600	8	93
694861200	8	92
694864800	8	91
694868400	8	91
694872000	8	91
694875600	8	91
694879200	8	91
694882800	8	92
694886400	8	92
694890000	8	92
694893600	8	91
694897200	8	91
694900800	8	90
694904400	8	90
694908000	8	91
694911600	8	91
694915200	9	91
694918800	9	91
694922400	9	88
694926000	9	79
694929600	9	75
694933200	9	75
694936800	9	78
694940400	9	82
694944000	9	90
694947600	9	92
694951200	9	92
694954800	9	93
694958400	9	93
694962000	9	93
694965600	9	93
694969200	9	93
694972800	9	92
694976400	9	92
694980000	9	91
694983600	9	86
694987200	9	78
694990800	9	70
694994400	9	68
694998000	9	66
695001600	10	65
695005200	10	63
695008800	10	63
695012400	10	64
695016000	10	66
695019600	10	69
695023200	10	73
695026800	10	79
695030400	10	88
695034000	10	94
695037600	10	94
695041200	10	92
695044800	10	90
695048400	10	89
695052000	10	92
695055600	10	93
695059200	10	92
695062800	10	91
695066400	10	91
695070000	10	83
695073600	10	78
695077200	10	75
695080800	10	72
695084400	10	70
695088000	11	70
695091600	11	70
695095200	11	71
695098800	11	72
695102400	11	73
695106000	11	76
695109600	11	79
695113200	11	82
695116800	11	90
695120400	11	91
695124000	11	91
695127600	11	91
695131200	11	92
695134800	11	91
695138400	11	90
695142000	11	87
695145600	11	85
695149200	11	83
695152800	11	83
695156400	11	83
695160000	11	84
695163600	11	86
695167200	11	85
695170800	11	82
695174400	12	76
695178000	12	77
695181600	12	88
695185200	12	90
695188800	12	87
695192400	12	86
695196000	12	87
695199600	12	87
695203200	12	90
695206800	12	92
695210400	12	92
695214000	12	92
695217600	12	93
695221200	12	92
695224800	12	93
695228400	12	93
695232000	12	93
695235600	12	94
