Unix	jday	rh
1042495200	13	50
1042498800	13	47
1042502400	14	45
1042506000	14	46
1042509600	14	47
1042513200	14	48
1042516800	14	49
1042520400	14	51
1042524000	14	54
1042527600	14	56
1042531200	14	62
1042534800	14	68
1042538400	14	75
1042542000	14	82
1042545600	14	87
1042549200	14	89
1042552800	14	90
1042556400	14	92
1042560000	14	93
1042563600	14	94
1042567200	14	88
1042570800	14	76
1042574400	14	64
1042578000	14	50
1042581600	14	38
1042585200	14	35
1042588800	15	36
1042592400	15	39
1042596000	15	42
1042599600	15	47
1042603200	15	52
1042606800	15	58
1042610400	15	64
1042614000	15	71
1042617600	15	78
1042621200	15	82
1042624800	15	84
1042628400	15	86
1042632000	15	86
1042635600	15	87
1042639200	15	87
1042642800	15	87
1042646400	15	85
1042650000	15	84
1042653600	15	83
1042657200	15	74
1042660800	15	68
1042664400	15	65
1042668000	15	63
1042671600	15	61
1042675200	16	61
1042678800	16	60
1042682400	16	59
1042686000	16	59
1042689600	16	61
1042693200	16	63
1042696800	16	67
1042700400	16	72
1042704000	16	79
1042707600	16	85
1042711200	16	89
1042714800	16	90
1042718400	16	91
1042722000	16	91
1042725600	16	90
1042729200	16	91
1042732800	16	90
1042736400	16	89
1042740000	16	88
1042743600	16	87
1042747200	16	86
1042750800	16	84
1042754400	16	83
1042758000	16	80
1042761600	17	70
1042765200	17	67
1042768800	17	66
1042772400	17	66
1042776000	17	66
1042779600	17	68
1042783200	17	70
1042786800	17	75
1042790400	17	83
1042794000	17	89
1042797600	17	89
1042801200	17	90
1042804800	17	89
1042808400	17	88
1042812000	17	88
1042815600	17	88
1042819200	17	88
1042822800	17	89
1042826400	17	88
1042830000	17	84
1042833600	17	77
1042837200	17	67
1042840800	17	61
1042844400	17	58
1042848000	18	58
1042851600	18	56
1042855200	18	57
1042858800	18	59
1042862400	18	61
1042866000	18	64
1042869600	18	67
1042873200	18	72
1042876800	18	81
1042880400	18	87
1042884000	18	87
1042887600	18	88
1042891200	18	89
1042894800	18	89
1042898400	18	88
1042902000	18	88
1042905600	18	88
1042909200	18	89
1042912800	18	88
1042916400	18	86
1042920000	18	79
1042923600	18	73
1042927200	18	75
1042930800	18	78
1042934400	19	81
1042938000	19	84
1042941600	19	88
1042945200	19	90
1042948800	19	91
1042952400	19	92
1042956000	19	93
1042959600	19	93
1042963200	19	94
1042966800	19	93
1042970400	19	93
1042974000	19	93
1042977600	19	94
1042981200	19	95
1042984800	19	95
1042988400	19	95
1042992000	19	92
1042995600	19	89
1042999200	19	85
1043002800	19	80
1043006400	19	71
1043010000	19	63
1043013600	19	61
1043017200	19	60
1043020800	20	61
1043024400	20	59
1043028000	20	59
1043031600	20	59
1043035200	20	62
1043038800	20	64
1043042400	20	69
1043046000	20	73
1043049600	20	80
1043053200	20	83
1043056800	20	85
1043060400	20	87
1043064000	20	88
1043067600	20	89
1043071200	20	89
1043074800	20	89
1043078400	20	87
1043082000	20	86
1043085600	20	85
1043089200	20	82
1043092800	20	75
1043096400	20	69
1043100000	20	68
1043103600	20	68
1043107200	21	68
1043110800	21	65
1043114400	21	64
1043118000	21	65
1043121600	21	67
1043125200	21	70
1043128800	21	73
1043132400	21	76
1043136000	21	87
1043139600	21	87
1043143200	21	87
1043146800	21	87
1043150400	21	87
1043154000	21	88
1043157600	21	89
1043161200	21	91
1043164800	21	93
1043168400	21	95
1043172000	21	97
1043175600	21	97
1043179200	21	96
1043182800	21	95
1043186400	21	94
1043190000	21	93
1043193600	22	92
1043197200	22	89
1043200800	22	88
1043204400	22	90
1043208000	22	90
1043211600	22	90
1043215200	22	89
1043218800	22	86
1043222400	22	87
1043226000	22	87
1043229600	22	87
1043233200	22	87
1043236800	22	86
1043240400	22	86
1043244000	22	86
1043247600	22	87
1043251200	22	88
1043254800	22	88
1043258400	22	88
1043262000	22	88
1043265600	22	88
1043269200	22	88
1043272800	22	88
1043276400	22	87
1043280000	23	87
1043283600	23	86
1043287200	23	85
1043290800	23	86
1043294400	23	86
1043298000	23	87
1043301600	23	88
1043305200	23	88
1043308800	23	88
1043312400	23	88
1043316000	23	88
1043319600	23	88
1043323200	23	88
1043326800	23	87
1043330400	23	87
1043334000	23	87
1043337600	23	89
1043341200	23	91
1043344800	23	91
1043348400	23	92
1043352000	23	91
1043355600	23	89
1043359200	23	85
1043362800	23	75
1043366400	24	63
1043370000	24	59
1043373600	24	58
1043377200	24	57
1043380800	24	59
1043384400	24	62
1043388000	24	70
1043391600	24	78
1043395200	24	85
1043398800	24	85
1043402400	24	84
1043406000	24	83
1043409600	24	83
1043413200	24	84
1043416800	24	86
1043420400	24	87
1043424000	24	89
1043427600	24	89
1043431200	24	91
1043434800	24	90
1043438400	24	89
1043442000	24	82
1043445600	24	62
1043449200	24	53
1043452800	25	50
1043456400	25	50
1043460000	25	49
1043463600	25	49
1043467200	25	50
1043470800	25	53
1043474400	25	58
1043478000	25	63
1043481600	25	69
1043485200	25	71
1043488800	25	74
1043492400	25	75
1043496000	25	77
1043499600	25	78
1043503200	25	79
1043506800	25	80
1043510400	25	80
1043514000	25	79
1043517600	25	78
1043521200	25	73
1043524800	25	64
1043528400	25	57
1043532000	25	52
1043535600	25	51
1043539200	26	53
1043542800	26	56
1043546400	26	58
1043550000	26	62
1043553600	26	65
1043557200	26	69
1043560800	26	75
1043564400	26	80
1043568000	26	86
1043571600	26	88
1043575200	26	89
1043578800	26	90
1043582400	26	91
1043586000	26	92
1043589600	26	92
1043593200	26	92
1043596800	26	93
1043600400	26	93
1043604000	26	93
1043607600	26	93
1043611200	26	94
1043614800	26	95
1043618400	26	95
1043622000	26	95
1043625600	27	92
1043629200	27	92
1043632800	27	91
1043636400	27	89
1043640000	27	86
1043643600	27	81
1043647200	27	77
1043650800	27	75
1043654400	27	75
1043658000	27	76
1043661600	27	77
1043665200	27	77
1043668800	27	77
1043672400	27	77
1043676000	27	77
1043679600	27	77
1043683200	27	77
1043686800	27	76
1043690400	27	75
1043694000	27	71
1043697600	27	68
1043701200	27	65
1043704800	27	65
1043708400	27	66
1043712000	28	70
1043715600	28	70
1043719200	28	80
1043722800	28	81
1043726400	28	80
1043730000	28	84
1043733600	28	87
1043737200	28	87
1043740800	28	88
1043744400	28	88
1043748000	28	87
1043751600	28	87
1043755200	28	85
1043758800	28	85
1043762400	28	86
1043766000	28	86
1043769600	28	86
1043773200	28	86
1043776800	28	85
1043780400	28	83
1043784000	28	79
1043787600	28	72
1043791200	28	67
1043794800	28	64
1043798400	29	64
1043802000	29	63
1043805600	29	64
1043809200	29	64
1043812800	29	64
1043816400	29	65
1043820000	29	69
1043823600	29	73
1043827200	29	79
1043830800	29	81
1043834400	29	83
1043838000	29	86
1043841600	29	86
1043845200	29	87
1043848800	29	88
1043852400	29	89
1043856000	29	90
1043859600	29	90
1043863200	29	89
1043866800	29	88
1043870400	29	83
1043874000	29	74
1043877600	29	67
1043881200	29	67
1043884800	30	66
1043888400	30	64
1043892000	30	64
1043895600	30	67
1043899200	30	71
1043902800	30	75
1043906400	30	80
1043910000	30	80
1043913600	30	84
1043917200	30	85
1043920800	30	86
1043924400	30	87
1043928000	30	86
1043931600	30	87
1043935200	30	88
1043938800	30	89
1043942400	30	90
1043946000	30	90
1043949600	30	91
1043953200	30	90
1043956800	30	89
1043960400	30	88
1043964000	30	90
1043967600	30	91
1043971200	31	92
1043974800	31	90
1043978400	31	91
1043982000	31	91
1043985600	31	92
1043989200	31	92
1043992800	31	93
1043996400	31	92
1.044e+09	31	93
1044003600	31	93
1044007200	31	93
1044010800	31	93
1044014400	31	93
1044018000	31	93
1044021600	31	93
1044025200	31	94
1044028800	31	94
1044032400	31	95
1044036000	31	95
1044039600	31	95
1044043200	31	95
1044046800	31	95
1044050400	31	95
1044057600	32	95
1044061200	32	93
1044064800	32	93
1044068400	32	93
1044072000	32	93
1044075600	32	93
1044079200	32	92
1044082800	32	93
1044086400	32	93
1044090000	32	93
1044093600	32	93
1044097200	32	92
1044100800	32	92
1044104400	32	91
1044108000	32	91
1044111600	32	91
1044115200	32	90
1044118800	32	90
1044122400	32	90
1044126000	32	87
1044129600	32	83
1044133200	32	74
1044136800	32	61
1044140400	32	54
1044144000	33	52
1044147600	33	48
1044151200	33	49
1044154800	33	51
1044158400	33	54
1044162000	33	59
1044165600	33	65
1044169200	33	73
1044172800	33	80
1044176400	33	84
1044180000	33	85
1044183600	33	87
1044187200	33	89
1044190800	33	89
1044194400	33	89
1044198000	33	90
1044201600	33	89
1044205200	33	89
1044208800	33	91
1044212400	33	84
1044216000	33	76
1044219600	33	67
1044223200	33	63
1044226800	33	63
1044230400	34	65
1044234000	34	64
1044237600	34	65
1044241200	34	66
1044244800	34	67
1044248400	34	70
1044252000	34	75
1044255600	34	80
1044259200	34	84
1044262800	34	86
1044266400	34	86
1044270000	34	86
1044273600	34	86
1044277200	34	88
1044280800	34	88
1044284400	34	87
1044288000	34	87
1044291600	34	86
1044295200	34	85
1044298800	34	83
1044302400	34	78
1044306000	34	72
1044309600	34	67
1044313200	34	64
1044316800	35	61
1044320400	35	60
1044324000	35	60
1044327600	35	60
1044331200	35	61
1044334800	35	63
1044338400	35	67
1044342000	35	72
1044345600	35	79
1044349200	35	81
1044352800	35	84
1044356400	35	86
1044360000	35	87
1044363600	35	87
1044367200	35	88
1044370800	35	87
1044374400	35	88
1044378000	35	88
1044381600	35	85
1044385200	35	83
1044388800	35	83
1044392400	35	83
1044396000	35	83
1044399600	35	83
1044403200	36	79
1044406800	36	75
1044410400	36	69
1044414000	36	68
1044417600	36	69
1044421200	36	70
1044424800	36	72
1044428400	36	77
1044432000	36	84
1044435600	36	86
1044439200	36	88
1044442800	36	88
1044446400	36	89
1044450000	36	90
1044453600	36	91
1044457200	36	92
1044460800	36	92
1044464400	36	93
1044468000	36	93
1044471600	36	90
1044475200	36	84
1044478800	36	78
1044482400	36	76
1044486000	36	77
1044489600	37	78
1044493200	37	76
1044496800	37	74
1044500400	37	74
1044504000	37	75
1044507600	37	77
1044511200	37	76
1044514800	37	80
1044518400	37	85
1044522000	37	85
1044525600	37	86
1044529200	37	85
1044532800	37	87
1044536400	37	88
1044540000	37	90
1044543600	37	90
1044547200	37	89
1044550800	37	89
1044554400	37	89
1044558000	37	83
1044561600	37	78
1044565200	37	72
1044568800	37	69
1044572400	37	66
1044576000	38	65
1044579600	38	63
1044583200	38	62
1044586800	38	64
1044590400	38	66
1044594000	38	69
1044597600	38	73
1044601200	38	79
1044604800	38	88
1044608400	38	92
1044612000	38	92
1044615600	38	91
1044619200	38	91
1044622800	38	91
1044626400	38	90
1044630000	38	93
1044633600	38	93
1044637200	38	93
1044640800	38	92
1044644400	38	86
1044648000	38	80
1044651600	38	76
1044655200	38	73
1044658800	38	71
1044662400	39	70
1044666000	39	70
1044669600	39	72
1044673200	39	76
1044676800	39	78
1044680400	39	81
1044684000	39	84
1044687600	39	88
1044691200	39	91
1044694800	39	93
1044698400	39	94
1044702000	39	94
1044705600	39	95
1044709200	39	94
1044712800	39	94
1044716400	39	94
1044720000	39	94
1044723600	39	94
1044727200	39	93
1044730800	39	93
1044734400	39	92
1044738000	39	92
1044741600	39	89
1044745200	39	81
1044748800	40	69
1044752400	40	66
1044756000	40	64
1044759600	40	65
1044763200	40	67
1044766800	40	69
1044770400	40	73
1044774000	40	79
1044777600	40	89
1044781200	40	89
1044784800	40	89
1044788400	40	88
1044792000	40	88
1044795600	40	87
1044799200	40	89
1044802800	40	89
1044806400	40	89
1044810000	40	88
1044813600	40	86
1044817200	40	86
1044820800	40	84
1044824400	40	83
1044828000	40	82
1044831600	40	80
1044835200	41	78
1044838800	41	77
1044842400	41	72
1044846000	41	71
1044849600	41	71
1044853200	41	73
1044856800	41	75
1044860400	41	84
1044864000	41	93
1044867600	41	94
1044871200	41	90
1044874800	41	90
1044878400	41	93
1044882000	41	92
1044885600	41	91
1044889200	41	91
1044892800	41	91
1044896400	41	91
1044900000	41	92
1044903600	41	93
1044907200	41	94
1044910800	41	94
1044914400	41	94
1044918000	41	94
1044921600	42	92
1044925200	42	83
1044928800	42	73
1044932400	42	71
1044936000	42	80
1044939600	42	87
1044943200	42	91
1044946800	42	92
1044950400	42	94
1044954000	42	94
1044957600	42	95
1044961200	42	96
1044964800	42	94
1044968400	42	95
1044972000	42	95
1044975600	42	95
1044979200	42	94
1044982800	42	94
1044986400	42	96
1044990000	42	95
1044993600	42	94
1044997200	42	92
1045000800	42	86
1045004400	42	81
1045008000	43	75
1045011600	43	69
1045015200	43	71
1045018800	43	75
1045022400	43	76
1045026000	43	80
1045029600	43	83
1045033200	43	86
1045036800	43	87
1045040400	43	87
1045044000	43	87
1045047600	43	88
1045051200	43	89
1045054800	43	89
1045058400	43	89
1045062000	43	89
1045065600	43	89
1045069200	43	89
1045072800	43	89
1045076400	43	86
1045080000	43	84
1045083600	43	77
1045087200	43	68
1045090800	43	64
1045094400	44	60
1045098000	44	58
1045101600	44	58
1045105200	44	58
1045108800	44	59
1045112400	44	61
1045116000	44	67
1045119600	44	72
1045123200	44	84
1045126800	44	86
1045130400	44	87
1045134000	44	86
1045137600	44	85
1045141200	44	84
1045144800	44	85
1045148400	44	87
1045152000	44	90
1045155600	44	91
1045159200	44	91
1045162800	44	89
1045166400	44	89
1045170000	44	93
1045173600	44	92
1045177200	44	90
1045180800	45	88
1045184400	45	74
1045188000	45	66
1045191600	45	62
1045195200	45	59
1045198800	45	59
1045202400	45	62
1045206000	45	68
1045209600	45	76
1045213200	45	78
1045216800	45	78
1045220400	45	79
1045224000	45	80
1045227600	45	81
1045231200	45	81
1045234800	45	82
1045238400	45	84
1045242000	45	85
1045245600	45	85
1045249200	45	79
1045252800	45	70
1045256400	45	57
1045260000	45	54
1045263600	45	56
1045267200	46	58
1045270800	46	58
1045274400	46	58
1045278000	46	59
1045281600	46	60
1045285200	46	62
1045288800	46	66
1045292400	46	71
1045296000	46	78
1045299600	46	82
1045303200	46	84
1045306800	46	86
1045310400	46	85
1045314000	46	85
1045317600	46	85
1045321200	46	85
1045324800	46	84
1045328400	46	84
1045332000	46	84
1045335600	46	80
1045339200	46	73
1045342800	46	65
1045346400	46	61
1045350000	46	59
1045353600	47	59
1045357200	47	58
1045360800	47	59
1045364400	47	61
1045368000	47	64
1045371600	47	66
1045375200	47	68
1045378800	47	76
1045382400	47	83
1045386000	47	83
1045389600	47	83
1045393200	47	83
1045396800	47	82
1045400400	47	82
1045404000	47	84
1045407600	47	85
1045411200	47	86
1045414800	47	87
1045418400	47	89
1045422000	47	88
1045425600	47	83
1045429200	47	79
1045432800	47	74
1045436400	47	71
1045440000	48	69
1045443600	48	68
1045447200	48	71
1045450800	48	79
1045454400	48	86
1045458000	48	89
1045461600	48	90
1045465200	48	90
1045468800	48	90
1045472400	48	91
1045476000	48	91
1045479600	48	91
1045483200	48	92
1045486800	48	92
1045490400	48	91
1045494000	48	91
1045497600	48	91
1045501200	48	90
1045504800	48	89
1045508400	48	91
1045512000	48	93
1045515600	48	93
1045519200	48	91
1045522800	48	89
1045526400	49	86
1045530000	49	79
1045533600	49	74
1045537200	49	70
1045540800	49	68
1045544400	49	67
1045548000	49	68
1045551600	49	72
1045555200	49	78
1045558800	49	77
1045562400	49	78
1045566000	49	81
1045569600	49	84
1045573200	49	85
1045576800	49	87
1045580400	49	89
1045584000	49	91
1045587600	49	92
1045591200	49	92
1045594800	49	92
1045598400	49	92
1045602000	49	92
1045605600	49	91
1045609200	49	91
1045612800	50	90
1045616400	50	90
1045620000	50	92
1045623600	50	93
1045627200	50	92
1045630800	50	91
1045634400	50	89
1045638000	50	87
1045641600	50	85
1045645200	50	83
1045648800	50	82
1045652400	50	82
1045656000	50	82
1045659600	50	82
1045663200	50	81
1045666800	50	80
1045670400	50	80
1045674000	50	80
1045677600	50	81
1045681200	50	83
1045684800	50	86
1045688400	50	89
1045692000	50	88
1045695600	50	87
1045699200	51	85
1045702800	51	82
1045706400	51	84
1045710000	51	87
1045713600	51	87
1045717200	51	87
1045720800	51	86
1045724400	51	85
1045728000	51	85
1045731600	51	84
1045735200	51	85
1045738800	51	85
1045742400	51	87
1045746000	51	87
1045749600	51	87
1045753200	51	86
1045756800	51	85
1045760400	51	83
1045764000	51	82
1045767600	51	80
1045771200	51	75
1045774800	51	66
1045778400	51	57
1045782000	51	53
1045785600	52	49
1045789200	52	47
1045792800	52	45
1045796400	52	44
1045800000	52	45
1045803600	52	47
